Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,8,0.1,,8,0.1,,8,0.1,,8,0.1,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,6,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,2,0.1
QF_BV/bench_ab/a651test0090,,22,0.3,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a655test0003,,22,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a659test0071,,22,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,8,0.1,,7,0.1,,6,0.1,,6,0.1,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,3.9,,26,15.7,,26,15.7,,33,30.7,,33,30.7,,4,0.9
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,4.7,,34,28.0,,33,43.0,,24,29.5,,24,28.4,,3,0.8
QF_BV/bmc-bv/ex19,,3,154.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,436.8
QF_BV/bmc-bv/fermat,,3,8.5,,4,26.6,,4,26.6,,4,31.3,,4,31.3,,- -,- -
QF_BV/bmc-bv/graycode,,1,1.8,,1,0.1,,1,0.1,,1,0.2,,1,0.2,,1,0.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,1,8.1,,1,0.9,,1,0.9,,1,8.6,,1,8.6,,1,0.3
QF_BV/bmc-bv/queens,,1,4.2,,1,0.3,,1,0.3,,1,0.4,,1,0.4,,1,0.3
QF_BV/bmc-bv/sudoku,,1,46.2,,1,1.1,,1,1.1,,1,14.7,,1,14.7,,1,254.2
QF_BV/brummayerbiere2/smulov4bw0256,,2,579.7,,3,308.1,,3,308.1,,2,132.6,,2,132.6,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,2,4.2,,29,4.8,,29,4.8,,29,8.4,,29,8.4,,3,2424.8
QF_BV/brummayerbiere2/smulov4bw0128,,2,57.7,,5,21.6,,5,21.6,,60,201.4,,60,201.4,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,2,1.6,,14,0.7,,14,0.7,,14,0.7,,14,0.7,,2,0.2
QF_BV/gulwani-pldi08/fig1d.phx,,3,63.4,,46,374.0,,30,409.7,,38,218.4,,27,218.4,,5,149.8
QF_BV/gulwani-pldi08/fig5.phx,,3,41.4,,293,745.4,,203,745.4,,143,360.5,,73,360.5,,4,109.4
QF_BV/gulwani-pldi08/fig6.phx,,4,7.6,,140,76.0,,57,76.0,,- -,- -,,65,103.1,,17,6.0
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,3,35.1,,154,373.9,,92,453.0,,150,331.2,,96,331.2,,4,16.3
QF_BV/RWS/Example_1.txt,,5,17.7,,31,79.4,,25,79.4,,15,111.6,,15,111.6,,9,1.4
QF_BV/RWS/Example_2.txt,,5,19.3,,11,55.5,,11,55.5,,7,66.8,,7,66.8,,7,0.6
QF_BV/RWS/Example_4.txt,,4,14.2,,9,29.1,,9,29.1,,15,58.5,,14,99.5,,5,0.8
QF_BV/RWS/Example_5.txt,,4,16.1,,5,26.7,,5,26.7,,9,59.3,,8,59.3,,5,0.6
QF_BV/RWS/Example_6.txt,,4,10.8,,6,8.1,,6,8.1,,7,25.0,,7,25.0,,5,0.4
QF_BV/RWS/Example_14.txt,,5,29.7,,12,129.4,,12,129.4,,16,118.4,,15,118.4,,9,11.4
QF_BV/sage/app1/bench_1141,,2,4.8,,48,185.3,,41,218.5,,44,205.2,,38,142.9,,3,0.6
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,2,4.5,,32,22.6,,31,21.6,,36,24.1,,35,24.1,,3,0.9
QF_BV/sage/app1/bench_1288,,2,2.7,,11,3.5,,11,3.5,,9,3.0,,9,3.0,,2,0.4
QF_BV/sage/app1/bench_1339,,2,3.0,,4,13.3,,4,13.3,,5,8.7,,5,8.7,,2,0.5
QF_BV/sage/app1/bench_1346,,2,2.8,,23,11.4,,23,6.7,,24,10.9,,24,10.9,,2,0.4
QF_BV/sage/app1/bench_1710,,3,0.1,,22,0.3,,21,0.2,,22,0.2,,21,0.3,,3,0.0
