Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app12/bench_2353,,2,13.2,,911,176.9,,911,176.9,,911,198.6,,911,198.6,,- -,- -
QF_BV/sage/app12/bench_2428,,2,4.0,,300,26.8,,300,26.8,,300,17.6,,300,17.6,,- -,- -
QF_BV/sage/app12/bench_2451,,2,1.4,,218,16.9,,218,16.9,,218,16.9,,218,16.9,,- -,- -
QF_BV/sage/app12/bench_3681,,2,0.0,,14,0.1,,14,0.1,,14,0.1,,14,0.1,,3,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,4,0.0
QF_BV/sage/app12/bench_3921,,7,0.1,,13,0.2,,13,0.2,,12,0.1,,12,0.1,,2,0.0
QF_BV/sage/app12/bench_3957,,2,0.0,,16,0.1,,16,0.1,,16,0.1,,16,0.1,,4,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,15,0.1,,15,0.1,,16,0.1,,16,0.1,,4,0.0
QF_BV/sage/app12/bench_4177,,2,0.0,,14,0.1,,14,0.1,,14,0.1,,14,0.1,,3,0.0
QF_BV/sage/app12/bench_4845,,2,0.0,,6,0.1,,6,0.1,,7,0.0,,7,0.0,,3,0.0
QF_BV/sage/app12/bench_5599,,2,0.1,,26,1.3,,26,1.3,,26,1.1,,26,1.1,,3,0.0
QF_BV/sage/app2/bench_48,,6,2.9,,261,25.4,,261,25.4,,261,14.4,,261,14.4,,3,0.1
QF_BV/sage/app2/bench_225,,3,5.7,,238,19.2,,232,19.5,,250,34.1,,244,34.1,,3,1.1
QF_BV/sage/app2/bench_278,,2,4.5,,12,0.8,,12,0.8,,13,2.2,,13,2.2,,2,0.6
QF_BV/sage/app2/bench_282,,1,2.4,,1,0.1,,1,0.1,,1,0.5,,1,0.5,,1,0.1
QF_BV/sage/app2/bench_458,,3,0.1,,22,0.7,,22,0.7,,22,0.6,,22,0.6,,4,0.0
QF_BV/sage/app2/bench_642,,3,4.7,,297,31.6,,296,31.6,,292,34.2,,287,33.5,,3,0.4
QF_BV/sage/app2/bench_645,,2,1.0,,3,0.2,,3,0.2,,3,0.5,,3,0.5,,2,0.1
QF_BV/sage/app2/bench_664,,3,4.5,,278,21.2,,277,21.3,,279,19.0,,275,32.5,,3,0.4
QF_BV/sage/app2/bench_719,,3,3.4,,263,30.3,,259,30.3,,249,28.9,,241,19.4,,3,0.3
QF_BV/sage/app2/bench_830,,4,4.2,,338,22.3,,337,22.6,,326,45.8,,319,45.8,,3,0.3
