Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,7,0.1,,7,0.1,,7,0.1,,7,0.1,,2,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,33,0.3,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,3,0.1
QF_BV/bench_ab/a651test0090,,18,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a655test0003,,25,0.2,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a659test0071,,28,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a668test0098,,3,0.0,,8,0.1,,7,0.1,,8,0.1,,7,0.1,,5,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,6.4,,77,85.1,,68,49.2,,71,138.9,,65,98.2,,12,1.1
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,7.1,,66,110.1,,59,168.0,,69,94.6,,65,222.8,,7,1.0
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,13.6,,23,128.2,,10,91.2,,12,125.9,,10,125.9,,- -,- -
QF_BV/bmc-bv/graycode,,2,3.0,,4,0.7,,4,0.7,,4,0.7,,4,0.7,,2,0.2
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,2,8.2,,2,7.1,,2,7.1,,2,11.8,,2,11.8,,2,1.9
QF_BV/bmc-bv/queens,,3,9.1,,6,3.6,,6,3.6,,6,4.2,,6,4.2,,4,0.5
QF_BV/bmc-bv/sudoku,,1,45.0,,1,1.8,,1,1.8,,1,17.0,,1,17.0,,1,512.0
QF_BV/brummayerbiere2/smulov4bw0256,,5,1333.1,,9,556.0,,9,556.0,,7,286.2,,7,286.2,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,13.9,,60,20.0,,60,20.0,,60,19.1,,60,19.1,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,4,99.9,,75,205.1,,47,205.1,,120,236.1,,120,236.1,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,2.5,,29,2.0,,29,2.0,,29,1.9,,29,1.9,,6,0.7
QF_BV/gulwani-pldi08/fig1d.phx,,11,205.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,93,2918.8
QF_BV/gulwani-pldi08/fig5.phx,,8,84.2,,322,1206.4,,166,1144.5,,250,853.3,,170,853.3,,13,300.7
QF_BV/gulwani-pldi08/fig6.phx,,10,28.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,161,58.9
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,79.6,,197,829.0,,123,722.3,,181,757.0,,112,625.1,,16,69.1
QF_BV/RWS/Example_1.txt,,40,75.5,,366,1179.2,,115,1196.1,,278,1348.2,,108,1348.2,,108,19.1
QF_BV/RWS/Example_2.txt,,21,65.8,,61,456.4,,54,546.6,,59,621.3,,54,587.7,,43,5.7
QF_BV/RWS/Example_4.txt,,12,43.1,,36,194.4,,27,194.4,,50,349.2,,37,471.4,,38,3.1
QF_BV/RWS/Example_5.txt,,9,29.9,,31,195.6,,28,195.6,,26,193.8,,24,193.8,,18,2.8
QF_BV/RWS/Example_6.txt,,7,11.0,,18,60.6,,15,60.6,,21,134.0,,17,220.8,,20,1.5
QF_BV/RWS/Example_14.txt,,44,200.7,,200,1189.8,,117,1125.7,,175,1474.6,,105,1503.6,,109,72.1
QF_BV/sage/app1/bench_1141,,4,8.9,,98,241.0,,88,244.9,,100,301.1,,90,264.5,,6,1.1
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,4,6.9,,188,326.8,,144,248.0,,188,191.6,,141,270.7,,8,2.4
QF_BV/sage/app1/bench_1288,,4,7.0,,117,153.5,,71,116.4,,93,124.7,,67,139.2,,8,2.5
QF_BV/sage/app1/bench_1339,,4,5.6,,74,102.5,,51,64.4,,69,105.6,,50,61.3,,7,1.7
QF_BV/sage/app1/bench_1346,,4,4.0,,85,42.1,,77,59.2,,82,60.7,,75,76.2,,11,2.1
QF_BV/sage/app1/bench_1710,,4,0.1,,26,0.4,,25,0.3,,26,0.2,,25,0.4,,6,0.0
QF_BV/sage/app1/bench_1738,,5,0.1,,33,0.3,,33,0.3,,33,0.4,,33,0.4,,5,0.0
QF_BV/sage/app1/bench_1742,,3,0.1,,21,0.3,,17,0.2,,21,0.3,,16,0.4,,7,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,20,0.3,,17,0.3,,20,0.5,,15,0.3,,6,0.0
QF_BV/sage/app12/bench_228,,4,0.1,,64,1.9,,64,1.9,,64,1.3,,64,1.3,,8,0.0
QF_BV/sage/app12/bench_363,,3,0.2,,9,0.1,,9,0.1,,9,0.3,,9,0.3,,2,0.0
QF_BV/sage/app12/bench_446,,3,0.1,,64,1.2,,64,1.2,,64,2.1,,64,2.1,,7,0.1
QF_BV/sage/app12/bench_451,,4,0.1,,32,0.5,,32,0.5,,32,0.5,,32,0.5,,9,0.0
QF_BV/sage/app12/bench_953,,3,0.0,,10,0.1,,10,0.1,,10,0.3,,10,0.3,,7,0.1
QF_BV/sage/app12/bench_1051,,7,22.4,,185,484.9,,72,536.8,,87,542.9,,54,386.9,,10,3.5
QF_BV/sage/app12/bench_1183,,8,26.4,,211,442.0,,102,597.7,,132,524.0,,75,524.0,,19,7.6
QF_BV/sage/app12/bench_1353,,17,10.4,,323,16.8,,323,16.8,,323,17.1,,323,17.1,,- -,- -
QF_BV/sage/app12/bench_2353,,55,297.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,37,26.8,,530,47.4,,530,47.4,,530,47.7,,530,47.7,,- -,- -
QF_BV/sage/app12/bench_2451,,37,19.3,,457,34.5,,457,34.5,,457,21.1,,457,21.1,,- -,- -
QF_BV/sage/app12/bench_3681,,4,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,7,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,7,0.0
QF_BV/sage/app12/bench_3921,,40,0.5,,15,0.2,,15,0.2,,15,0.4,,15,0.4,,7,0.0
QF_BV/sage/app12/bench_3957,,109,0.6,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,7,0.0
QF_BV/sage/app12/bench_4059,,11,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,7,0.0
QF_BV/sage/app12/bench_4177,,3,0.1,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,13,0.0
QF_BV/sage/app12/bench_4845,,3,0.0,,11,0.1,,11,0.1,,11,0.2,,11,0.2,,6,0.0
QF_BV/sage/app12/bench_5599,,2,0.1,,32,1.7,,32,1.7,,32,3.8,,32,3.8,,6,0.1
QF_BV/sage/app2/bench_48,,35,14.7,,481,45.4,,481,45.4,,481,43.9,,481,43.9,,6,0.1
QF_BV/sage/app2/bench_225,,7,11.4,,416,56.9,,388,56.9,,413,73.0,,385,52.6,,6,2.0
QF_BV/sage/app2/bench_278,,4,7.4,,68,10.4,,64,13.0,,66,14.1,,64,25.8,,9,2.3
QF_BV/sage/app2/bench_282,,4,8.1,,53,14.5,,48,22.9,,49,22.4,,49,22.4,,10,1.6
QF_BV/sage/app2/bench_458,,125,4.4,,32,0.8,,32,0.8,,32,0.5,,32,0.5,,6,0.0
QF_BV/sage/app2/bench_642,,18,23.8,,435,38.4,,412,38.4,,434,49.5,,404,47.9,,7,1.2
QF_BV/sage/app2/bench_645,,5,3.0,,- -,- -,,48,10.9,,- -,- -,,50,10.7,,48,1.9
QF_BV/sage/app2/bench_664,,15,16.5,,436,47.5,,417,30.3,,438,47.0,,417,55.9,,6,1.0
QF_BV/sage/app2/bench_719,,17,21.5,,438,28.1,,420,45.5,,441,47.5,,425,48.4,,7,0.7
QF_BV/sage/app2/bench_830,,18,19.6,,463,30.4,,448,51.5,,467,63.2,,455,48.7,,7,0.5
QF_BV/sage/app2/bench_863,,5,10.8,,430,56.4,,396,40.3,,434,60.2,,406,61.0,,7,2.8
QF_BV/sage/app2/bench_1196,,6,10.0,,411,50.7,,378,33.7,,410,57.7,,377,51.4,,7,3.2
QF_BV/sage/app2/bench_1387,,25,242.8,,667,172.9,,666,172.9,,667,311.3,,666,291.3,,5,1.6
QF_BV/sage/app5/bench_42,,5,6.5,,34,5.4,,34,5.4,,34,5.3,,34,5.3,,21,0.6
QF_BV/sage/app5/bench_349,,5,14.2,,210,37.9,,196,63.4,,207,61.9,,197,61.8,,20,2.9
