Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,7,0.1,,7,0.1,,7,0.1,,7,0.1,,3,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,5,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bench_ab/a639test0017,,24,0.3,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,7,0.0
QF_BV/bench_ab/a651test0090,,11,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a655test0003,,17,0.1,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a659test0071,,11,0.1,,9,0.1,,9,0.0,,9,0.1,,9,0.1,,6,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,6,0.1,,6,0.1,,8,0.1,,7,0.0,,4,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,4.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,17,2.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,5.1,,63,93.0,,58,165.2,,69,185.8,,65,217.3,,7,1.4
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,9.4,,10,51.3,,10,95.2,,8,72.7,,8,83.4,,- -,- -
QF_BV/bmc-bv/graycode,,2,3.3,,4,0.4,,4,0.4,,4,0.7,,4,0.7,,3,0.3
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,2,6.9,,2,6.5,,2,6.5,,2,11.9,,2,11.9,,2,15.6
QF_BV/bmc-bv/queens,,3,6.2,,6,3.7,,6,3.7,,6,6.0,,6,6.0,,5,0.9
QF_BV/bmc-bv/sudoku,,1,59.2,,1,1.1,,1,1.1,,1,8.6,,1,8.6,,1,688.4
QF_BV/brummayerbiere2/smulov4bw0256,,4,964.2,,8,644.2,,8,644.2,,7,438.3,,7,438.3,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,13.9,,60,22.3,,60,22.3,,60,18.0,,60,18.0,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,4,88.3,,118,207.6,,79,207.6,,120,306.2,,120,306.2,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.0,,29,1.2,,29,1.2,,29,2.0,,29,2.0,,7,0.7
QF_BV/gulwani-pldi08/fig1d.phx,,12,240.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,94,2737.5
QF_BV/gulwani-pldi08/fig5.phx,,8,79.6,,502,1046.4,,200,991.3,,196,668.6,,87,668.6,,14,348.4
QF_BV/gulwani-pldi08/fig6.phx,,13,35.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,164,42.2
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,64.3,,200,987.7,,126,542.5,,189,676.1,,113,682.8,,20,83.9
QF_BV/RWS/Example_1.txt,,39,107.0,,163,1196.5,,105,1150.4,,273,1415.7,,107,1484.0,,111,14.0
QF_BV/RWS/Example_2.txt,,21,42.2,,72,636.1,,66,636.1,,57,587.7,,54,621.3,,39,4.8
QF_BV/RWS/Example_4.txt,,12,31.0,,44,245.2,,33,209.4,,66,653.5,,43,908.1,,37,5.2
QF_BV/RWS/Example_5.txt,,9,24.9,,24,165.4,,21,136.7,,21,182.4,,19,182.4,,22,3.3
QF_BV/RWS/Example_6.txt,,7,12.8,,24,126.2,,19,111.0,,21,97.4,,17,320.2,,13,0.9
QF_BV/RWS/Example_14.txt,,41,160.7,,182,1125.1,,111,1171.3,,175,1253.0,,102,1520.5,,108,78.8
QF_BV/sage/app1/bench_1141,,5,12.4,,89,282.7,,79,169.0,,94,194.4,,86,301.1,,7,0.9
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,5,10.1,,183,267.6,,140,281.6,,204,246.7,,153,246.7,,7,2.0
QF_BV/sage/app1/bench_1288,,4,5.6,,111,172.5,,70,176.4,,102,110.4,,71,124.7,,9,2.3
QF_BV/sage/app1/bench_1339,,4,5.3,,75,63.4,,52,109.2,,68,79.7,,50,77.5,,9,1.9
QF_BV/sage/app1/bench_1346,,4,5.1,,82,41.4,,75,67.8,,83,90.0,,76,70.6,,12,2.1
QF_BV/sage/app1/bench_1710,,5,0.1,,26,0.2,,25,0.3,,26,0.3,,24,0.2,,5,0.0
QF_BV/sage/app1/bench_1738,,8,0.1,,33,0.4,,33,0.4,,33,0.8,,33,0.8,,7,0.0
