Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,7,0.0,,7,0.0,,7,0.1,,7,0.1,,3,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,13,0.1,,13,0.1,,12,0.1,,12,0.1,,7,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,12,0.1,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,6,0.0
QF_BV/bench_ab/a651test0090,,13,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a655test0003,,11,0.0,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a659test0071,,16,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,9,0.1,,9,0.1,,7,0.0,,7,0.1,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.0,,73,49.2,,64,85.1,,67,80.0,,58,80.0,,20,2.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,4.3,,69,168.0,,60,91.7,,66,111.8,,55,185.8,,7,1.2
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,10.6,,9,71.9,,9,56.4,,8,77.2,,8,77.2,,- -,- -
QF_BV/bmc-bv/graycode,,2,2.9,,4,0.7,,4,0.7,,4,0.6,,4,0.6,,2,0.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.1
QF_BV/bmc-bv/magic,,2,9.4,,3,2.8,,3,2.8,,2,2.0,,2,2.0,,2,2.9
QF_BV/bmc-bv/queens,,3,6.4,,6,5.1,,6,5.1,,6,7.2,,6,7.2,,3,0.7
QF_BV/bmc-bv/sudoku,,1,40.9,,1,1.7,,1,1.7,,1,14.3,,1,14.3,,1,532.1
QF_BV/brummayerbiere2/smulov4bw0256,,5,1281.6,,7,619.8,,7,619.8,,6,573.8,,6,573.8,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,8.8,,60,11.8,,60,11.8,,60,17.5,,60,17.5,,6,2318.0
QF_BV/brummayerbiere2/smulov4bw0128,,4,101.9,,102,209.1,,58,251.9,,120,218.2,,120,218.2,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,2.5,,29,1.2,,29,1.2,,29,2.0,,29,2.0,,7,0.9
QF_BV/gulwani-pldi08/fig1d.phx,,12,232.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,96,2978.1
QF_BV/gulwani-pldi08/fig5.phx,,8,97.6,,339,1123.5,,180,1206.4,,258,887.1,,200,887.1,,13,245.0
QF_BV/gulwani-pldi08/fig6.phx,,11,31.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,155,49.8
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,73.6,,675,862.0,,133,926.6,,190,682.8,,116,731.9,,31,142.9
QF_BV/RWS/Example_1.txt,,40,117.4,,349,1193.6,,114,1187.8,,501,1437.7,,121,1594.3,,107,19.9
QF_BV/RWS/Example_2.txt,,21,76.8,,61,635.6,,57,635.6,,52,604.9,,48,565.6,,42,5.3
QF_BV/RWS/Example_4.txt,,12,40.5,,47,209.4,,38,519.6,,67,908.1,,44,614.0,,21,2.8
QF_BV/RWS/Example_5.txt,,9,30.5,,37,231.0,,33,202.4,,34,288.4,,31,288.4,,19,2.1
QF_BV/RWS/Example_6.txt,,7,13.7,,18,82.5,,16,90.7,,20,98.2,,15,136.8,,21,1.5
QF_BV/RWS/Example_14.txt,,41,173.4,,332,1177.5,,126,1183.7,,245,1582.7,,109,1582.7,,110,108.9
QF_BV/sage/app1/bench_1141,,4,7.7,,- -,- -,,91,276.8,,100,264.5,,89,263.4,,7,0.9
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,5,7.5,,188,248.0,,141,256.4,,191,222.5,,144,191.6,,6,1.8
QF_BV/sage/app1/bench_1288,,4,5.6,,132,176.4,,74,91.3,,111,184.4,,71,110.4,,6,1.4
QF_BV/sage/app1/bench_1339,,4,4.8,,92,107.7,,53,63.4,,75,124.8,,52,101.6,,8,1.1
QF_BV/sage/app1/bench_1346,,4,4.4,,95,44.1,,78,42.1,,81,57.4,,70,57.4,,10,1.7
