Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,74,372.2,,72,445.2,,64,565.0,,59,715.4
QF_BV/RWS/Example_8.txt,,20,83.3,,22,114.5,,20,110.5,,20,210.8
QF_BV/RWS/Example_9.txt,,34,748.2,,34,877.0,,32,1327.6,,31,1894.4
QF_BV/RWS/Example_10.txt,,90,1321.2,,84,1620.0,,76,2277.8,,74,3449.1
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,74,3351.0,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,62,362.6,,57,614.7,,54,828.2,,51,1234.4
QF_BV/RWS/Example_16.txt,,62,268.2,,62,773.8,,57,1034.3,,56,1489.8
QF_BV/RWS/Example_17.txt,,55,367.3,,52,792.5,,47,1723.8,,45,1420.0
QF_BV/sage/app1/bench_4,,7,230.0,,7,253.2,,7,430.1,,7,488.4
QF_BV/sage/app1/bench_29,,9,104.2,,8,140.2,,8,107.2,,8,143.6
QF_BV/sage/app1/bench_32,,9,123.6,,9,152.0,,8,180.9,,8,229.9
QF_BV/sage/app1/bench_37,,7,270.3,,7,293.3,,7,430.8,,7,541.7
QF_BV/sage/app1/bench_47,,9,126.9,,9,81.7,,9,190.9,,8,191.9
QF_BV/sage/app1/bench_52,,9,83.6,,9,131.1,,8,154.8,,9,219.4
QF_BV/sage/app1/bench_53,,9,88.9,,9,136.8,,8,145.5,,8,179.3
QF_BV/sage/app1/bench_54,,9,63.1,,9,221.1,,8,163.2,,9,229.4
QF_BV/sage/app1/bench_55,,9,175.9,,9,82.8,,8,132.9,,9,136.4
QF_BV/sage/app1/bench_60,,9,90.4,,9,90.0,,9,173.4,,8,202.8
QF_BV/sage/app1/bench_61,,9,102.1,,9,79.3,,8,149.3,,9,137.9
QF_BV/sage/app1/bench_62,,9,104.2,,9,130.8,,8,134.8,,9,231.5
QF_BV/sage/app1/bench_63,,9,72.8,,9,118.7,,9,159.5,,9,222.2
QF_BV/sage/app1/bench_66,,9,95.4,,8,104.0,,9,293.8,,9,210.2
QF_BV/sage/app1/bench_69,,10,121.2,,9,151.0,,9,172.0,,9,120.5
QF_BV/sage/app1/bench_99,,9,74.5,,9,103.7,,9,157.1,,8,172.8
QF_BV/sage/app1/bench_134,,9,89.5,,8,105.9,,9,314.9,,8,175.4
QF_BV/sage/app1/bench_169,,9,84.5,,9,115.8,,8,129.6,,9,117.9
QF_BV/sage/app1/bench_174,,9,79.6,,9,115.2,,9,132.2,,9,204.4
QF_BV/sage/app1/bench_175,,8,112.3,,8,97.9,,9,153.7,,8,164.6
QF_BV/sage/app1/bench_176,,9,90.9,,9,80.3,,9,144.2,,9,182.6
QF_BV/sage/app1/bench_177,,9,79.7,,9,73.2,,9,166.2,,9,191.9
QF_BV/sage/app1/bench_181,,7,218.9,,7,336.4,,7,474.4,,7,627.9
QF_BV/sage/app1/bench_182,,10,73.4,,9,172.9,,8,250.9,,9,187.0
QF_BV/sage/app1/bench_183,,9,80.2,,9,107.9,,8,81.9,,9,175.6
QF_BV/sage/app1/bench_184,,9,95.6,,9,122.1,,9,123.4,,9,125.8
QF_BV/sage/app1/bench_185,,9,138.4,,9,116.8,,9,147.1,,9,179.2
QF_BV/sage/app1/bench_188,,9,103.6,,9,65.7,,9,156.9,,8,115.6
QF_BV/sage/app1/bench_191,,9,84.8,,9,102.5,,8,124.9,,9,180.0
QF_BV/sage/app1/bench_201,,10,95.4,,9,115.7,,9,282.1,,9,207.1
QF_BV/sage/app1/bench_268,,9,87.6,,9,116.0,,9,113.6,,9,182.4
QF_BV/sage/app1/bench_310,,10,107.0,,10,152.5,,9,161.1,,9,147.4
QF_BV/sage/app1/bench_313,,9,100.8,,9,131.8,,9,166.9,,9,253.4
QF_BV/sage/app1/bench_329,,12,151.7,,11,129.7,,11,192.1,,12,366.9
QF_BV/sage/app1/bench_333,,12,116.0,,12,156.0,,11,178.3,,12,267.6
QF_BV/sage/app1/bench_334,,12,108.3,,11,80.5,,11,185.7,,12,410.4
QF_BV/sage/app1/bench_335,,13,102.3,,12,139.1,,12,191.6,,12,246.0
QF_BV/sage/app1/bench_338,,10,108.7,,9,125.0,,9,159.8,,9,167.2
QF_BV/sage/app1/bench_342,,12,117.7,,11,142.6,,12,192.2,,12,262.4
QF_BV/sage/app1/bench_343,,12,115.2,,12,141.6,,12,127.0,,11,232.9
QF_BV/sage/app1/bench_344,,12,132.0,,12,169.3,,11,141.1,,12,246.8
QF_BV/sage/app1/bench_345,,9,91.7,,9,121.2,,8,147.0,,9,195.3
QF_BV/sage/app1/bench_349,,9,94.9,,9,122.7,,9,167.3,,9,323.1
QF_BV/sage/app1/bench_352,,12,117.4,,11,176.9,,12,219.7,,11,229.6
QF_BV/sage/app1/bench_356,,11,93.0,,11,129.9,,11,142.6,,11,212.6
QF_BV/sage/app1/bench_372,,12,98.7,,11,220.3,,11,155.9,,11,164.5
QF_BV/sage/app1/bench_407,,12,89.2,,11,141.2,,11,180.7,,11,151.0
QF_BV/sage/app1/bench_411,,12,171.1,,11,129.8,,11,115.5,,11,233.0
QF_BV/sage/app1/bench_412,,11,93.1,,11,93.7,,11,267.5,,11,140.8
QF_BV/sage/app1/bench_413,,12,107.1,,11,124.6,,12,201.6,,11,209.1
QF_BV/sage/app1/bench_415,,12,125.0,,11,140.4,,11,190.7,,11,276.7
QF_BV/sage/app1/bench_419,,11,146.4,,11,127.6,,11,158.6,,11,235.7
QF_BV/sage/app1/bench_420,,11,144.4,,11,133.9,,11,138.1,,11,215.3
QF_BV/sage/app1/bench_421,,12,75.8,,11,134.7,,11,308.0,,11,223.1
QF_BV/sage/app1/bench_422,,12,177.2,,11,119.9,,11,176.4,,11,216.1
QF_BV/sage/app1/bench_426,,9,75.9,,9,59.5,,8,125.5,,9,105.8
QF_BV/sage/app1/bench_429,,11,145.7,,11,135.6,,10,149.5,,11,212.8
QF_BV/sage/app1/bench_443,,12,128.1,,11,94.6,,11,173.8,,11,299.8
QF_BV/sage/app1/bench_511,,13,85.8,,12,136.0,,10,115.7,,12,227.0
QF_BV/sage/app1/bench_512,,11,89.9,,12,133.3,,11,116.1,,11,197.2
QF_BV/sage/app1/bench_517,,14,110.4,,14,163.6,,12,116.0,,12,229.6
QF_BV/sage/app1/bench_531,,18,123.5,,13,140.7,,11,91.3,,11,222.6
QF_BV/sage/app1/bench_535,,14,104.1,,14,151.9,,12,130.4,,12,235.9
QF_BV/sage/app1/bench_537,,12,142.2,,13,142.5,,13,135.8,,12,228.3
QF_BV/sage/app1/bench_539,,17,98.0,,14,177.2,,11,138.8,,11,215.9
QF_BV/sage/app1/bench_542,,18,89.4,,21,182.0,,12,86.5,,13,235.4
QF_BV/sage/app1/bench_545,,16,100.6,,14,136.1,,11,87.7,,12,204.9
QF_BV/sage/app1/bench_552,,14,135.6,,13,102.3,,12,247.5,,13,264.5
QF_BV/sage/app1/bench_556,,12,91.9,,12,160.4,,12,251.7,,12,369.8
QF_BV/sage/app1/bench_562,,12,104.1,,11,123.3,,11,155.6,,10,183.1
QF_BV/sage/app1/bench_564,,11,127.4,,10,114.8,,10,147.3,,10,216.6
QF_BV/sage/app1/bench_567,,11,125.4,,11,185.0,,10,142.1,,10,128.4
QF_BV/sage/app1/bench_571,,11,114.5,,10,113.3,,10,147.1,,10,183.8
QF_BV/sage/app1/bench_602,,10,162.8,,11,159.8,,10,170.9,,10,243.5
QF_BV/sage/app1/bench_611,,11,88.1,,10,180.2,,10,173.5,,10,211.9
QF_BV/sage/app1/bench_620,,11,126.2,,10,127.1,,10,174.4,,10,204.4
QF_BV/sage/app1/bench_629,,11,105.8,,11,126.5,,10,206.9,,10,207.4
QF_BV/sage/app1/bench_638,,10,89.7,,11,82.5,,10,184.4,,10,206.2
QF_BV/sage/app1/bench_646,,11,84.5,,11,89.9,,10,271.0,,10,129.8
QF_BV/sage/app1/bench_655,,11,84.2,,11,111.9,,10,202.4,,11,227.1
QF_BV/sage/app1/bench_664,,11,60.5,,11,71.1,,11,171.5,,11,151.6
QF_BV/sage/app1/bench_674,,11,121.4,,10,113.6,,11,105.2,,10,203.0
QF_BV/sage/app1/bench_681,,7,267.0,,7,392.6,,7,457.3,,6,529.2
QF_BV/sage/app1/bench_683,,11,116.3,,11,123.8,,10,126.5,,10,180.8
QF_BV/sage/app1/bench_691,,11,101.3,,11,112.3,,10,134.1,,10,183.6
QF_BV/sage/app1/bench_692,,7,255.6,,7,318.1,,7,468.3,,6,560.1
QF_BV/sage/app1/bench_699,,11,100.4,,11,114.7,,11,202.2,,10,190.1
QF_BV/sage/app1/bench_707,,11,96.6,,11,109.5,,11,157.5,,10,176.0
QF_BV/sage/app1/bench_715,,11,57.4,,11,114.4,,11,163.6,,11,182.1
QF_BV/sage/app1/bench_722,,12,101.4,,11,107.8,,10,120.9,,11,207.1
QF_BV/sage/app1/bench_730,,12,92.3,,11,100.3,,11,106.4,,11,179.4
QF_BV/sage/app1/bench_738,,12,72.0,,11,104.0,,11,135.3,,11,182.1
QF_BV/sage/app1/bench_745,,12,59.4,,11,115.0,,11,130.8,,11,176.9
QF_BV/sage/app1/bench_753,,14,80.9,,11,55.2,,12,132.6,,12,133.8
QF_BV/sage/app1/bench_761,,13,54.3,,11,77.8,,11,127.4,,11,202.7
QF_BV/sage/app1/bench_836,,7,297.7,,7,208.8,,7,636.5,,7,568.2
QF_BV/sage/app1/bench_847,,7,305.5,,7,346.3,,7,457.4,,7,665.6
QF_BV/sage/app1/bench_858,,7,187.8,,7,534.5,,7,807.5,,7,352.6
QF_BV/sage/app1/bench_869,,7,338.9,,7,314.3,,7,481.4,,7,496.8
QF_BV/sage/app1/bench_880,,7,252.8,,7,229.1,,7,758.2,,7,536.9
QF_BV/sage/app1/bench_914,,7,172.7,,7,174.7,,7,385.5,,7,935.7
QF_BV/sage/app1/bench_926,,13,80.1,,11,81.3,,11,111.8,,11,155.5
QF_BV/sage/app1/bench_947,,7,239.7,,7,335.2,,7,410.5,,7,556.6
QF_BV/sage/app1/bench_983,,13,75.0,,12,75.1,,12,124.5,,11,174.2
QF_BV/sage/app1/bench_985,,11,45.5,,11,72.8,,10,100.2,,11,173.2
QF_BV/sage/app1/bench_987,,11,44.2,,10,65.3,,10,91.6,,10,159.7
QF_BV/sage/app1/bench_989,,11,64.9,,10,46.2,,9,87.7,,9,90.4
QF_BV/sage/app1/bench_992,,9,59.7,,9,69.8,,9,109.1,,9,136.1
QF_BV/sage/app1/bench_994,,9,47.8,,9,65.4,,8,81.0,,8,113.6
QF_BV/sage/app1/bench_996,,9,36.0,,8,50.8,,8,80.5,,8,108.5
QF_BV/sage/app1/bench_998,,9,58.6,,8,65.3,,8,138.0,,8,120.5
QF_BV/sage/app1/bench_1000,,9,31.5,,7,40.1,,7,50.4,,7,99.5
QF_BV/sage/app1/bench_1004,,9,41.6,,7,41.8,,7,49.0,,7,85.7
QF_BV/sage/app1/bench_1006,,7,20.7,,7,42.1,,7,39.6,,7,92.5
QF_BV/sage/app1/bench_1008,,7,34.5,,6,35.6,,7,53.0,,7,90.4
QF_BV/sage/app1/bench_1010,,8,28.1,,6,40.0,,6,36.5,,6,90.0
QF_BV/sage/app1/bench_1012,,7,53.7,,6,35.2,,6,38.5,,6,80.3
QF_BV/sage/app1/bench_1015,,6,21.6,,6,34.8,,6,47.5,,6,78.4
QF_BV/sage/app1/bench_1017,,7,34.3,,6,37.4,,6,44.7,,6,79.9
QF_BV/sage/app1/bench_1019,,6,27.7,,6,34.0,,6,45.0,,6,85.4
QF_BV/sage/app1/bench_1021,,7,33.3,,6,40.5,,6,42.2,,6,78.8
QF_BV/sage/app1/bench_1023,,6,29.5,,6,43.5,,6,51.9,,6,90.0
QF_BV/sage/app1/bench_1027,,7,37.8,,6,43.5,,6,45.1,,6,91.5
QF_BV/sage/app1/bench_1035,,7,25.2,,5,41.1,,6,50.7,,6,86.5
QF_BV/sage/app1/bench_1109,,6,28.9,,6,40.0,,6,40.4,,6,90.7
QF_BV/sage/app1/bench_1110,,7,44.0,,6,41.0,,6,42.2,,6,93.2
QF_BV/sage/app1/bench_1126,,7,274.8,,7,310.5,,7,487.2,,7,613.5
QF_BV/sage/app1/bench_1128,,7,31.8,,6,42.9,,6,64.5,,6,100.2
QF_BV/sage/app1/bench_1448,,7,256.9,,7,512.4,,7,447.1,,7,520.0
QF_BV/sage/app1/bench_1459,,7,217.2,,7,171.9,,7,458.3,,7,544.1
QF_BV/sage/app1/bench_1470,,7,162.3,,7,355.9,,7,252.0,,7,593.2
QF_BV/sage/app1/bench_1481,,7,179.5,,7,185.0,,7,801.3,,7,568.0
QF_BV/sage/app1/bench_1492,,7,269.8,,7,286.6,,7,854.4,,7,526.6
QF_BV/sage/app1/bench_1525,,8,197.3,,7,175.0,,7,595.7,,7,523.5
QF_BV/sage/app1/bench_1559,,7,393.3,,7,201.6,,7,416.0,,7,500.3
QF_BV/sage/app1/bench_1873,,7,215.6,,7,300.6,,7,421.7,,7,496.1
QF_BV/sage/app1/bench_1877,,7,228.7,,7,228.5,,7,358.4,,7,947.9
QF_BV/sage/app1/bench_1913,,8,244.1,,7,321.6,,7,654.6,,7,615.4
QF_BV/sage/app1/bench_1914,,7,237.3,,7,311.4,,7,418.4,,7,594.5
QF_BV/sage/app1/bench_1915,,7,297.4,,7,309.5,,7,315.0,,7,553.1
QF_BV/sage/app1/bench_1916,,7,360.6,,7,297.4,,7,408.6,,7,292.1
QF_BV/sage/app1/bench_1917,,8,213.8,,7,288.9,,7,504.5,,7,489.1
QF_BV/sage/app1/bench_1920,,7,220.0,,7,331.6,,7,375.4,,7,525.2
QF_BV/sage/app1/bench_1924,,8,274.6,,7,265.3,,7,556.5,,7,452.5
QF_BV/sage/app1/bench_1950,,7,340.8,,7,294.3,,7,334.9,,7,491.2
QF_BV/sage/app1/bench_2004,,8,158.8,,7,243.2,,7,319.1,,7,234.8
QF_BV/sage/app1/bench_2005,,7,183.8,,7,189.6,,7,309.6,,7,376.2
QF_BV/sage/app1/bench_2020,,7,222.0,,7,246.4,,7,475.9,,7,374.5
QF_BV/sage/app1/bench_2021,,8,229.2,,7,436.4,,7,444.2,,7,373.6
QF_BV/sage/app1/bench_2022,,7,197.2,,7,319.5,,7,287.4,,7,276.5
QF_BV/sage/app1/bench_2024,,7,247.8,,7,143.1,,7,291.4,,7,432.4
QF_BV/sage/app1/bench_2025,,7,171.9,,7,368.0,,7,350.4,,7,224.1
QF_BV/sage/app1/bench_2028,,8,194.5,,7,231.8,,7,295.3,,7,387.7
QF_BV/sage/app1/bench_2031,,7,230.1,,7,294.1,,7,401.2,,7,531.0
QF_BV/sage/app1/bench_2088,,8,198.6,,7,248.5,,7,311.2,,7,368.2
QF_BV/sage/app1/bench_2089,,7,313.1,,6,197.3,,7,421.5,,6,471.3
QF_BV/sage/app1/bench_2124,,8,194.2,,7,198.6,,7,462.1,,7,610.7
QF_BV/sage/app1/bench_2128,,8,235.0,,7,280.9,,7,311.8,,7,353.3
QF_BV/sage/app1/bench_2129,,8,355.0,,8,247.8,,8,548.1,,7,624.4
QF_BV/sage/app1/bench_2133,,8,323.6,,7,214.5,,7,294.3,,7,353.4
QF_BV/sage/app1/bench_2135,,8,234.8,,7,236.4,,7,340.4,,7,411.5
QF_BV/sage/app1/bench_2138,,8,246.9,,8,188.1,,7,315.5,,8,507.7
QF_BV/sage/app1/bench_2141,,8,162.7,,7,202.6,,7,168.3,,7,372.3
QF_BV/sage/app1/bench_2173,,7,278.8,,8,307.2,,7,234.7,,7,532.0
QF_BV/sage/app1/bench_2219,,8,299.9,,8,507.8,,7,344.2,,7,453.9
QF_BV/sage/app1/bench_2252,,8,149.0,,7,156.0,,7,244.6,,7,260.2
QF_BV/sage/app1/bench_2257,,8,152.0,,8,178.9,,7,173.1,,7,305.8
QF_BV/sage/app1/bench_2258,,8,199.1,,8,165.9,,8,315.5,,8,412.2
QF_BV/sage/app1/bench_2262,,8,192.9,,8,186.7,,8,213.2,,8,553.5
QF_BV/sage/app1/bench_2263,,8,122.8,,8,107.2,,8,290.1,,7,282.1
QF_BV/sage/app1/bench_2266,,8,165.3,,8,201.2,,8,283.0,,7,289.1
QF_BV/sage/app1/bench_2270,,7,129.3,,8,112.5,,8,243.5,,7,242.6
QF_BV/sage/app1/bench_2293,,8,121.0,,8,138.8,,7,336.9,,8,329.9
QF_BV/sage/app1/bench_2322,,7,260.6,,7,332.8,,7,460.1,,7,363.2
QF_BV/sage/app1/bench_2330,,8,152.4,,8,141.8,,8,250.6,,8,338.3
QF_BV/sage/app1/bench_2365,,8,140.2,,8,147.3,,8,173.2,,8,136.7
QF_BV/sage/app1/bench_2367,,7,238.7,,7,308.0,,7,877.9,,7,554.8
QF_BV/sage/app1/bench_2370,,8,110.0,,8,85.1,,8,231.2,,8,244.1
QF_BV/sage/app1/bench_2371,,8,233.2,,8,142.3,,8,213.6,,8,269.1
