Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,34,294.8,,34,331.9,,52,424.8,,36,202.6
QF_BV/RWS/Example_8.txt,,12,67.8,,13,71.5,,15,69.2,,13,46.8
QF_BV/RWS/Example_9.txt,,17,794.4,,18,655.9,,20,1129.7,,18,489.1
QF_BV/RWS/Example_10.txt,,41,1279.7,,40,661.2,,57,2590.3,,43,751.3
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,26,444.4,,28,787.4,,37,836.7,,28,298.9
QF_BV/RWS/Example_16.txt,,33,641.6,,35,1241.2,,52,650.0,,36,376.1
QF_BV/RWS/Example_17.txt,,25,549.2,,26,451.5,,35,753.3,,26,394.1
QF_BV/sage/app1/bench_4,,5,317.5,,6,610.1,,5,280.7,,5,155.4
QF_BV/sage/app1/bench_29,,5,116.8,,6,97.1,,6,73.3,,6,57.8
QF_BV/sage/app1/bench_32,,5,202.8,,6,86.7,,6,171.4,,6,66.5
QF_BV/sage/app1/bench_37,,5,325.8,,6,464.5,,5,165.8,,5,159.1
QF_BV/sage/app1/bench_47,,6,123.3,,6,70.6,,6,84.9,,6,59.7
QF_BV/sage/app1/bench_52,,5,110.4,,7,52.8,,6,129.5,,6,46.9
QF_BV/sage/app1/bench_53,,5,99.3,,6,79.8,,6,146.8,,6,55.3
QF_BV/sage/app1/bench_54,,5,109.8,,6,86.3,,6,138.2,,6,54.7
QF_BV/sage/app1/bench_55,,5,101.0,,6,88.2,,6,50.6,,6,60.5
QF_BV/sage/app1/bench_60,,5,120.9,,6,85.0,,6,91.7,,6,54.1
QF_BV/sage/app1/bench_61,,5,71.0,,6,77.1,,5,73.5,,6,48.2
QF_BV/sage/app1/bench_62,,6,116.5,,6,73.3,,6,88.7,,6,53.8
QF_BV/sage/app1/bench_63,,5,94.8,,7,94.4,,6,78.9,,6,49.8
QF_BV/sage/app1/bench_66,,5,101.4,,7,75.5,,6,71.5,,6,51.4
QF_BV/sage/app1/bench_69,,6,132.2,,7,74.5,,6,80.0,,6,51.7
QF_BV/sage/app1/bench_99,,5,92.8,,6,73.3,,6,76.0,,6,53.9
QF_BV/sage/app1/bench_134,,6,108.5,,7,86.8,,6,89.8,,6,49.7
QF_BV/sage/app1/bench_169,,6,109.3,,7,82.5,,6,73.9,,6,42.9
QF_BV/sage/app1/bench_174,,6,102.2,,7,84.0,,6,80.5,,6,41.0
QF_BV/sage/app1/bench_175,,5,225.3,,6,73.0,,6,129.1,,6,49.7
QF_BV/sage/app1/bench_176,,5,91.5,,7,77.3,,5,59.4,,6,49.3
QF_BV/sage/app1/bench_177,,6,71.7,,7,90.8,,6,48.8,,7,55.8
QF_BV/sage/app1/bench_181,,5,342.8,,7,287.1,,5,313.7,,5,153.8
QF_BV/sage/app1/bench_182,,6,127.2,,6,73.5,,6,111.3,,6,44.8
QF_BV/sage/app1/bench_183,,5,144.6,,7,46.5,,5,36.7,,6,46.5
QF_BV/sage/app1/bench_184,,5,78.8,,7,82.4,,6,147.3,,6,51.4
QF_BV/sage/app1/bench_185,,6,194.2,,6,44.0,,6,77.6,,6,46.4
QF_BV/sage/app1/bench_188,,6,108.6,,7,51.2,,6,87.3,,6,49.8
QF_BV/sage/app1/bench_191,,6,98.0,,7,52.5,,6,72.2,,6,43.0
QF_BV/sage/app1/bench_201,,6,119.8,,7,60.6,,5,57.3,,6,52.7
QF_BV/sage/app1/bench_268,,5,94.5,,7,112.7,,6,61.4,,7,86.4
QF_BV/sage/app1/bench_310,,6,243.8,,7,92.5,,6,71.9,,7,66.2
QF_BV/sage/app1/bench_313,,6,116.3,,7,89.5,,6,89.1,,6,53.9
QF_BV/sage/app1/bench_329,,6,113.2,,8,96.4,,8,83.0,,7,60.8
QF_BV/sage/app1/bench_333,,6,167.1,,8,83.1,,6,71.0,,7,54.0
QF_BV/sage/app1/bench_334,,6,119.7,,7,121.1,,6,67.2,,7,84.4
QF_BV/sage/app1/bench_335,,6,107.4,,7,70.1,,7,80.4,,6,49.7
QF_BV/sage/app1/bench_338,,5,76.6,,7,88.9,,7,129.0,,7,56.7
QF_BV/sage/app1/bench_342,,6,77.8,,9,134.5,,7,172.3,,7,95.2
QF_BV/sage/app1/bench_343,,6,68.6,,7,106.5,,7,182.8,,6,50.7
QF_BV/sage/app1/bench_344,,6,131.6,,8,91.5,,7,141.3,,7,103.8
QF_BV/sage/app1/bench_345,,6,99.9,,7,52.7,,7,86.2,,6,44.8
QF_BV/sage/app1/bench_349,,6,168.0,,7,84.3,,6,92.1,,7,53.2
QF_BV/sage/app1/bench_352,,6,95.3,,7,72.8,,6,76.5,,7,50.5
QF_BV/sage/app1/bench_356,,6,102.5,,7,80.9,,7,84.9,,7,102.8
QF_BV/sage/app1/bench_372,,6,103.5,,8,97.7,,6,73.8,,7,55.5
QF_BV/sage/app1/bench_407,,6,118.9,,7,80.0,,7,87.2,,7,61.8
QF_BV/sage/app1/bench_411,,6,102.0,,7,109.4,,7,80.1,,7,48.3
QF_BV/sage/app1/bench_412,,6,107.8,,7,76.0,,7,73.1,,7,53.2
QF_BV/sage/app1/bench_413,,6,101.6,,7,82.9,,8,122.4,,7,67.0
QF_BV/sage/app1/bench_415,,6,208.8,,7,63.9,,7,71.9,,7,52.2
QF_BV/sage/app1/bench_419,,6,203.4,,7,89.0,,7,173.7,,7,35.8
QF_BV/sage/app1/bench_420,,6,105.3,,8,83.3,,7,91.7,,7,61.2
QF_BV/sage/app1/bench_421,,6,106.7,,7,86.2,,7,79.3,,7,50.6
QF_BV/sage/app1/bench_422,,6,144.9,,7,77.0,,7,77.4,,7,50.7
QF_BV/sage/app1/bench_426,,5,89.0,,6,98.7,,6,70.1,,7,45.3
QF_BV/sage/app1/bench_429,,6,105.0,,7,75.8,,7,53.5,,7,50.3
QF_BV/sage/app1/bench_443,,6,107.7,,8,94.2,,7,89.4,,7,49.3
QF_BV/sage/app1/bench_511,,6,75.7,,8,71.0,,8,97.0,,7,53.1
QF_BV/sage/app1/bench_512,,6,55.3,,10,89.4,,8,98.4,,7,53.3
QF_BV/sage/app1/bench_517,,7,93.7,,8,74.9,,7,89.3,,7,57.2
QF_BV/sage/app1/bench_531,,6,75.3,,7,67.5,,8,103.6,,7,52.6
QF_BV/sage/app1/bench_535,,6,59.3,,9,46.7,,7,74.3,,7,52.4
