Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,5,0.1,,5,0.1,,5,0.1,,5,0.1,,3,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,12,0.1,,12,0.1,,12,0.1,,12,0.1,,5,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bench_ab/a639test0017,,24,0.3,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,6,0.0
QF_BV/bench_ab/a651test0090,,11,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a655test0003,,17,0.1,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a659test0071,,11,0.1,,9,0.1,,9,0.0,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,6,0.1,,6,0.1,,8,0.1,,7,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,6.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,1.4
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,3.0,,60,95.4,,56,51.8,,67,153.1,,61,80.1,,6,1.1
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,11.0,,8,46.1,,7,41.7,,7,72.5,,7,72.5,,- -,- -
QF_BV/bmc-bv/graycode,,1,1.6,,1,0.1,,1,0.1,,1,0.2,,1,0.2,,1,0.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,1,4.1,,1,1.1,,1,1.1,,1,11.9,,1,11.9,,1,15.4
QF_BV/bmc-bv/queens,,2,5.9,,4,0.9,,4,0.9,,4,1.2,,4,1.2,,3,0.7
QF_BV/bmc-bv/sudoku,,1,59.2,,1,1.1,,1,1.1,,1,8.6,,1,8.6,,1,688.4
QF_BV/brummayerbiere2/smulov4bw0256,,4,1172.9,,6,505.3,,6,505.3,,5,629.9,,5,629.9,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,8.6,,57,21.5,,57,21.5,,57,17.4,,57,17.4,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,4,88.3,,107,188.8,,72,188.8,,113,290.6,,113,290.6,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.5,,27,1.1,,27,1.1,,27,2.0,,27,2.0,,5,0.5
QF_BV/gulwani-pldi08/fig1d.phx,,9,195.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,35,1024.1
QF_BV/gulwani-pldi08/fig5.phx,,6,63.6,,368,1092.5,,194,1009.0,,154,484.0,,77,484.0,,11,275.0
QF_BV/gulwani-pldi08/fig6.phx,,10,28.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,106,24.5
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,6,52.8,,191,729.5,,122,427.4,,166,473.9,,103,522.3,,13,58.2
QF_BV/RWS/Example_1.txt,,23,48.6,,65,471.2,,57,471.2,,64,568.5,,57,554.4,,51,5.9
QF_BV/RWS/Example_2.txt,,14,47.6,,47,358.7,,44,358.7,,36,339.7,,34,339.7,,24,2.5
QF_BV/RWS/Example_4.txt,,10,31.5,,35,154.9,,28,163.1,,48,198.6,,38,198.6,,18,1.5
QF_BV/RWS/Example_5.txt,,7,17.1,,13,72.0,,13,72.0,,16,148.9,,15,148.9,,16,2.5
QF_BV/RWS/Example_6.txt,,6,9.6,,17,57.2,,16,75.5,,16,107.5,,15,76.6,,9,0.6
QF_BV/RWS/Example_14.txt,,21,93.8,,58,860.9,,52,766.2,,51,545.3,,47,581.3,,38,34.6
QF_BV/sage/app1/bench_1141,,4,7.3,,75,278.2,,65,166.5,,80,203.3,,74,265.4,,6,0.8
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,4,8.2,,161,240.3,,123,230.4,,182,221.5,,136,201.2,,6,1.8
QF_BV/sage/app1/bench_1288,,3,5.7,,87,111.6,,48,90.4,,71,68.2,,48,68.2,,6,1.6
QF_BV/sage/app1/bench_1339,,3,4.3,,55,83.3,,34,53.6,,46,85.6,,33,69.7,,6,1.3
QF_BV/sage/app1/bench_1346,,4,5.1,,58,29.1,,55,40.9,,59,55.2,,54,55.2,,7,1.2
QF_BV/sage/app1/bench_1710,,4,0.1,,26,0.2,,25,0.3,,26,0.3,,24,0.2,,5,0.0
QF_BV/sage/app1/bench_1738,,7,0.1,,32,0.4,,32,0.4,,32,0.4,,32,0.4,,7,0.0
QF_BV/sage/app1/bench_1742,,3,0.1,,20,0.3,,16,0.3,,20,0.3,,18,0.3,,5,0.0
QF_BV/sage/app1/bench_1768,,3,0.1,,19,0.2,,14,0.3,,19,0.2,,14,0.2,,6,0.0
QF_BV/sage/app12/bench_228,,3,0.1,,63,2.0,,63,2.0,,63,2.1,,63,2.1,,5,0.0
QF_BV/sage/app12/bench_363,,2,0.2,,7,0.2,,7,0.2,,7,0.3,,7,0.3,,3,0.1
QF_BV/sage/app12/bench_446,,3,0.1,,63,1.2,,63,1.2,,63,2.6,,63,2.6,,6,0.1
QF_BV/sage/app12/bench_451,,3,1.2,,31,0.6,,31,0.6,,31,0.6,,31,0.6,,6,0.0
QF_BV/sage/app12/bench_953,,3,0.1,,9,0.1,,9,0.1,,8,0.2,,8,0.2,,3,0.0
QF_BV/sage/app12/bench_1051,,4,14.4,,55,138.8,,38,138.8,,53,179.5,,43,308.8,,6,2.0
QF_BV/sage/app12/bench_1183,,5,26.5,,142,364.9,,93,326.7,,104,218.4,,73,307.5,,6,2.1
QF_BV/sage/app12/bench_1353,,8,5.9,,304,18.3,,304,18.3,,304,16.7,,304,16.7,,- -,- -
QF_BV/sage/app12/bench_2353,,34,175.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,17,15.7,,511,42.1,,511,42.1,,511,45.9,,511,45.9,,- -,- -
QF_BV/sage/app12/bench_2451,,19,11.6,,440,30.6,,440,30.6,,440,19.9,,440,19.9,,- -,- -
QF_BV/sage/app12/bench_3681,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,8,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,5,0.0
QF_BV/sage/app12/bench_3921,,57,0.7,,15,0.2,,15,0.2,,15,0.4,,15,0.4,,4,0.0
QF_BV/sage/app12/bench_3957,,10,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,4,0.0
QF_BV/sage/app12/bench_4059,,14,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,5,0.0
QF_BV/sage/app12/bench_4177,,2,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,7,0.0
QF_BV/sage/app12/bench_4845,,3,0.1,,11,0.1,,11,0.1,,11,0.1,,11,0.1,,6,0.0
QF_BV/sage/app12/bench_5599,,2,0.1,,31,1.6,,31,1.6,,31,2.1,,31,2.1,,6,0.1
QF_BV/sage/app2/bench_48,,31,8.7,,457,24.4,,457,24.4,,457,42.3,,457,42.3,,5,0.1
QF_BV/sage/app2/bench_225,,5,8.0,,390,35.9,,369,35.9,,393,48.8,,373,49.7,,5,1.9
QF_BV/sage/app2/bench_278,,3,7.3,,56,16.8,,53,16.8,,59,16.1,,56,16.0,,5,1.3
QF_BV/sage/app2/bench_282,,3,5.9,,39,19.7,,39,12.7,,39,16.5,,39,16.9,,5,0.9
QF_BV/sage/app2/bench_458,,5,0.1,,31,0.5,,31,0.5,,31,0.8,,31,0.7,,4,0.0
QF_BV/sage/app2/bench_642,,10,12.7,,420,42.6,,403,28.4,,420,45.0,,405,45.0,,5,0.5
QF_BV/sage/app2/bench_645,,4,2.3,,38,4.5,,36,7.2,,38,7.7,,35,7.7,,11,0.3
QF_BV/sage/app2/bench_664,,11,13.9,,422,31.2,,408,31.1,,415,47.6,,392,48.0,,5,0.7
QF_BV/sage/app2/bench_719,,10,11.0,,425,45.3,,408,27.4,,424,46.8,,408,43.8,,5,0.7
QF_BV/sage/app2/bench_830,,13,12.9,,445,28.7,,432,28.9,,444,49.5,,434,49.5,,5,0.5
QF_BV/sage/app2/bench_863,,5,9.6,,404,33.7,,372,37.4,,403,52.0,,376,52.0,,6,3.5
QF_BV/sage/app2/bench_1196,,5,7.1,,383,49.9,,355,32.4,,386,48.7,,351,56.2,,6,1.7
QF_BV/sage/app2/bench_1387,,17,229.1,,584,170.8,,583,240.8,,584,228.5,,582,280.7,,4,1.3
QF_BV/sage/app5/bench_42,,4,5.3,,32,5.2,,32,5.2,,32,5.2,,32,5.2,,20,0.4
QF_BV/sage/app5/bench_349,,4,10.4,,199,46.5,,191,56.7,,196,61.8,,185,53.1,,7,1.2
QF_BV/sage/app5/bench_357,,4,9.7,,192,64.2,,186,38.4,,191,46.4,,183,46.4,,10,1.3
QF_BV/sage/app5/bench_575,,4,0.2,,63,2.0,,63,2.1,,63,2.1,,63,2.1,,6,0.1
QF_BV/sage/app5/bench_742,,2,0.1,,7,1.5,,7,1.5,,7,2.3,,7,2.3,,2,0.1
QF_BV/sage/app5/bench_794,,2,0.0,,32,0.2,,32,0.2,,32,0.4,,32,0.4,,6,0.0
QF_BV/sage/app5/bench_931,,4,0.8,,109,10.3,,91,9.6,,120,11.3,,95,10.2,,5,0.1
QF_BV/sage/app5/bench_959,,4,0.8,,94,8.4,,71,8.4,,83,9.5,,63,10.3,,5,0.1
QF_BV/sage/app5/bench_960,,3,0.1,,32,0.4,,32,0.4,,32,0.4,,32,0.4,,8,0.0
QF_BV/sage/app5/bench_1163,,5,1.1,,168,10.2,,119,17.6,,167,16.4,,111,16.4,,6,0.1
QF_BV/sage/app5/bench_1170,,5,1.1,,180,15.2,,150,19.5,,177,19.7,,139,13.8,,8,0.1
QF_BV/sage/app5/bench_1182,,4,8.3,,156,19.8,,153,31.4,,157,21.4,,153,28.9,,7,0.5
QF_BV/sage/app5/bench_1262,,4,0.2,,45,1.4,,39,0.8,,52,1.4,,40,0.9,,6,0.1
QF_BV/sage/app8/bench_23,,4,3.3,,10,1.0,,10,1.0,,10,2.0,,10,2.0,,8,1.1
QF_BV/sage/app8/bench_49,,4,1.0,,23,3.8,,22,3.6,,23,4.3,,22,2.8,,7,0.3
QF_BV/sage/app8/bench_400,,4,24.6,,64,210.4,,59,275.2,,60,283.3,,58,335.7,,5,49.0
QF_BV/sage/app8/bench_443,,4,19.9,,61,316.4,,52,328.6,,58,370.9,,56,505.6,,6,115.0
QF_BV/sage/app8/bench_498,,4,22.9,,71,340.9,,57,306.3,,99,347.6,,68,347.6,,5,83.7
QF_BV/sage/app8/bench_525,,4,0.3,,- -,- -,,36,0.7,,483,0.7,,35,0.7,,38,0.2
QF_BV/sage/app8/bench_828,,5,17.6,,106,345.4,,81,360.5,,90,463.3,,70,463.3,,6,114.7
QF_BV/sage/app8/bench_1892,,3,0.7,,29,4.9,,28,3.1,,29,4.9,,27,4.8,,6,0.1
QF_BV/sage/app8/bench_2006,,5,1.3,,56,3.1,,50,3.2,,59,5.2,,52,4.8,,8,0.2
QF_BV/sage/app8/bench_2310,,4,0.6,,34,1.3,,34,1.3,,202,1.6,,44,1.6,,7,0.1
QF_BV/sage/app8/bench_2647,,5,1.9,,37,5.3,,36,5.5,,51,6.9,,46,6.9,,11,0.6
QF_BV/sage/app8/bench_2880,,4,1.7,,49,3.8,,46,3.8,,49,6.4,,46,6.4,,7,0.5
QF_BV/sage/app8/bench_3177,,5,2.9,,522,14.1,,44,21.0,,917,27.5,,44,30.7,,7,0.6
QF_BV/sage/app8/bench_3314,,4,2.0,,22,1.8,,22,1.8,,21,4.2,,21,3.0,,5,0.3
QF_BV/sage/app8/bench_3368,,3,1.9,,11,0.3,,11,0.3,,11,0.3,,11,0.3,,5,0.3
QF_BV/sage/app8/bench_3424,,4,1.2,,38,2.1,,33,2.1,,29,3.0,,27,3.9,,7,0.3
QF_BV/sage/app8/bench_3448,,3,0.4,,24,0.6,,22,0.6,,27,0.9,,25,0.9,,4,0.1
QF_BV/sage/app8/bench_3677,,4,0.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,13,0.1
QF_BV/sage/app8/bench_3814,,4,2.0,,22,2.6,,21,3.4,,22,3.7,,21,3.7,,5,0.2
QF_BV/sage/app8/bench_3836,,2,0.0,,15,0.2,,15,0.2,,15,0.2,,15,0.2,,5,0.0
QF_BV/sage/app8/bench_3842,,2,0.0,,16,0.2,,16,0.2,,16,0.1,,16,0.1,,4,0.0
QF_BV/sage/app9/bench_885,,4,5.5,,338,100.2,,288,76.1,,345,96.5,,270,103.0,,8,0.6
QF_BV/sage/app9/bench_919,,8,0.3,,- -,- -,,26,0.7,,574,1.3,,26,1.2,,12,0.1
QF_BV/sage/app9/bench_979,,3,0.1,,16,0.9,,16,0.9,,15,1.0,,15,1.0,,6,0.1
QF_BV/sage/app9/bench_1203,,4,1.3,,21,1.5,,21,1.5,,22,3.3,,22,3.3,,5,0.2
QF_BV/sage/app9/bench_1269,,4,0.8,,51,2.4,,45,2.1,,48,2.3,,43,2.3,,10,0.3
QF_BV/sage/app9/bench_1323,,4,0.6,,798,2.4,,43,2.0,,- -,- -,,44,1.6,,7,0.1
QF_BV/sage/app9/bench_1384,,5,5.6,,125,55.1,,113,73.5,,128,63.5,,114,79.2,,8,2.5
QF_BV/sage/app9/bench_1400,,6,6.0,,99,73.6,,71,73.6,,68,120.3,,49,127.0,,8,2.5
QF_BV/sage/app9/bench_1552,,5,3.3,,79,13.7,,67,8.5,,89,14.4,,74,15.5,,6,0.3
QF_BV/sage/app9/bench_1659,,5,2.7,,72,11.4,,62,19.7,,78,16.9,,64,18.1,,9,0.5
QF_BV/sage/app9/bench_1969,,3,0.3,,16,0.7,,15,0.7,,15,0.7,,14,0.7,,5,0.1
QF_BV/sage/app9/bench_2061,,3,0.1,,63,1.2,,63,1.2,,63,1.2,,63,1.2,,8,0.1
QF_BV/sage/app9/bench_2358,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,6,0.0
QF_BV/sage/app9/bench_2518,,3,0.5,,23,2.6,,13,2.2,,25,2.4,,19,2.7,,6,0.1
QF_BV/sage/app9/bench_2940,,4,1.8,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,9,0.3
QF_BV/sage/app9/bench_3094,,4,0.1,,25,0.3,,25,0.3,,25,0.2,,25,0.2,,4,0.0
QF_BV/sage/app9/bench_3134,,4,29.9,,63,228.8,,59,224.0,,61,343.6,,58,324.9,,5,69.9
QF_BV/sage/app9/bench_3261,,2,0.2,,16,0.1,,16,0.1,,16,0.3,,16,0.3,,4,0.0
