Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,114,537.4,,110,1136.8,,100,1782.6,,93,1193.9
QF_BV/RWS/Example_8.txt,,36,120.5,,35,105.3,,28,145.0,,29,246.4
QF_BV/RWS/Example_9.txt,,62,858.9,,58,3135.4,,54,2226.2,,52,3586.4
QF_BV/RWS/Example_10.txt,,148,2123.8,,137,3274.8,,- -,- -,,- -,- -
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,105,737.4,,102,752.4,,89,1409.0,,85,3201.4
QF_BV/RWS/Example_16.txt,,99,627.4,,90,1066.6,,85,2685.6,,78,2000.0
QF_BV/RWS/Example_17.txt,,90,589.6,,83,1172.2,,76,1934.4,,72,3319.6
QF_BV/sage/app1/bench_4,,16,642.6,,14,596.9,,14,460.0,,14,724.4
QF_BV/sage/app1/bench_29,,19,193.4,,17,287.3,,16,330.3,,18,427.3
QF_BV/sage/app1/bench_32,,17,181.1,,18,351.7,,18,432.9,,15,373.3
QF_BV/sage/app1/bench_37,,16,542.6,,15,412.4,,14,869.6,,14,1059.6
QF_BV/sage/app1/bench_47,,18,214.7,,19,320.4,,17,260.6,,17,414.6
QF_BV/sage/app1/bench_52,,19,234.3,,19,155.0,,18,297.9,,18,414.8
QF_BV/sage/app1/bench_53,,18,132.0,,18,246.6,,17,270.5,,17,376.7
QF_BV/sage/app1/bench_54,,19,191.1,,19,240.3,,19,190.8,,17,386.3
QF_BV/sage/app1/bench_55,,19,218.3,,19,166.5,,18,341.5,,15,353.9
QF_BV/sage/app1/bench_60,,17,144.2,,19,177.1,,17,289.6,,17,382.9
QF_BV/sage/app1/bench_61,,19,205.6,,19,349.0,,17,268.9,,17,383.9
QF_BV/sage/app1/bench_62,,19,198.7,,18,152.4,,18,232.6,,17,340.6
QF_BV/sage/app1/bench_63,,19,185.1,,19,134.6,,18,258.7,,17,219.0
QF_BV/sage/app1/bench_66,,17,155.9,,18,206.7,,18,305.2,,17,365.2
QF_BV/sage/app1/bench_69,,20,185.4,,18,229.1,,18,471.6,,17,335.7
QF_BV/sage/app1/bench_99,,19,137.3,,18,182.7,,17,222.5,,16,297.1
QF_BV/sage/app1/bench_134,,18,144.6,,19,238.8,,16,208.6,,16,322.9
QF_BV/sage/app1/bench_169,,18,159.7,,17,111.7,,16,220.2,,17,314.9
QF_BV/sage/app1/bench_174,,19,266.7,,17,198.1,,16,192.6,,16,309.4
QF_BV/sage/app1/bench_175,,18,237.8,,17,186.7,,18,268.6,,17,330.3
QF_BV/sage/app1/bench_176,,19,187.6,,17,182.5,,18,272.6,,18,371.3
QF_BV/sage/app1/bench_177,,18,155.6,,18,133.0,,16,249.8,,17,330.7
QF_BV/sage/app1/bench_181,,16,461.3,,15,431.2,,14,1317.8,,14,1132.6
QF_BV/sage/app1/bench_182,,18,145.7,,17,198.0,,16,456.4,,17,319.5
QF_BV/sage/app1/bench_183,,17,155.8,,17,142.7,,17,243.6,,16,327.8
QF_BV/sage/app1/bench_184,,17,163.0,,18,188.3,,16,226.5,,16,304.4
