Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,117,410.9,,110,882.4,,100,770.8,,94,1355.7
QF_BV/RWS/Example_8.txt,,36,95.0,,35,164.7,,31,165.6,,29,244.1
QF_BV/RWS/Example_9.txt,,59,1146.3,,57,1594.8,,52,3156.6,,52,1891.8
QF_BV/RWS/Example_10.txt,,147,2145.3,,134,1750.4,,- -,- -,,- -,- -
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,109,649.7,,100,1103.4,,89,1592.4,,81,2116.2
QF_BV/RWS/Example_16.txt,,98,903.7,,93,1171.1,,86,1728.2,,81,1880.8
QF_BV/RWS/Example_17.txt,,88,627.5,,82,1115.5,,77,1481.7,,73,1547.6
QF_BV/sage/app1/bench_4,,15,570.6,,14,624.9,,14,692.8,,14,1108.3
QF_BV/sage/app1/bench_29,,19,191.7,,18,254.9,,16,603.6,,18,702.1
QF_BV/sage/app1/bench_32,,18,283.7,,18,281.1,,17,281.7,,17,433.2
QF_BV/sage/app1/bench_37,,15,782.2,,15,611.9,,14,803.2,,14,1058.3
QF_BV/sage/app1/bench_47,,17,217.9,,17,229.0,,18,199.8,,16,333.0
QF_BV/sage/app1/bench_52,,19,114.1,,18,292.5,,18,284.6,,18,250.1
QF_BV/sage/app1/bench_53,,18,157.2,,19,237.0,,16,276.4,,18,377.8
QF_BV/sage/app1/bench_54,,19,262.6,,19,160.6,,18,289.8,,18,400.2
QF_BV/sage/app1/bench_55,,19,172.2,,18,252.9,,17,237.2,,17,424.1
QF_BV/sage/app1/bench_60,,19,272.4,,17,231.5,,17,276.4,,18,410.0
QF_BV/sage/app1/bench_61,,19,161.3,,18,242.8,,18,292.3,,18,396.4
QF_BV/sage/app1/bench_62,,19,241.8,,18,228.6,,18,267.5,,18,378.1
QF_BV/sage/app1/bench_63,,19,132.2,,19,228.6,,18,238.8,,17,367.9
QF_BV/sage/app1/bench_66,,17,148.3,,18,232.2,,18,517.1,,17,378.7
QF_BV/sage/app1/bench_69,,20,163.3,,18,216.8,,18,276.1,,17,324.6
QF_BV/sage/app1/bench_99,,18,148.4,,19,251.3,,18,292.1,,16,323.1
QF_BV/sage/app1/bench_134,,19,184.4,,18,180.3,,17,280.1,,16,317.5
QF_BV/sage/app1/bench_169,,16,150.2,,18,130.7,,16,230.6,,16,299.3
QF_BV/sage/app1/bench_174,,18,151.5,,18,131.3,,16,229.6,,17,483.9
QF_BV/sage/app1/bench_175,,18,157.2,,16,160.4,,18,402.2,,15,322.1
QF_BV/sage/app1/bench_176,,19,148.3,,18,124.7,,18,259.7,,17,324.7
QF_BV/sage/app1/bench_177,,17,160.9,,17,187.9,,17,270.8,,16,308.2
QF_BV/sage/app1/bench_181,,15,479.3,,15,673.5,,14,550.3,,14,657.1
QF_BV/sage/app1/bench_182,,17,130.8,,17,233.7,,16,239.2,,17,325.7
QF_BV/sage/app1/bench_183,,16,143.7,,17,187.5,,17,259.6,,16,312.9
QF_BV/sage/app1/bench_184,,19,156.3,,18,187.7,,17,251.1,,17,228.9
QF_BV/sage/app1/bench_185,,18,151.4,,17,184.2,,17,241.1,,17,320.1
QF_BV/sage/app1/bench_188,,18,157.0,,16,187.2,,17,216.2,,16,336.4
QF_BV/sage/app1/bench_191,,19,170.0,,18,149.0,,17,223.6,,17,312.1
QF_BV/sage/app1/bench_201,,19,168.3,,17,195.1,,17,287.9,,16,494.4
QF_BV/sage/app1/bench_268,,18,170.5,,18,210.9,,18,269.3,,17,351.8
QF_BV/sage/app1/bench_310,,21,196.1,,19,267.7,,18,285.3,,17,400.2
QF_BV/sage/app1/bench_313,,21,207.9,,19,161.5,,19,638.2,,18,397.5
QF_BV/sage/app1/bench_329,,30,244.4,,28,298.1,,25,335.0,,27,393.6
QF_BV/sage/app1/bench_333,,30,261.4,,28,194.2,,28,371.0,,26,503.6
QF_BV/sage/app1/bench_334,,29,308.4,,28,327.1,,26,307.2,,26,838.3
QF_BV/sage/app1/bench_335,,30,269.0,,27,312.7,,26,379.3,,26,349.9
QF_BV/sage/app1/bench_338,,19,234.2,,18,224.5,,18,290.7,,16,336.2
QF_BV/sage/app1/bench_342,,29,325.4,,26,291.7,,24,242.9,,25,471.3
QF_BV/sage/app1/bench_343,,29,240.2,,27,309.2,,26,416.2,,25,475.2
QF_BV/sage/app1/bench_344,,30,228.2,,26,268.7,,27,681.8,,25,481.5
QF_BV/sage/app1/bench_345,,17,108.8,,17,190.4,,17,264.4,,16,340.3
QF_BV/sage/app1/bench_349,,17,166.4,,17,203.6,,15,437.4,,15,308.3
QF_BV/sage/app1/bench_352,,27,183.7,,27,295.4,,26,358.5,,25,492.7
