Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,113,602.0,,110,687.6,,97,1997.2,,94,1212.6
QF_BV/RWS/Example_8.txt,,32,114.3,,33,93.1,,31,176.8,,30,241.7
QF_BV/RWS/Example_9.txt,,61,1210.9,,58,954.2,,53,1510.3,,51,3092.1
QF_BV/RWS/Example_10.txt,,145,1687.0,,135,2591.9,,- -,- -,,- -,- -
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,109,669.0,,98,1034.7,,85,1087.8,,82,2191.6
QF_BV/RWS/Example_16.txt,,97,1034.6,,92,809.4,,86,1654.7,,82,2019.3
QF_BV/RWS/Example_17.txt,,91,846.1,,84,1640.3,,76,2600.7,,74,2377.4
QF_BV/sage/app1/bench_4,,16,500.5,,15,429.2,,14,890.6,,14,1112.2
QF_BV/sage/app1/bench_29,,19,317.5,,17,261.8,,17,516.6,,18,451.1
QF_BV/sage/app1/bench_32,,18,209.8,,18,280.9,,17,343.5,,17,262.5
QF_BV/sage/app1/bench_37,,16,555.8,,14,586.1,,13,686.4,,13,934.2
QF_BV/sage/app1/bench_47,,19,297.2,,18,216.7,,19,422.1,,17,652.2
QF_BV/sage/app1/bench_52,,18,194.1,,17,235.4,,18,318.6,,18,391.0
QF_BV/sage/app1/bench_53,,19,174.3,,18,216.6,,18,306.6,,18,376.6
QF_BV/sage/app1/bench_54,,19,202.2,,19,236.6,,17,274.5,,18,372.4
QF_BV/sage/app1/bench_55,,18,291.3,,18,249.8,,17,605.9,,17,384.2
QF_BV/sage/app1/bench_60,,18,216.6,,17,169.0,,17,298.1,,18,422.8
QF_BV/sage/app1/bench_61,,19,163.2,,19,147.7,,18,263.6,,18,539.4
QF_BV/sage/app1/bench_62,,19,208.2,,19,246.6,,18,377.1,,18,260.7
QF_BV/sage/app1/bench_63,,17,207.7,,18,235.4,,18,551.6,,17,351.5
QF_BV/sage/app1/bench_66,,17,175.8,,18,253.4,,17,275.7,,18,544.9
QF_BV/sage/app1/bench_69,,19,131.1,,18,217.6,,17,225.3,,17,328.8
QF_BV/sage/app1/bench_99,,18,139.8,,18,191.2,,18,266.0,,18,338.6
QF_BV/sage/app1/bench_134,,19,186.2,,17,155.3,,16,235.4,,16,358.5
QF_BV/sage/app1/bench_169,,18,154.4,,17,178.8,,18,261.4,,17,214.7
QF_BV/sage/app1/bench_174,,16,167.5,,18,213.3,,17,377.2,,16,195.2
QF_BV/sage/app1/bench_175,,18,140.6,,18,141.4,,18,282.7,,17,323.4
QF_BV/sage/app1/bench_176,,19,161.6,,18,252.2,,18,281.1,,16,238.2
QF_BV/sage/app1/bench_177,,18,205.6,,18,384.2,,16,257.6,,17,256.2
QF_BV/sage/app1/bench_181,,16,700.9,,15,492.8,,14,800.5,,14,798.7
QF_BV/sage/app1/bench_182,,17,195.2,,17,175.8,,16,225.0,,16,313.9
QF_BV/sage/app1/bench_183,,18,149.5,,17,246.5,,17,441.3,,16,317.1
QF_BV/sage/app1/bench_184,,19,105.4,,17,188.7,,16,249.2,,17,221.4
QF_BV/sage/app1/bench_185,,18,165.5,,18,203.8,,16,268.1,,16,309.1
QF_BV/sage/app1/bench_188,,16,92.8,,16,170.3,,16,261.8,,16,227.3
QF_BV/sage/app1/bench_191,,18,154.5,,18,164.4,,17,242.1,,17,319.1
QF_BV/sage/app1/bench_201,,18,154.0,,17,202.9,,16,266.4,,17,228.5
QF_BV/sage/app1/bench_268,,19,159.0,,18,210.3,,17,244.6,,16,319.6
QF_BV/sage/app1/bench_310,,21,245.4,,19,162.3,,19,274.4,,18,388.8
QF_BV/sage/app1/bench_313,,20,186.4,,19,237.8,,19,337.6,,18,383.0
QF_BV/sage/app1/bench_329,,32,178.3,,26,354.9,,27,385.0,,25,544.4
QF_BV/sage/app1/bench_333,,29,306.8,,28,189.1,,26,368.5,,28,362.2
QF_BV/sage/app1/bench_334,,29,268.7,,27,180.5,,26,389.7,,26,531.5
QF_BV/sage/app1/bench_335,,31,338.4,,28,296.2,,26,399.9,,26,478.5
QF_BV/sage/app1/bench_338,,19,215.7,,18,141.2,,17,213.6,,18,370.1
QF_BV/sage/app1/bench_342,,28,179.5,,27,191.0,,24,388.7,,26,521.7
QF_BV/sage/app1/bench_343,,27,302.6,,26,176.9,,24,444.5,,25,478.5
QF_BV/sage/app1/bench_344,,29,317.2,,27,353.4,,25,422.6,,24,428.2
QF_BV/sage/app1/bench_345,,17,189.4,,17,122.0,,16,243.2,,17,237.1
QF_BV/sage/app1/bench_349,,18,226.4,,16,138.4,,16,496.3,,17,218.9
QF_BV/sage/app1/bench_352,,28,293.4,,27,300.4,,27,348.1,,25,493.4
QF_BV/sage/app1/bench_356,,27,213.9,,26,272.1,,24,225.6,,24,449.6
QF_BV/sage/app1/bench_372,,26,254.9,,26,197.5,,26,357.4,,24,458.2
QF_BV/sage/app1/bench_407,,25,207.3,,24,251.5,,24,246.2,,25,320.4
