Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,110,530.1,,112,431.0,,96,866.2,,93,1149.7
QF_BV/RWS/Example_8.txt,,35,69.3,,34,101.8,,31,266.8,,29,238.8
QF_BV/RWS/Example_9.txt,,60,1064.6,,59,1663.0,,54,2096.6,,52,1812.4
QF_BV/RWS/Example_10.txt,,144,2458.0,,137,2976.0,,- -,- -,,- -,- -
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,103,581.6,,99,635.3,,89,1657.6,,85,2139.8
QF_BV/RWS/Example_16.txt,,98,758.7,,92,1071.3,,85,3270.7,,82,1304.8
QF_BV/RWS/Example_17.txt,,90,524.6,,85,1222.4,,77,1845.5,,74,1472.5
QF_BV/sage/app1/bench_4,,15,485.1,,15,427.9,,14,725.3,,14,570.2
QF_BV/sage/app1/bench_29,,18,195.7,,17,359.5,,18,362.2,,17,433.7
QF_BV/sage/app1/bench_32,,19,225.6,,18,183.4,,18,442.6,,16,427.7
QF_BV/sage/app1/bench_37,,15,622.0,,15,669.4,,14,1733.2,,14,1089.0
QF_BV/sage/app1/bench_47,,19,141.9,,18,243.3,,17,274.1,,19,435.2
QF_BV/sage/app1/bench_52,,20,167.3,,18,314.3,,18,301.2,,18,392.0
QF_BV/sage/app1/bench_53,,18,190.9,,18,254.0,,18,189.8,,18,356.4
QF_BV/sage/app1/bench_54,,19,198.9,,19,256.0,,17,246.6,,18,393.6
QF_BV/sage/app1/bench_55,,18,144.0,,18,263.4,,17,327.0,,16,351.5
QF_BV/sage/app1/bench_60,,19,171.1,,18,160.4,,18,294.9,,17,364.6
QF_BV/sage/app1/bench_61,,19,163.1,,17,219.2,,18,217.1,,17,396.4
QF_BV/sage/app1/bench_62,,19,177.6,,19,245.2,,19,319.8,,19,407.8
QF_BV/sage/app1/bench_63,,19,208.9,,19,240.3,,17,276.2,,18,377.4
QF_BV/sage/app1/bench_66,,18,130.5,,17,163.3,,17,270.3,,17,210.5
QF_BV/sage/app1/bench_69,,19,174.8,,18,156.4,,16,262.4,,18,359.7
QF_BV/sage/app1/bench_99,,17,127.1,,19,163.2,,17,213.3,,17,340.2
QF_BV/sage/app1/bench_134,,19,189.2,,16,235.5,,17,260.0,,16,342.5
QF_BV/sage/app1/bench_169,,17,140.9,,17,194.5,,16,243.5,,17,309.2
QF_BV/sage/app1/bench_174,,19,185.0,,17,241.2,,17,261.2,,15,274.4
QF_BV/sage/app1/bench_175,,17,94.1,,17,210.6,,17,253.4,,16,297.7
QF_BV/sage/app1/bench_176,,18,177.0,,18,142.0,,18,246.7,,17,305.8
QF_BV/sage/app1/bench_177,,18,145.8,,17,119.3,,17,247.4,,17,348.7
QF_BV/sage/app1/bench_181,,16,659.8,,15,763.7,,14,801.0,,14,1153.6
QF_BV/sage/app1/bench_182,,17,96.2,,17,297.2,,17,238.4,,16,198.7
QF_BV/sage/app1/bench_183,,17,172.8,,17,197.1,,17,160.8,,16,446.5
QF_BV/sage/app1/bench_184,,18,101.0,,17,140.6,,17,196.3,,16,324.7
QF_BV/sage/app1/bench_185,,17,196.2,,17,121.4,,17,259.5,,17,307.9
QF_BV/sage/app1/bench_188,,19,168.9,,17,139.5,,17,249.6,,16,329.1
QF_BV/sage/app1/bench_191,,18,185.1,,18,198.0,,18,248.9,,18,210.3
QF_BV/sage/app1/bench_201,,20,164.3,,17,284.0,,16,230.9,,17,331.6
QF_BV/sage/app1/bench_268,,19,178.7,,17,183.6,,17,242.4,,17,324.6
QF_BV/sage/app1/bench_310,,20,318.3,,19,238.1,,18,284.3,,18,402.8
QF_BV/sage/app1/bench_313,,20,196.2,,18,222.3,,19,345.0,,18,375.4
QF_BV/sage/app1/bench_329,,28,335.5,,28,328.7,,27,425.3,,26,553.3
QF_BV/sage/app1/bench_333,,31,348.2,,27,296.6,,28,429.8,,28,557.5
QF_BV/sage/app1/bench_334,,28,218.2,,28,196.0,,27,544.8,,25,486.7
QF_BV/sage/app1/bench_335,,29,220.4,,28,496.8,,27,388.4,,25,492.4
QF_BV/sage/app1/bench_338,,20,144.1,,18,216.0,,18,305.0,,16,367.0
QF_BV/sage/app1/bench_342,,29,250.0,,26,409.4,,25,378.3,,26,496.7
QF_BV/sage/app1/bench_343,,29,258.7,,26,268.0,,26,347.4,,26,550.9
QF_BV/sage/app1/bench_344,,30,167.6,,26,418.6,,26,354.8,,24,337.2
QF_BV/sage/app1/bench_345,,18,110.8,,17,196.6,,17,336.5,,15,283.0
QF_BV/sage/app1/bench_349,,16,164.7,,16,176.7,,16,240.6,,15,301.7
QF_BV/sage/app1/bench_352,,28,382.6,,28,301.6,,26,365.7,,24,504.3
QF_BV/sage/app1/bench_356,,26,183.8,,26,203.5,,25,351.6,,25,475.4
QF_BV/sage/app1/bench_372,,29,289.0,,26,286.0,,25,343.5,,26,526.9
QF_BV/sage/app1/bench_407,,24,217.5,,23,191.0,,22,246.9,,24,320.9
QF_BV/sage/app1/bench_411,,25,201.1,,24,248.7,,24,319.2,,23,451.9
QF_BV/sage/app1/bench_412,,25,232.6,,23,234.6,,23,330.3,,23,427.1
QF_BV/sage/app1/bench_413,,25,213.8,,24,254.5,,24,568.6,,23,447.2
QF_BV/sage/app1/bench_415,,27,289.0,,26,302.0,,24,335.6,,24,467.4
QF_BV/sage/app1/bench_419,,23,133.7,,24,262.4,,23,332.2,,24,491.8
QF_BV/sage/app1/bench_420,,23,198.5,,24,260.8,,24,261.5,,23,307.6
QF_BV/sage/app1/bench_421,,25,319.3,,23,338.4,,24,338.1,,23,425.4
QF_BV/sage/app1/bench_422,,24,186.1,,23,253.4,,23,656.9,,23,266.6
QF_BV/sage/app1/bench_426,,16,120.2,,16,177.6,,14,165.1,,15,169.7
QF_BV/sage/app1/bench_429,,23,150.7,,24,263.5,,21,427.6,,21,376.2
QF_BV/sage/app1/bench_443,,24,269.4,,23,163.5,,22,302.3,,22,413.2
QF_BV/sage/app1/bench_511,,24,185.9,,25,251.5,,25,291.6,,25,476.7
QF_BV/sage/app1/bench_512,,134,796.7,,23,236.2,,26,256.6,,24,395.6
QF_BV/sage/app1/bench_517,,127,740.7,,24,271.3,,26,267.2,,24,437.9
QF_BV/sage/app1/bench_531,,105,592.5,,26,281.2,,26,248.4,,25,423.7
QF_BV/sage/app1/bench_535,,51,359.3,,27,305.5,,26,189.0,,26,481.4
QF_BV/sage/app1/bench_537,,122,603.0,,28,295.1,,25,195.3,,23,406.4
QF_BV/sage/app1/bench_539,,259,2043.0,,32,343.0,,24,215.6,,24,427.8
QF_BV/sage/app1/bench_542,,104,520.1,,65,510.5,,29,248.4,,27,437.6
QF_BV/sage/app1/bench_545,,87,603.7,,26,280.5,,25,250.8,,23,395.0
QF_BV/sage/app1/bench_552,,29,251.3,,29,167.3,,27,349.5,,25,475.3
QF_BV/sage/app1/bench_556,,25,262.6,,24,321.5,,23,331.6,,24,464.3
QF_BV/sage/app1/bench_562,,21,208.7,,23,291.4,,21,266.7,,22,383.0
QF_BV/sage/app1/bench_564,,21,175.9,,21,277.9,,21,286.0,,21,412.8
QF_BV/sage/app1/bench_567,,21,247.5,,21,230.5,,21,322.4,,21,373.5
QF_BV/sage/app1/bench_571,,21,178.3,,22,208.0,,21,254.8,,21,356.0
QF_BV/sage/app1/bench_602,,21,134.9,,21,260.5,,20,338.9,,20,413.7
QF_BV/sage/app1/bench_611,,22,302.7,,21,170.1,,20,376.3,,21,417.9
QF_BV/sage/app1/bench_620,,21,179.4,,20,173.7,,21,510.7,,20,402.9
QF_BV/sage/app1/bench_629,,21,184.1,,21,251.3,,20,270.3,,21,414.7
QF_BV/sage/app1/bench_638,,18,146.5,,21,144.0,,21,328.9,,21,437.8
QF_BV/sage/app1/bench_646,,21,206.2,,21,382.9,,21,309.7,,20,404.7
QF_BV/sage/app1/bench_655,,20,210.9,,22,221.4,,21,269.6,,21,496.0
QF_BV/sage/app1/bench_664,,22,197.5,,22,222.1,,20,257.8,,20,333.8
QF_BV/sage/app1/bench_674,,22,143.1,,21,125.9,,21,270.4,,21,393.6
QF_BV/sage/app1/bench_681,,15,586.1,,15,479.9,,14,816.7,,14,637.8
QF_BV/sage/app1/bench_683,,22,159.3,,21,260.6,,21,277.2,,20,586.1
QF_BV/sage/app1/bench_691,,22,146.6,,21,213.0,,21,297.2,,21,348.0
QF_BV/sage/app1/bench_692,,16,611.2,,14,639.5,,14,828.0,,14,1162.5
QF_BV/sage/app1/bench_699,,20,190.8,,21,197.6,,21,255.5,,21,489.3
QF_BV/sage/app1/bench_707,,22,173.6,,22,157.5,,21,255.3,,21,350.4
QF_BV/sage/app1/bench_715,,22,129.4,,21,186.6,,21,255.4,,21,369.6
QF_BV/sage/app1/bench_722,,22,142.1,,21,136.8,,21,214.8,,21,367.1
QF_BV/sage/app1/bench_730,,22,128.4,,22,121.9,,21,237.0,,21,326.0
QF_BV/sage/app1/bench_738,,23,136.7,,22,174.2,,21,251.7,,21,317.8
QF_BV/sage/app1/bench_745,,23,124.0,,22,230.7,,22,236.1,,22,380.6
QF_BV/sage/app1/bench_753,,28,140.6,,24,198.5,,23,211.3,,24,335.4
QF_BV/sage/app1/bench_761,,26,114.0,,25,183.8,,24,232.0,,24,341.9
QF_BV/sage/app1/bench_836,,16,360.9,,14,608.0,,13,845.8,,14,1103.6
