Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_517,,150,739.5,,26,273.4,,25,272.9,,24,461.5
QF_BV/sage/app1/bench_531,,140,779.9,,25,285.3,,23,267.4,,24,456.6
QF_BV/sage/app1/bench_535,,108,631.9,,27,297.6,,25,242.3,,25,432.8
QF_BV/sage/app1/bench_537,,34,241.1,,27,281.6,,26,298.2,,25,463.0
QF_BV/sage/app1/bench_539,,149,892.1,,30,344.9,,23,262.4,,24,440.7
QF_BV/sage/app1/bench_542,,192,811.0,,105,694.2,,27,261.9,,28,466.7
QF_BV/sage/app1/bench_545,,209,1577.6,,26,283.6,,24,180.5,,25,444.9
QF_BV/sage/app1/bench_552,,28,216.8,,27,262.8,,27,344.9,,27,460.9
QF_BV/sage/app1/bench_556,,25,218.9,,24,149.3,,24,508.1,,24,440.8
QF_BV/sage/app1/bench_562,,22,198.1,,23,126.6,,22,292.6,,22,372.8
QF_BV/sage/app1/bench_564,,21,206.1,,22,395.4,,21,288.1,,20,401.5
QF_BV/sage/app1/bench_567,,22,167.5,,21,207.6,,21,296.4,,20,569.3
QF_BV/sage/app1/bench_571,,21,106.3,,21,296.2,,20,258.7,,21,694.8
QF_BV/sage/app1/bench_602,,21,237.8,,21,261.2,,20,308.0,,21,421.6
QF_BV/sage/app1/bench_611,,21,249.6,,21,178.0,,21,221.7,,21,423.4
QF_BV/sage/app1/bench_620,,21,203.8,,21,263.4,,20,292.8,,20,382.5
QF_BV/sage/app1/bench_629,,21,179.1,,22,145.9,,20,325.1,,21,251.4
QF_BV/sage/app1/bench_638,,20,242.5,,21,233.8,,20,418.1,,19,370.6
QF_BV/sage/app1/bench_646,,22,168.9,,22,247.5,,19,265.9,,19,583.7
QF_BV/sage/app1/bench_655,,22,130.2,,21,203.4,,20,189.1,,21,421.9
QF_BV/sage/app1/bench_664,,21,221.3,,21,142.2,,21,297.5,,21,597.3
QF_BV/sage/app1/bench_674,,22,113.7,,20,194.6,,21,466.7,,21,381.1
QF_BV/sage/app1/bench_681,,15,656.7,,14,675.1,,14,852.7,,13,965.8
QF_BV/sage/app1/bench_683,,22,190.8,,21,217.1,,21,261.6,,20,325.0
QF_BV/sage/app1/bench_691,,22,138.6,,22,142.2,,21,171.9,,21,230.7
QF_BV/sage/app1/bench_692,,15,511.0,,15,690.7,,14,808.3,,14,632.4
QF_BV/sage/app1/bench_699,,22,160.6,,21,107.4,,21,277.3,,19,329.4
QF_BV/sage/app1/bench_707,,22,103.6,,22,260.0,,21,253.3,,20,323.1
QF_BV/sage/app1/bench_715,,20,220.7,,22,163.5,,21,527.2,,21,339.3
QF_BV/sage/app1/bench_722,,22,224.0,,22,198.3,,21,247.5,,21,347.7
QF_BV/sage/app1/bench_730,,23,131.5,,22,214.2,,21,235.7,,21,336.2
QF_BV/sage/app1/bench_738,,23,150.6,,22,97.8,,22,450.3,,22,341.5
QF_BV/sage/app1/bench_745,,23,156.9,,21,158.0,,22,246.9,,21,326.4
QF_BV/sage/app1/bench_753,,26,192.8,,24,109.9,,25,257.5,,24,387.5
QF_BV/sage/app1/bench_761,,26,154.0,,24,176.4,,24,230.9,,23,318.1
QF_BV/sage/app1/bench_836,,16,518.9,,14,634.8,,15,857.5,,15,2148.6
QF_BV/sage/app1/bench_847,,16,650.5,,15,459.6,,14,829.3,,14,1188.9
QF_BV/sage/app1/bench_858,,15,426.1,,14,652.1,,15,817.0,,14,1058.3
QF_BV/sage/app1/bench_869,,16,537.0,,15,641.7,,14,801.4,,15,773.9
QF_BV/sage/app1/bench_880,,16,646.9,,15,907.6,,14,1304.3,,15,2201.2
QF_BV/sage/app1/bench_914,,16,485.7,,15,380.2,,14,1150.9,,14,1014.6
QF_BV/sage/app1/bench_926,,27,105.9,,23,150.8,,25,247.1,,24,423.6
QF_BV/sage/app1/bench_947,,16,688.4,,15,730.9,,15,985.8,,15,1228.0
QF_BV/sage/app1/bench_983,,27,188.1,,26,183.0,,25,240.4,,23,502.8
QF_BV/sage/app1/bench_985,,23,136.6,,23,140.8,,22,207.6,,22,320.7
QF_BV/sage/app1/bench_987,,22,111.7,,21,123.2,,20,196.8,,20,194.9
QF_BV/sage/app1/bench_989,,21,90.5,,18,147.9,,19,130.3,,17,161.5
QF_BV/sage/app1/bench_992,,16,95.1,,16,75.7,,16,109.3,,15,141.2
QF_BV/sage/app1/bench_994,,16,81.3,,14,88.3,,14,136.5,,14,213.5
QF_BV/sage/app1/bench_996,,14,98.5,,13,91.5,,12,124.3,,13,185.1
