Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,3,39.0,,5,89.8,,5,89.8,,5,67.6,,5,67.6,,4,4.0
QF_BV/RWS/Example_8.txt,,3,24.0,,4,18.5,,4,18.5,,3,35.7,,3,35.7,,4,1.2
QF_BV/RWS/Example_9.txt,,3,178.9,,3,1268.3,,3,1268.3,,4,149.6,,4,149.6,,3,821.8
QF_BV/RWS/Example_10.txt,,4,292.1,,4,406.9,,4,406.9,,4,155.2,,4,155.2,,4,26.1
QF_BV/RWS/Example_11.txt,,3,1987.8,,4,1748.6,,4,1748.6,,4,162.1,,4,162.1,,- -,- -
QF_BV/RWS/Example_12.txt,,3,1271.2,,3,808.8,,3,808.8,,3,71.7,,3,71.7,,5,992.2
QF_BV/RWS/Example_13.txt,,3,71.4,,3,135.3,,3,135.3,,3,85.2,,3,85.2,,3,12.2
QF_BV/RWS/Example_16.txt,,3,96.8,,4,641.0,,4,641.0,,4,97.7,,4,97.7,,4,10.9
QF_BV/RWS/Example_17.txt,,3,104.7,,3,388.4,,3,388.4,,3,107.8,,3,107.8,,3,28.1
QF_BV/sage/app1/bench_4,,1,74.2,,1,215.9,,1,215.9,,1,82.4,,1,82.4,,- -,- -
QF_BV/sage/app1/bench_29,,1,20.1,,1,160.2,,1,160.2,,1,70.1,,1,70.1,,- -,- -
QF_BV/sage/app1/bench_32,,1,35.4,,1,190.4,,1,190.4,,1,77.4,,1,77.4,,- -,- -
QF_BV/sage/app1/bench_37,,1,64.9,,1,288.6,,1,288.6,,1,74.0,,1,74.0,,- -,- -
QF_BV/sage/app1/bench_47,,1,36.1,,1,59.0,,1,59.0,,1,78.8,,1,78.8,,1,3078.1
QF_BV/sage/app1/bench_52,,1,33.8,,1,264.9,,1,264.9,,1,23.2,,1,23.2,,- -,- -
QF_BV/sage/app1/bench_53,,1,16.8,,1,179.3,,1,179.3,,1,17.8,,1,17.8,,1,2767.4
QF_BV/sage/app1/bench_54,,1,30.1,,1,315.5,,1,315.5,,1,15.8,,1,15.8,,- -,- -
QF_BV/sage/app1/bench_55,,1,18.4,,1,296.6,,1,296.6,,1,74.8,,1,74.8,,- -,- -
QF_BV/sage/app1/bench_60,,1,34.7,,1,159.6,,1,159.6,,1,20.3,,1,20.3,,1,833.4
QF_BV/sage/app1/bench_61,,1,40.3,,1,335.8,,1,335.8,,1,71.0,,1,71.0,,1,2419.6
QF_BV/sage/app1/bench_62,,1,29.6,,1,230.3,,1,230.3,,1,76.2,,1,76.2,,- -,- -
QF_BV/sage/app1/bench_63,,1,60.0,,1,7.6,,1,7.6,,1,69.8,,1,69.8,,- -,- -
QF_BV/sage/app1/bench_66,,1,61.8,,1,295.1,,1,295.1,,1,127.9,,1,127.9,,- -,- -
QF_BV/sage/app1/bench_69,,1,27.0,,1,281.3,,1,281.3,,1,16.5,,1,16.5,,1,2774.6
QF_BV/sage/app1/bench_99,,1,26.8,,1,80.4,,1,80.4,,1,19.2,,1,19.2,,1,1068.4
QF_BV/sage/app1/bench_134,,1,63.6,,1,93.9,,1,93.9,,1,71.2,,1,71.2,,- -,- -
QF_BV/sage/app1/bench_169,,1,25.9,,1,99.4,,1,99.4,,1,50.0,,1,50.0,,1,1142.4
QF_BV/sage/app1/bench_174,,1,25.2,,1,261.6,,1,261.6,,1,13.1,,1,13.1,,1,2691.9
QF_BV/sage/app1/bench_175,,1,58.1,,1,100.3,,1,100.3,,1,69.0,,1,69.0,,- -,- -
QF_BV/sage/app1/bench_176,,1,27.4,,1,108.4,,1,108.4,,1,72.3,,1,72.3,,1,3574.0
QF_BV/sage/app1/bench_177,,1,15.8,,1,60.9,,1,60.9,,1,71.1,,1,71.1,,- -,- -
QF_BV/sage/app1/bench_181,,1,68.7,,1,186.9,,1,186.9,,1,74.6,,1,74.6,,1,1395.3
QF_BV/sage/app1/bench_182,,1,26.3,,1,378.1,,1,378.1,,1,15.2,,1,15.2,,1,1787.7
QF_BV/sage/app1/bench_183,,1,34.8,,1,81.0,,1,81.0,,1,73.9,,1,73.9,,1,1556.1
QF_BV/sage/app1/bench_184,,1,23.2,,1,114.1,,1,114.1,,1,20.1,,1,20.1,,1,770.5
QF_BV/sage/app1/bench_185,,1,57.6,,1,72.5,,1,72.5,,1,72.9,,1,72.9,,1,2326.0
QF_BV/sage/app1/bench_188,,1,47.0,,1,269.6,,1,269.6,,1,76.3,,1,76.3,,1,925.6
QF_BV/sage/app1/bench_191,,1,32.0,,1,79.0,,1,79.0,,1,17.7,,1,17.7,,- -,- -
QF_BV/sage/app1/bench_201,,1,29.6,,1,12.9,,1,12.9,,1,16.6,,1,16.6,,- -,- -
QF_BV/sage/app1/bench_268,,1,26.6,,1,70.6,,1,70.6,,1,68.7,,1,68.7,,1,2586.6
QF_BV/sage/app1/bench_310,,1,32.5,,1,101.1,,1,101.1,,1,72.2,,1,72.2,,- -,- -
QF_BV/sage/app1/bench_313,,1,19.2,,1,75.3,,1,75.3,,1,70.6,,1,70.6,,- -,- -
QF_BV/sage/app1/bench_329,,1,30.5,,1,92.5,,1,92.5,,1,72.1,,1,72.1,,1,3393.6
QF_BV/sage/app1/bench_333,,1,31.9,,1,8.1,,1,8.1,,1,15.9,,1,15.9,,1,2250.9
QF_BV/sage/app1/bench_334,,1,29.6,,1,70.8,,1,70.8,,1,73.2,,1,73.2,,1,891.3
QF_BV/sage/app1/bench_335,,1,29.8,,1,7.9,,1,7.9,,1,15.3,,1,15.3,,1,2567.0
QF_BV/sage/app1/bench_338,,1,19.6,,1,104.9,,1,104.9,,1,16.8,,1,16.8,,1,1855.3
QF_BV/sage/app1/bench_342,,1,51.5,,1,116.2,,1,116.2,,1,15.3,,1,15.3,,1,1747.5
QF_BV/sage/app1/bench_343,,1,31.2,,1,78.7,,1,78.7,,1,12.0,,1,12.0,,1,1292.5
QF_BV/sage/app1/bench_344,,1,38.4,,1,84.5,,1,84.5,,1,74.1,,1,74.1,,1,1704.8
QF_BV/sage/app1/bench_345,,1,52.6,,1,55.6,,1,55.6,,1,10.6,,1,10.6,,- -,- -
QF_BV/sage/app1/bench_349,,1,29.8,,1,113.4,,1,113.4,,1,79.6,,1,79.6,,- -,- -
QF_BV/sage/app1/bench_352,,1,26.5,,1,8.1,,1,8.1,,1,72.7,,1,72.7,,1,2941.6
QF_BV/sage/app1/bench_356,,1,15.0,,1,69.6,,1,69.6,,1,74.1,,1,74.1,,1,1387.2
QF_BV/sage/app1/bench_372,,2,43.8,,2,100.2,,2,100.2,,2,23.3,,2,23.3,,- -,- -
