Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.1
QF_BV/bench_ab/a403test0043,,6,0.0,,5,0.4,,4,0.0,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,288,0.8,,59,0.4,,33,0.3,,13,0.4
QF_BV/bench_ab/a651test0090,,193,0.5,,65,0.1,,22,0.3,,11,0.2
QF_BV/bench_ab/a655test0003,,36,0.1,,100,0.2,,17,0.1,,11,0.2
QF_BV/bench_ab/a659test0071,,202,0.4,,26,0.2,,11,0.1,,15,0.2
QF_BV/bench_ab/a668test0098,,2,0.0,,2,0.0,,3,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,2.5,,4,5.3,,4,3.9,,4,3.2
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,7.0,,4,3.7,,4,4.6,,4,6.6
QF_BV/bmc-bv/ex19,,- -,- -,,761,2816.5,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,7,0.8,,6,7.4,,5,9.8,,5,24.7
QF_BV/bmc-bv/graycode,,2,0.4,,2,1.3,,2,2.5,,2,4.3
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,2,5.0,,2,6.3,,2,10.7,,2,14.9
QF_BV/bmc-bv/queens,,3,2.2,,3,3.5,,3,6.8,,3,12.0
QF_BV/bmc-bv/sudoku,,1,12.4,,1,27.9,,1,44.1,,1,56.7
QF_BV/brummayerbiere2/smulov4bw0256,,5,309.7,,5,1111.1,,4,1100.0,,4,1401.1
QF_BV/brummayerbiere2/smulov4bw0064,,4,1.6,,4,3.5,,4,9.7,,4,16.3
QF_BV/brummayerbiere2/smulov4bw0128,,4,23.8,,5,50.9,,4,97.7,,4,117.9
QF_BV/brummayerbiere2/smulov4bw0032,,4,0.2,,4,0.6,,4,3.1,,4,5.7
QF_BV/gulwani-pldi08/fig1d.phx,,15,133.0,,11,87.5,,12,250.7,,12,263.8
QF_BV/gulwani-pldi08/fig5.phx,,9,28.5,,8,43.8,,8,69.3,,8,75.5
QF_BV/gulwani-pldi08/fig6.phx,,18,9.4,,13,12.9,,9,16.2,,13,64.8
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,8,19.2,,8,27.8,,7,42.8,,8,88.8
QF_BV/RWS/Example_1.txt,,43,44.4,,43,71.7,,39,97.2,,37,166.4
QF_BV/RWS/Example_2.txt,,22,30.1,,23,45.9,,20,67.7,,21,74.0
QF_BV/RWS/Example_4.txt,,13,15.5,,12,23.0,,12,29.4,,12,66.8
QF_BV/RWS/Example_5.txt,,10,10.2,,10,22.7,,10,31.9,,9,43.1
QF_BV/RWS/Example_6.txt,,7,5.6,,7,6.0,,7,12.9,,7,21.6
QF_BV/RWS/Example_14.txt,,49,102.2,,48,132.3,,43,156.1,,41,273.5
QF_BV/sage/app1/bench_1141,,6,5.0,,5,6.8,,4,6.8,,4,14.1
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,7,5.1,,5,4.3,,5,7.5,,5,20.5
QF_BV/sage/app1/bench_1288,,5,1.4,,5,4.3,,4,8.8,,4,12.0
