Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,28,0.1,,2,0.2,,2,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,153,2.9,,8,0.1,,4,0.1
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.2,,1,0.3,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,33,0.3,,221,1.8,,20,0.3,,43,0.6
QF_BV/bench_ab/a651test0090,,22,0.3,,39,0.2,,10,0.1,,46,0.2
QF_BV/bench_ab/a655test0003,,17,0.1,,39,0.4,,51,0.6,,36,0.2
QF_BV/bench_ab/a659test0071,,11,0.1,,39,0.2,,51,0.1,,29,0.1
QF_BV/bench_ab/a668test0098,,3,0.0,,19,0.0,,3,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.9,,6,4.5,,7,3.6,,4,1.5
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,4.6,,5,9.7,,4,2.2,,4,1.7
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,9.8,,8,0.9,,7,14.9,,5,15.2
QF_BV/bmc-bv/graycode,,2,2.5,,2,1.1,,3,4.2,,2,3.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.4,,1,0.1
QF_BV/bmc-bv/magic,,2,10.7,,2,5.6,,2,6.5,,2,5.6
QF_BV/bmc-bv/queens,,3,6.8,,3,4.5,,3,7.8,,3,7.2
QF_BV/bmc-bv/sudoku,,1,44.1,,1,47.5,,1,15.8,,1,28.2
QF_BV/brummayerbiere2/smulov4bw0256,,4,1100.0,,- -,- -,,5,1445.1,,5,1352.7
QF_BV/brummayerbiere2/smulov4bw0064,,4,9.7,,- -,- -,,5,32.0,,4,12.0
QF_BV/brummayerbiere2/smulov4bw0128,,4,97.7,,- -,- -,,5,144.2,,5,119.3
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.1,,- -,- -,,4,2.5,,4,3.0
QF_BV/gulwani-pldi08/fig1d.phx,,12,250.7,,17,123.0,,33,475.8,,14,171.2
QF_BV/gulwani-pldi08/fig5.phx,,8,69.3,,12,50.7,,12,92.7,,9,91.4
QF_BV/gulwani-pldi08/fig6.phx,,9,16.2,,23,15.1,,87,165.6,,11,25.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,7,42.8,,12,21.8,,12,79.7,,8,66.6
QF_BV/RWS/Example_1.txt,,39,97.2,,40,100.0,,77,129.8,,43,106.8
QF_BV/RWS/Example_2.txt,,20,67.7,,22,56.2,,27,46.0,,22,43.0
QF_BV/RWS/Example_4.txt,,12,29.4,,13,49.3,,19,54.2,,12,29.1
QF_BV/RWS/Example_5.txt,,10,31.9,,9,25.4,,10,17.0,,10,23.7
QF_BV/RWS/Example_6.txt,,7,12.9,,7,6.5,,7,8.3,,7,9.3
QF_BV/RWS/Example_14.txt,,43,156.1,,43,203.3,,80,285.9,,47,154.1
QF_BV/sage/app1/bench_1141,,4,6.8,,917,1659.2,,6,6.8,,4,5.8
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,5,7.5,,54,17.4,,6,10.9,,6,10.4
QF_BV/sage/app1/bench_1288,,4,8.8,,5,2.9,,6,9.6,,5,6.8
QF_BV/sage/app1/bench_1339,,4,5.6,,4,1.7,,6,6.6,,4,3.9
QF_BV/sage/app1/bench_1346,,4,5.0,,7,2.9,,5,4.2,,5,3.0
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,6,0.1,,6,0.1
QF_BV/sage/app1/bench_1738,,5,0.1,,- -,- -,,6,0.1,,557,18.1
QF_BV/sage/app1/bench_1742,,3,0.1,,622,82.5,,3,0.3,,4,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_363,,3,0.2,,22,0.8,,3,0.2,,3,0.2
QF_BV/sage/app12/bench_446,,2,0.1,,- -,- -,,4,0.2,,2,0.1
QF_BV/sage/app12/bench_451,,4,0.0,,- -,- -,,6,0.1,,4,0.1
QF_BV/sage/app12/bench_953,,3,0.1,,121,2.6,,123,3.1,,3,0.1
QF_BV/sage/app12/bench_1051,,6,17.4,,8,8.8,,10,29.1,,7,17.3
QF_BV/sage/app12/bench_1183,,8,40.3,,10,32.2,,11,35.4,,8,20.4
QF_BV/sage/app12/bench_1353,,16,10.1,,- -,- -,,23,5.7,,2,0.3
QF_BV/sage/app12/bench_2353,,56,296.5,,- -,- -,,75,42.6,,2,1.5
