Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,3,24.1,,3,25.8,,3,84.7,,3,59.4
QF_BV/RWS/Example_8.txt,,3,24.6,,3,15.9,,3,46.0,,3,50.4
QF_BV/RWS/Example_9.txt,,3,116.6,,3,111.0,,3,374.3,,3,254.6
QF_BV/RWS/Example_10.txt,,4,88.9,,4,47.3,,4,164.3,,4,199.9
QF_BV/RWS/Example_11.txt,,4,555.9,,3,973.1,,3,2234.2,,3,3099.8
QF_BV/RWS/Example_12.txt,,3,193.1,,3,349.7,,3,541.0,,3,1237.9
QF_BV/RWS/Example_13.txt,,3,24.1,,3,37.3,,3,74.7,,3,106.2
QF_BV/RWS/Example_16.txt,,3,54.9,,3,45.3,,3,57.8,,3,70.2
QF_BV/RWS/Example_17.txt,,3,29.7,,3,59.1,,3,67.5,,3,83.2
QF_BV/sage/app1/bench_4,,1,60.4,,1,62.9,,1,99.0,,1,77.7
QF_BV/sage/app1/bench_29,,1,29.1,,1,22.0,,1,41.4,,1,41.4
QF_BV/sage/app1/bench_32,,1,19.9,,1,15.8,,1,44.1,,1,24.8
QF_BV/sage/app1/bench_37,,1,64.5,,1,61.1,,1,102.2,,1,112.4
QF_BV/sage/app1/bench_47,,1,12.2,,1,17.3,,1,29.4,,1,65.2
QF_BV/sage/app1/bench_52,,1,18.6,,1,16.6,,1,30.5,,1,37.5
QF_BV/sage/app1/bench_53,,1,17.7,,1,18.5,,1,35.3,,1,34.1
QF_BV/sage/app1/bench_54,,1,11.1,,1,20.7,,1,35.4,,1,21.7
QF_BV/sage/app1/bench_55,,1,21.3,,1,19.5,,1,31.5,,1,24.1
QF_BV/sage/app1/bench_60,,1,21.6,,1,20.3,,1,28.0,,1,34.0
QF_BV/sage/app1/bench_61,,1,24.7,,1,19.4,,1,32.0,,1,37.1
QF_BV/sage/app1/bench_62,,1,16.3,,1,19.4,,1,33.3,,1,21.8
QF_BV/sage/app1/bench_63,,1,20.0,,1,26.9,,1,33.0,,1,19.1
QF_BV/sage/app1/bench_66,,1,15.7,,1,15.8,,1,34.3,,1,59.9
QF_BV/sage/app1/bench_69,,1,26.7,,1,31.3,,1,27.4,,1,41.7
QF_BV/sage/app1/bench_99,,1,18.3,,1,18.4,,1,18.4,,1,36.1
QF_BV/sage/app1/bench_134,,1,15.2,,1,16.9,,1,24.8,,1,38.2
QF_BV/sage/app1/bench_169,,1,28.1,,1,16.1,,1,27.4,,1,33.1
QF_BV/sage/app1/bench_174,,1,19.4,,1,17.7,,1,24.1,,1,36.1
QF_BV/sage/app1/bench_175,,1,18.8,,1,13.0,,1,37.3,,1,35.7
QF_BV/sage/app1/bench_176,,1,17.0,,1,19.5,,1,30.2,,1,31.0
QF_BV/sage/app1/bench_177,,1,13.1,,1,16.3,,1,33.1,,1,33.7
QF_BV/sage/app1/bench_181,,1,63.7,,1,36.0,,1,122.0,,1,84.0
QF_BV/sage/app1/bench_182,,1,16.9,,1,19.3,,1,30.3,,1,59.8
QF_BV/sage/app1/bench_183,,1,10.6,,1,16.2,,1,44.1,,1,37.7
QF_BV/sage/app1/bench_184,,1,17.2,,1,19.1,,1,23.8,,1,35.0
QF_BV/sage/app1/bench_185,,1,17.0,,1,19.0,,1,27.4,,1,20.9
QF_BV/sage/app1/bench_188,,1,21.0,,1,9.5,,1,46.6,,1,41.7
QF_BV/sage/app1/bench_191,,1,21.2,,1,16.8,,1,26.4,,1,18.4
QF_BV/sage/app1/bench_201,,1,16.5,,1,14.7,,1,26.8,,1,66.5
QF_BV/sage/app1/bench_268,,1,13.4,,1,16.1,,1,49.0,,1,18.7
QF_BV/sage/app1/bench_310,,1,14.4,,1,31.9,,1,31.6,,1,30.6
QF_BV/sage/app1/bench_313,,1,11.8,,1,18.6,,1,43.2,,1,40.7
QF_BV/sage/app1/bench_329,,1,11.4,,1,18.0,,1,27.5,,1,25.3
QF_BV/sage/app1/bench_333,,1,14.6,,1,20.8,,1,30.4,,1,36.3
QF_BV/sage/app1/bench_334,,1,19.8,,1,24.4,,1,51.3,,1,34.7
QF_BV/sage/app1/bench_335,,1,13.4,,1,20.7,,1,29.3,,1,20.6
QF_BV/sage/app1/bench_338,,1,23.0,,1,11.0,,1,47.4,,1,41.7
QF_BV/sage/app1/bench_342,,1,20.3,,1,19.6,,1,30.3,,1,36.6
QF_BV/sage/app1/bench_343,,1,12.8,,1,12.7,,1,28.1,,1,34.0
QF_BV/sage/app1/bench_344,,1,21.5,,1,17.6,,1,29.1,,1,37.2
QF_BV/sage/app1/bench_345,,1,20.7,,1,15.1,,1,29.4,,1,32.8
QF_BV/sage/app1/bench_349,,1,11.4,,1,27.3,,1,28.8,,1,60.0
QF_BV/sage/app1/bench_352,,1,13.1,,1,17.2,,1,26.5,,1,31.4
QF_BV/sage/app1/bench_356,,1,11.1,,1,12.6,,1,28.2,,1,17.0
QF_BV/sage/app1/bench_372,,2,36.8,,2,53.8,,2,48.0,,2,66.5
QF_BV/sage/app1/bench_407,,1,15.4,,1,17.1,,1,16.6,,1,35.5
QF_BV/sage/app1/bench_411,,1,16.1,,1,15.8,,1,24.0,,1,31.8
QF_BV/sage/app1/bench_412,,2,52.1,,2,33.1,,2,45.6,,2,56.5
QF_BV/sage/app1/bench_413,,2,20.5,,2,32.5,,2,45.9,,2,54.5
QF_BV/sage/app1/bench_415,,2,25.0,,2,49.7,,2,49.3,,2,55.3
QF_BV/sage/app1/bench_419,,2,52.6,,2,27.8,,2,47.5,,2,59.6
QF_BV/sage/app1/bench_420,,2,25.1,,2,25.4,,2,38.1,,2,30.8
QF_BV/sage/app1/bench_421,,2,29.9,,2,38.3,,2,54.3,,2,54.3
QF_BV/sage/app1/bench_422,,2,24.5,,2,23.6,,2,50.4,,2,104.0
QF_BV/sage/app1/bench_426,,2,49.7,,2,25.5,,2,46.1,,2,54.0
QF_BV/sage/app1/bench_429,,2,21.9,,2,33.1,,2,27.9,,2,84.4
QF_BV/sage/app1/bench_443,,2,35.9,,2,43.3,,2,43.7,,2,59.9
QF_BV/sage/app1/bench_511,,2,23.2,,2,27.1,,2,23.0,,2,53.2
QF_BV/sage/app1/bench_512,,2,43.4,,2,34.4,,2,24.9,,2,50.6
QF_BV/sage/app1/bench_517,,2,22.6,,2,27.1,,2,32.5,,2,57.2
QF_BV/sage/app1/bench_531,,2,23.4,,2,29.2,,2,25.9,,2,53.2
QF_BV/sage/app1/bench_535,,2,19.1,,2,27.9,,2,33.1,,2,47.6
QF_BV/sage/app1/bench_537,,2,25.7,,2,29.8,,2,20.9,,2,50.3
QF_BV/sage/app1/bench_539,,2,22.6,,2,27.4,,2,25.2,,2,49.6
QF_BV/sage/app1/bench_542,,2,44.5,,2,27.2,,2,21.4,,2,46.9
QF_BV/sage/app1/bench_545,,2,17.2,,2,26.2,,2,33.7,,2,49.5
QF_BV/sage/app1/bench_552,,2,49.8,,2,30.3,,2,59.0,,2,103.2
QF_BV/sage/app1/bench_556,,2,31.2,,2,38.9,,2,46.3,,2,56.2
QF_BV/sage/app1/bench_562,,2,29.2,,2,34.4,,2,52.6,,2,33.4
QF_BV/sage/app1/bench_564,,2,27.2,,2,32.2,,2,72.5,,2,52.5
QF_BV/sage/app1/bench_567,,2,27.1,,2,24.4,,2,46.9,,2,56.9
QF_BV/sage/app1/bench_571,,2,28.1,,2,30.9,,2,40.8,,2,28.5
QF_BV/sage/app1/bench_602,,2,35.2,,2,37.1,,2,50.2,,2,59.9
QF_BV/sage/app1/bench_611,,2,27.1,,2,37.8,,2,30.8,,2,37.3
QF_BV/sage/app1/bench_620,,2,67.2,,2,37.2,,2,50.4,,2,39.2
QF_BV/sage/app1/bench_629,,2,27.5,,2,35.6,,2,49.5,,2,96.1
QF_BV/sage/app1/bench_638,,2,22.3,,2,45.6,,2,57.1,,2,102.8
QF_BV/sage/app1/bench_646,,2,31.0,,2,33.7,,2,30.2,,2,57.6
QF_BV/sage/app1/bench_655,,2,25.9,,2,32.4,,2,44.8,,2,60.1
QF_BV/sage/app1/bench_664,,2,37.0,,2,21.7,,2,43.0,,2,59.9
QF_BV/sage/app1/bench_674,,2,28.1,,2,28.6,,2,41.3,,2,51.1
QF_BV/sage/app1/bench_681,,1,65.7,,1,72.5,,1,105.9,,1,108.5
QF_BV/sage/app1/bench_683,,2,25.4,,2,18.7,,2,39.2,,2,51.6
QF_BV/sage/app1/bench_691,,2,22.4,,2,28.4,,2,40.2,,2,52.5
QF_BV/sage/app1/bench_692,,1,48.0,,1,55.9,,1,59.4,,1,147.9
QF_BV/sage/app1/bench_699,,2,18.2,,2,28.8,,2,38.8,,2,35.0
QF_BV/sage/app1/bench_707,,2,35.8,,2,22.4,,2,37.5,,2,49.3
QF_BV/sage/app1/bench_715,,2,30.0,,2,37.3,,2,35.4,,2,42.7
QF_BV/sage/app1/bench_722,,2,14.5,,2,47.7,,2,39.8,,2,77.1
QF_BV/sage/app1/bench_730,,2,20.9,,2,21.1,,2,40.5,,2,47.2
QF_BV/sage/app1/bench_738,,2,14.9,,2,25.6,,2,36.1,,2,43.5
