Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,3,36.2,,3,24.1,,3,37.1,,3,58.3
QF_BV/RWS/Example_8.txt,,3,12.6,,3,17.2,,3,47.7,,3,34.0
QF_BV/RWS/Example_9.txt,,3,74.0,,3,118.1,,3,222.2,,3,251.9
QF_BV/RWS/Example_10.txt,,4,67.5,,4,80.1,,4,258.5,,4,215.1
QF_BV/RWS/Example_11.txt,,3,637.1,,3,781.9,,3,2747.1,,3,1902.3
QF_BV/RWS/Example_12.txt,,3,164.9,,3,413.4,,3,1562.0,,3,1085.7
QF_BV/RWS/Example_13.txt,,3,34.7,,3,87.8,,3,70.0,,3,92.8
QF_BV/RWS/Example_16.txt,,3,63.1,,3,46.3,,3,84.2,,3,113.7
QF_BV/RWS/Example_17.txt,,3,27.7,,3,48.9,,3,208.6,,3,132.7
QF_BV/sage/app1/bench_4,,1,54.8,,1,53.1,,1,83.7,,1,53.4
QF_BV/sage/app1/bench_29,,1,16.5,,1,21.3,,1,34.3,,1,29.7
QF_BV/sage/app1/bench_32,,1,38.8,,1,13.1,,1,46.1,,1,42.5
QF_BV/sage/app1/bench_37,,1,59.8,,1,39.2,,1,83.8,,1,119.6
QF_BV/sage/app1/bench_47,,1,16.7,,1,29.6,,1,38.3,,1,35.6
QF_BV/sage/app1/bench_52,,1,35.3,,1,19.6,,1,33.0,,1,61.2
QF_BV/sage/app1/bench_53,,1,11.5,,1,20.8,,1,31.2,,1,35.5
QF_BV/sage/app1/bench_54,,1,15.7,,1,20.5,,1,28.6,,1,59.1
QF_BV/sage/app1/bench_55,,1,16.6,,1,21.8,,1,35.7,,1,43.6
QF_BV/sage/app1/bench_60,,1,18.3,,1,14.3,,1,29.4,,1,22.3
QF_BV/sage/app1/bench_61,,1,16.6,,1,22.6,,1,29.1,,1,21.6
QF_BV/sage/app1/bench_62,,1,15.0,,1,13.6,,1,34.0,,1,36.8
QF_BV/sage/app1/bench_63,,1,19.6,,1,15.5,,1,30.1,,1,34.3
QF_BV/sage/app1/bench_66,,1,15.6,,1,22.4,,1,16.8,,1,44.3
QF_BV/sage/app1/bench_69,,1,17.3,,1,21.1,,1,42.8,,1,33.6
QF_BV/sage/app1/bench_99,,1,16.6,,1,16.7,,1,24.8,,1,44.7
QF_BV/sage/app1/bench_134,,1,19.1,,1,19.7,,1,30.9,,1,38.1
QF_BV/sage/app1/bench_169,,1,13.2,,1,20.0,,1,42.4,,1,31.8
QF_BV/sage/app1/bench_174,,1,33.4,,1,31.7,,1,26.7,,1,18.3
QF_BV/sage/app1/bench_175,,1,11.6,,1,17.1,,1,29.3,,1,41.1
QF_BV/sage/app1/bench_176,,1,13.9,,1,11.0,,1,37.5,,1,31.9
QF_BV/sage/app1/bench_177,,1,18.1,,1,17.6,,1,33.7,,1,33.4
QF_BV/sage/app1/bench_181,,1,107.7,,1,61.7,,1,136.6,,1,134.2
QF_BV/sage/app1/bench_182,,1,14.4,,1,16.7,,1,31.1,,1,19.8
QF_BV/sage/app1/bench_183,,1,12.5,,1,17.9,,1,41.5,,1,37.2
QF_BV/sage/app1/bench_184,,1,15.3,,1,21.1,,1,53.3,,1,19.9
QF_BV/sage/app1/bench_185,,1,9.4,,1,19.7,,1,25.1,,1,33.0
QF_BV/sage/app1/bench_188,,1,33.4,,1,13.8,,1,29.0,,1,33.0
QF_BV/sage/app1/bench_191,,1,12.0,,1,17.4,,1,27.8,,1,30.9
QF_BV/sage/app1/bench_201,,1,36.6,,1,19.9,,1,28.9,,1,34.8
QF_BV/sage/app1/bench_268,,1,18.8,,1,18.6,,1,41.1,,1,33.2
QF_BV/sage/app1/bench_310,,1,18.1,,1,16.9,,1,38.0,,1,41.0
QF_BV/sage/app1/bench_313,,1,15.6,,1,37.1,,1,59.4,,1,79.1
QF_BV/sage/app1/bench_329,,1,16.2,,1,20.4,,1,14.9,,1,66.4
QF_BV/sage/app1/bench_333,,1,18.7,,1,13.2,,1,31.5,,1,33.9
QF_BV/sage/app1/bench_334,,1,20.0,,1,14.3,,1,29.2,,1,24.7
QF_BV/sage/app1/bench_335,,1,14.0,,1,19.3,,1,30.2,,1,36.8
QF_BV/sage/app1/bench_338,,1,21.6,,1,17.4,,1,33.7,,1,26.9
QF_BV/sage/app1/bench_342,,1,18.6,,1,19.1,,1,28.4,,1,35.6
QF_BV/sage/app1/bench_343,,1,18.5,,1,19.2,,1,38.1,,1,32.6
QF_BV/sage/app1/bench_344,,1,30.0,,1,30.5,,1,53.4,,1,19.9
QF_BV/sage/app1/bench_345,,1,12.1,,1,17.6,,1,36.2,,1,34.6
QF_BV/sage/app1/bench_349,,1,18.1,,1,23.6,,1,46.4,,1,18.8
QF_BV/sage/app1/bench_352,,1,12.3,,1,20.3,,1,18.5,,1,20.0
QF_BV/sage/app1/bench_356,,1,11.8,,1,15.7,,1,28.1,,1,29.6
QF_BV/sage/app1/bench_372,,2,53.6,,2,36.5,,2,28.6,,2,54.1
