Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,8,0.1,,8,0.1,,8,0.1,,8,0.1,,4,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,9,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,14,0.2,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,5,0.0
QF_BV/bench_ab/a651test0090,,32,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,6,0.0
QF_BV/bench_ab/a655test0003,,35,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a659test0071,,34,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,6,0.0
QF_BV/bench_ab/a668test0098,,3,0.0,,8,0.1,,8,0.1,,8,0.1,,7,0.1,,7,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,3.5,,66,50.4,,59,50.4,,75,150.6,,68,138.9,,18,2.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,4.6,,- -,- -,,- -,- -,,71,222.8,,65,222.8,,9,0.9
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,6,15.0,,27,96.2,,11,120.4,,14,142.9,,9,142.9,,- -,- -
QF_BV/bmc-bv/graycode,,3,4.2,,9,3.4,,8,3.4,,9,6.0,,8,6.0,,4,0.3
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,2,10.7,,6,38.5,,6,38.5,,5,32.5,,5,32.5,,3,8.7
QF_BV/bmc-bv/queens,,4,9.5,,8,6.7,,8,6.7,,8,8.9,,8,8.9,,6,0.6
QF_BV/bmc-bv/sudoku,,1,46.2,,1,1.1,,1,1.1,,1,14.7,,1,14.7,,1,254.2
QF_BV/brummayerbiere2/smulov4bw0256,,5,816.4,,10,845.2,,10,533.9,,7,762.9,,7,762.9,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,10.2,,62,11.1,,62,11.1,,62,20.8,,62,20.8,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,5,98.4,,114,231.4,,72,276.5,,123,443.1,,123,443.1,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.1,,30,2.0,,30,2.0,,30,2.0,,30,2.0,,6,0.8
QF_BV/gulwani-pldi08/fig1d.phx,,14,235.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/gulwani-pldi08/fig5.phx,,9,83.6,,- -,- -,,- -,- -,,248,1158.9,,98,879.9,,18,313.4
QF_BV/gulwani-pldi08/fig6.phx,,14,39.7,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,244,88.0
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,69.4,,201,966.3,,127,651.0,,285,1194.9,,124,1194.9,,36,182.2
QF_BV/RWS/Example_1.txt,,57,147.2,,- -,- -,,- -,- -,,772,2571.4,,162,3116.3,,234,25.7
QF_BV/RWS/Example_2.txt,,29,88.7,,78,630.0,,69,859.9,,65,717.3,,61,717.3,,62,8.2
QF_BV/RWS/Example_4.txt,,13,39.7,,62,452.7,,39,285.1,,72,701.2,,46,823.1,,34,2.7
QF_BV/RWS/Example_5.txt,,12,27.6,,34,261.7,,31,216.5,,38,276.1,,33,281.4,,24,4.0
QF_BV/RWS/Example_6.txt,,9,16.9,,24,101.0,,20,330.6,,27,180.5,,22,261.8,,36,1.6
QF_BV/RWS/Example_14.txt,,69,303.6,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,311,308.8
QF_BV/sage/app1/bench_1141,,5,10.5,,- -,- -,,- -,- -,,- -,- -,,90,167.7,,9,1.4
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,6,8.9,,189,274.4,,105,330.9,,227,398.6,,163,265.3,,10,3.0
QF_BV/sage/app1/bench_1288,,5,7.3,,108,92.1,,71,114.2,,92,139.0,,63,226.2,,12,3.3
QF_BV/sage/app1/bench_1339,,5,6.4,,74,100.0,,53,108.3,,91,114.9,,56,111.0,,9,2.1
QF_BV/sage/app1/bench_1346,,5,5.6,,81,72.2,,72,62.5,,83,70.6,,76,141.4,,13,1.4
QF_BV/sage/app1/bench_1710,,4,0.1,,26,0.3,,25,0.2,,26,0.2,,25,0.4,,8,0.0
QF_BV/sage/app1/bench_1738,,7,0.1,,33,0.3,,33,0.3,,33,0.8,,33,0.8,,7,0.0
QF_BV/sage/app1/bench_1742,,4,0.3,,21,0.2,,17,0.3,,21,0.2,,17,0.2,,9,0.0
QF_BV/sage/app1/bench_1768,,3,0.1,,20,0.3,,17,0.3,,20,0.3,,15,0.3,,14,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,65,2.0,,65,2.0,,65,1.8,,65,1.8,,7,0.0
QF_BV/sage/app12/bench_363,,3,0.4,,10,0.2,,10,0.2,,10,1.0,,10,1.0,,4,0.1
QF_BV/sage/app12/bench_446,,3,0.1,,65,2.1,,65,2.1,,65,2.6,,65,2.6,,7,0.1
QF_BV/sage/app12/bench_451,,4,0.1,,32,0.5,,32,0.5,,32,0.4,,32,0.4,,11,0.0
QF_BV/sage/app12/bench_953,,3,0.1,,10,0.1,,10,0.1,,10,0.3,,10,0.3,,19,0.1
QF_BV/sage/app12/bench_1051,,10,31.8,,257,666.1,,91,788.5,,246,708.3,,114,660.2,,24,8.0
QF_BV/sage/app12/bench_1183,,16,73.6,,291,749.5,,134,749.5,,163,787.7,,72,622.1,,65,26.2
QF_BV/sage/app12/bench_1353,,33,20.4,,334,10.8,,334,10.8,,334,18.6,,334,18.6,,- -,- -
QF_BV/sage/app12/bench_2353,,60,313.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,111,47.3,,539,48.5,,539,48.5,,539,48.6,,539,48.6,,- -,- -
QF_BV/sage/app12/bench_2451,,83,38.0,,465,35.8,,465,35.8,,465,23.0,,465,23.0,,- -,- -
QF_BV/sage/app12/bench_3681,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,8,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,7,0.0
QF_BV/sage/app12/bench_3921,,383,10.3,,15,0.1,,15,0.1,,15,0.6,,15,0.6,,46,0.1
QF_BV/sage/app12/bench_3957,,795,17.0,,722,0.3,,18,0.3,,785,0.2,,18,0.2,,47,0.0
QF_BV/sage/app12/bench_4059,,294,2.9,,24,0.2,,18,0.4,,24,0.2,,18,0.2,,47,0.0
QF_BV/sage/app12/bench_4177,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,14,0.0
QF_BV/sage/app12/bench_4845,,3,0.0,,11,0.1,,11,0.1,,11,0.2,,11,0.2,,7,0.0
QF_BV/sage/app12/bench_5599,,2,0.1,,32,0.9,,32,0.9,,32,6.1,,32,6.1,,6,0.1
QF_BV/sage/app2/bench_48,,33,11.7,,489,25.9,,489,25.9,,489,42.3,,489,42.3,,7,0.1
QF_BV/sage/app2/bench_225,,10,16.1,,419,39.5,,392,60.4,,419,53.1,,390,32.3,,8,3.3
QF_BV/sage/app2/bench_278,,5,10.6,,70,10.9,,67,10.9,,- -,- -,,- -,- -,,9,1.8
QF_BV/sage/app2/bench_282,,5,8.2,,898,19.7,,52,26.3,,51,24.0,,50,18.2,,20,3.6
QF_BV/sage/app2/bench_458,,111,3.8,,33,0.8,,33,0.8,,33,1.0,,33,1.0,,6,0.0
QF_BV/sage/app2/bench_642,,22,27.9,,442,41.6,,419,54.6,,444,47.9,,419,36.3,,9,1.1
QF_BV/sage/app2/bench_645,,6,3.5,,- -,- -,,- -,- -,,- -,- -,,45,9.4,,44,1.7
QF_BV/sage/app2/bench_664,,18,24.2,,446,29.5,,429,29.9,,450,47.7,,427,47.7,,8,1.3
QF_BV/sage/app2/bench_719,,20,25.1,,447,40.5,,431,28.7,,445,46.2,,423,48.2,,8,1.1
QF_BV/sage/app2/bench_830,,24,23.2,,471,30.3,,460,30.8,,471,49.5,,459,51.2,,8,0.5
QF_BV/sage/app2/bench_863,,6,12.5,,442,36.5,,409,62.2,,441,56.5,,410,41.9,,9,4.0
QF_BV/sage/app2/bench_1196,,7,12.2,,421,54.2,,390,54.9,,422,60.1,,392,53.4,,9,4.3
QF_BV/sage/app2/bench_1387,,38,479.9,,709,252.5,,708,275.3,,713,282.6,,709,402.3,,6,1.8
QF_BV/sage/app5/bench_42,,5,6.2,,35,3.2,,35,3.2,,35,6.7,,35,6.7,,27,0.5
QF_BV/sage/app5/bench_349,,5,10.5,,202,57.4,,192,41.8,,201,80.8,,194,58.1,,23,4.1
QF_BV/sage/app5/bench_357,,5,15.7,,196,63.1,,188,48.5,,199,61.9,,194,67.2,,26,3.8
QF_BV/sage/app5/bench_575,,4,0.2,,65,2.1,,65,2.1,,65,2.8,,63,2.1,,20,0.1
QF_BV/sage/app5/bench_742,,3,0.3,,17,2.6,,17,2.6,,17,2.5,,17,2.4,,5,0.1
QF_BV/sage/app5/bench_794,,3,0.0,,33,0.4,,33,0.4,,33,0.5,,33,0.5,,10,0.0
QF_BV/sage/app5/bench_931,,5,0.7,,130,11.7,,105,11.7,,130,7.3,,105,7.4,,6,0.1
QF_BV/sage/app5/bench_959,,4,0.7,,112,8.2,,84,11.3,,111,11.6,,86,14.2,,6,0.1
QF_BV/sage/app5/bench_960,,5,0.1,,33,0.4,,33,0.4,,33,0.5,,33,0.5,,9,0.0
