Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,8,0.0,,8,0.0,,8,0.1,,8,0.1,,4,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,6,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,59,0.8,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,7,0.0
QF_BV/bench_ab/a651test0090,,31,0.5,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,3,0.0
QF_BV/bench_ab/a655test0003,,21,0.1,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a659test0071,,16,0.1,,9,0.0,,9,0.1,,9,0.1,,9,0.1,,8,0.0
QF_BV/bench_ab/a668test0098,,3,0.0,,8,0.1,,7,0.1,,9,0.1,,9,0.1,,4,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,5.9,,66,128.9,,52,108.7,,72,137.9,,67,150.6,,19,2.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,7.1,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,7,1.1
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,6,15.7,,34,120.4,,12,120.8,,9,83.4,,9,79.4,,- -,- -
QF_BV/bmc-bv/graycode,,3,3.9,,9,4.2,,8,4.2,,9,3.4,,8,3.4,,4,0.2
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,3,13.2,,3,12.2,,3,12.2,,6,48.1,,6,48.1,,3,15.4
QF_BV/bmc-bv/queens,,4,9.7,,8,6.8,,8,6.8,,8,11.7,,8,11.7,,6,0.7
QF_BV/bmc-bv/sudoku,,1,44.1,,1,1.1,,1,1.1,,1,8.0,,1,8.0,,1,575.0
QF_BV/brummayerbiere2/smulov4bw0256,,5,1122.4,,10,840.0,,10,840.0,,6,304.6,,6,304.6,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,14.9,,62,11.7,,62,11.7,,62,20.4,,62,20.4,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0128,,5,96.1,,120,213.1,,79,213.1,,123,229.6,,123,229.6,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,2.5,,30,1.7,,30,1.7,,30,2.1,,30,2.1,,7,0.6
QF_BV/gulwani-pldi08/fig1d.phx,,14,269.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,150,2539.5
QF_BV/gulwani-pldi08/fig5.phx,,10,113.9,,402,1204.0,,172,1077.9,,290,1068.2,,206,1002.1,,16,390.4
QF_BV/gulwani-pldi08/fig6.phx,,11,19.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,237,83.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,85.3,,- -,- -,,- -,- -,,188,763.6,,111,1081.1,,50,314.0
QF_BV/RWS/Example_1.txt,,57,144.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,230,37.9
QF_BV/RWS/Example_2.txt,,29,57.9,,77,684.3,,68,684.3,,85,937.4,,74,874.0,,65,8.9
QF_BV/RWS/Example_4.txt,,13,31.8,,69,712.0,,48,784.7,,46,463.8,,38,795.4,,32,4.7
QF_BV/RWS/Example_5.txt,,12,38.1,,41,238.8,,34,263.3,,37,258.2,,33,348.0,,27,4.3
QF_BV/RWS/Example_6.txt,,9,20.8,,29,307.0,,22,266.4,,33,596.5,,23,596.5,,38,2.6
QF_BV/RWS/Example_14.txt,,68,293.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,304,254.3
QF_BV/sage/app1/bench_1141,,5,9.5,,95,171.6,,87,160.7,,98,257.4,,89,314.8,,9,1.6
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,6,9.9,,225,357.5,,163,262.8,,202,265.3,,152,398.6,,11,3.2
QF_BV/sage/app1/bench_1288,,5,8.8,,100,150.4,,70,150.4,,101,139.2,,71,102.4,,9,2.6
QF_BV/sage/app1/bench_1339,,5,6.3,,66,64.8,,49,96.5,,80,111.0,,54,91.2,,9,2.1
QF_BV/sage/app1/bench_1346,,5,4.0,,91,42.1,,77,41.4,,83,76.2,,76,118.8,,13,2.4
QF_BV/sage/app1/bench_1710,,4,0.1,,26,0.3,,26,0.3,,26,0.4,,26,0.3,,8,0.0
QF_BV/sage/app1/bench_1738,,5,0.1,,33,0.4,,33,0.4,,33,0.5,,33,0.5,,7,0.0
QF_BV/sage/app1/bench_1742,,3,0.1,,21,0.2,,17,0.2,,21,0.3,,17,0.3,,6,0.0
QF_BV/sage/app1/bench_1768,,3,0.1,,20,0.3,,15,0.3,,20,0.3,,15,0.5,,13,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,65,2.1,,65,2.1,,65,2.8,,65,2.8,,8,0.0
QF_BV/sage/app12/bench_363,,3,0.2,,10,0.2,,10,0.2,,10,1.8,,10,1.8,,5,0.1
QF_BV/sage/app12/bench_446,,3,0.1,,65,1.2,,65,1.2,,65,1.6,,65,1.6,,7,0.1
QF_BV/sage/app12/bench_451,,4,0.0,,32,0.6,,32,0.6,,32,0.4,,32,0.4,,9,0.0
QF_BV/sage/app12/bench_953,,3,0.1,,10,0.1,,10,0.1,,10,0.3,,10,0.3,,8,0.1
QF_BV/sage/app12/bench_1051,,10,31.0,,254,666.9,,78,702.4,,93,583.4,,54,583.4,,21,6.7
QF_BV/sage/app12/bench_1183,,17,77.4,,298,578.6,,136,590.5,,145,622.1,,71,743.2,,82,39.2
QF_BV/sage/app12/bench_1353,,29,18.7,,334,18.6,,334,18.6,,334,18.6,,334,18.6,,- -,- -
QF_BV/sage/app12/bench_2353,,73,378.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,70,35.3,,539,46.9,,539,46.9,,539,30.5,,539,30.5,,- -,- -
QF_BV/sage/app12/bench_2451,,76,24.8,,465,35.9,,465,35.9,,465,21.8,,465,21.8,,- -,- -
QF_BV/sage/app12/bench_3681,,3,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,9,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,3,0.0
QF_BV/sage/app12/bench_3921,,287,6.1,,15,0.2,,15,0.2,,15,0.3,,15,0.3,,48,0.1
QF_BV/sage/app12/bench_3957,,697,16.1,,708,0.3,,18,0.3,,708,0.2,,18,0.3,,43,0.0
QF_BV/sage/app12/bench_4059,,378,4.1,,19,0.2,,18,0.3,,452,0.3,,18,0.2,,44,0.0
QF_BV/sage/app12/bench_4177,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,11,0.0
QF_BV/sage/app12/bench_4845,,3,0.0,,11,0.1,,11,0.1,,11,0.1,,11,0.2,,8,0.0
QF_BV/sage/app12/bench_5599,,2,0.6,,32,0.9,,32,0.9,,32,6.3,,32,6.3,,6,0.1
QF_BV/sage/app2/bench_48,,38,13.3,,489,38.2,,489,38.2,,489,42.7,,489,42.7,,8,0.1
QF_BV/sage/app2/bench_225,,8,12.8,,419,60.4,,387,38.0,,420,54.2,,392,54.2,,8,3.2
QF_BV/sage/app2/bench_278,,5,8.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,10,2.4
QF_BV/sage/app2/bench_282,,5,9.7,,51,22.0,,51,13.1,,50,23.5,,49,24.0,,20,4.0
QF_BV/sage/app2/bench_458,,146,4.0,,33,0.5,,33,0.5,,33,1.6,,33,1.6,,8,0.1
QF_BV/sage/app2/bench_642,,23,30.5,,445,33.7,,422,41.6,,443,50.4,,414,50.2,,8,0.9
QF_BV/sage/app2/bench_645,,7,4.2,,- -,- -,,- -,- -,,49,8.9,,43,8.9,,53,2.0
QF_BV/sage/app2/bench_664,,18,20.1,,450,36.6,,434,48.3,,451,37.5,,429,37.5,,8,1.2
QF_BV/sage/app2/bench_719,,24,29.8,,446,28.4,,430,40.1,,446,33.7,,427,62.6,,8,0.7
QF_BV/sage/app2/bench_830,,21,20.6,,469,52.2,,450,51.3,,472,56.8,,461,64.1,,8,0.7
QF_BV/sage/app2/bench_863,,6,9.3,,443,36.3,,411,67.0,,439,57.6,,405,59.4,,9,5.2
QF_BV/sage/app2/bench_1196,,8,13.8,,417,34.1,,386,34.1,,422,56.1,,388,58.7,,9,2.6
QF_BV/sage/app2/bench_1387,,41,336.1,,709,302.7,,709,230.5,,710,266.8,,708,268.0,,6,2.2
QF_BV/sage/app5/bench_42,,6,7.3,,35,5.6,,35,5.6,,35,6.6,,35,6.6,,29,0.8
QF_BV/sage/app5/bench_349,,5,14.9,,200,37.2,,188,47.2,,204,53.5,,197,80.8,,15,2.0
