Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,8,0.0,,8,0.0,,8,0.1,,8,0.1,,4,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,13,0.1,,13,0.1,,12,0.1,,12,0.1,,7,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,27,0.3,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,6,0.0
QF_BV/bench_ab/a651test0090,,18,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a655test0003,,16,0.1,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,6,0.0
QF_BV/bench_ab/a659test0071,,20,0.1,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,6,0.0
QF_BV/bench_ab/a668test0098,,3,1.3,,9,0.1,,9,0.1,,8,0.0,,7,0.0,,4,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,5.1,,74,54.5,,64,85.1,,69,140.1,,59,140.1,,20,2.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,5.9,,69,168.0,,61,102.3,,67,153.1,,59,222.2,,9,1.2
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,11.1,,15,95.0,,10,114.3,,9,77.4,,8,82.8,,- -,- -
QF_BV/bmc-bv/graycode,,3,3.6,,9,5.9,,8,5.9,,9,4.9,,8,4.9,,4,0.4
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.1
QF_BV/bmc-bv/magic,,3,13.1,,6,15.7,,6,15.7,,4,15.0,,4,15.0,,4,9.2
QF_BV/bmc-bv/queens,,4,10.3,,8,5.9,,8,5.9,,8,11.8,,8,11.8,,5,0.9
QF_BV/bmc-bv/sudoku,,1,40.9,,1,1.7,,1,1.7,,1,14.3,,1,14.3,,1,532.1
QF_BV/brummayerbiere2/smulov4bw0256,,5,1353.3,,9,516.9,,9,516.9,,7,595.5,,7,595.5,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,5,17.5,,62,12.0,,62,12.0,,62,18.4,,62,18.4,,7,3431.0
QF_BV/brummayerbiere2/smulov4bw0128,,5,113.8,,113,269.1,,61,269.1,,123,221.8,,123,221.8,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.0,,30,1.2,,30,1.2,,30,2.0,,30,2.0,,8,0.8
QF_BV/gulwani-pldi08/fig1d.phx,,15,224.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/gulwani-pldi08/fig5.phx,,9,68.1,,597,1125.4,,214,1125.4,,274,879.9,,203,981.6,,17,426.7
QF_BV/gulwani-pldi08/fig6.phx,,14,39.3,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,236,81.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,70.8,,- -,- -,,- -,- -,,214,1198.2,,122,984.5,,49,233.9
QF_BV/RWS/Example_1.txt,,58,159.2,,654,1193.3,,155,1187.8,,- -,- -,,- -,- -,,231,41.2
QF_BV/RWS/Example_2.txt,,29,97.0,,101,933.5,,76,885.5,,83,874.0,,72,888.5,,63,8.3
QF_BV/RWS/Example_4.txt,,13,43.4,,62,351.2,,41,1009.9,,86,826.1,,48,826.1,,33,3.6
QF_BV/RWS/Example_5.txt,,12,31.5,,41,289.3,,37,238.8,,41,331.0,,35,331.0,,26,2.4
QF_BV/RWS/Example_6.txt,,9,13.1,,24,330.6,,19,114.3,,24,189.6,,19,189.6,,35,1.9
QF_BV/RWS/Example_14.txt,,67,277.4,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,308,261.8
QF_BV/sage/app1/bench_1141,,4,8.9,,- -,- -,,92,277.6,,- -,- -,,91,211.9,,9,1.4
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,6,9.1,,200,263.4,,149,284.8,,200,224.8,,152,193.7,,8,2.4
QF_BV/sage/app1/bench_1288,,5,7.5,,135,177.6,,77,92.1,,114,191.6,,74,191.6,,7,1.8
QF_BV/sage/app1/bench_1339,,4,4.8,,94,108.3,,55,63.8,,77,141.9,,54,114.9,,13,1.9
QF_BV/sage/app1/bench_1346,,5,8.2,,95,44.1,,78,42.1,,81,57.4,,70,57.4,,10,1.7
QF_BV/sage/app1/bench_1710,,4,0.1,,26,0.4,,25,0.4,,26,0.4,,25,0.2,,7,0.0
QF_BV/sage/app1/bench_1738,,5,0.1,,33,0.4,,33,0.4,,33,0.4,,33,0.4,,8,0.0
QF_BV/sage/app1/bench_1742,,3,0.1,,21,0.3,,20,0.2,,21,0.2,,17,0.3,,9,0.1
QF_BV/sage/app1/bench_1768,,4,0.1,,20,0.3,,15,0.3,,20,0.2,,15,0.3,,10,0.0
QF_BV/sage/app12/bench_228,,4,0.1,,65,2.1,,65,2.1,,65,1.8,,65,1.8,,8,0.0
QF_BV/sage/app12/bench_363,,3,0.7,,10,0.3,,10,0.3,,10,1.8,,10,1.8,,8,0.1
QF_BV/sage/app12/bench_446,,3,0.2,,65,1.2,,65,1.2,,65,2.8,,65,2.8,,6,0.0
QF_BV/sage/app12/bench_451,,4,0.1,,32,0.5,,32,0.5,,32,0.4,,32,0.4,,11,0.0
QF_BV/sage/app12/bench_953,,3,0.1,,10,0.1,,10,0.1,,10,0.3,,9,0.3,,10,0.0
QF_BV/sage/app12/bench_1051,,10,23.5,,251,678.5,,77,671.0,,245,546.5,,112,708.3,,21,6.6
QF_BV/sage/app12/bench_1183,,17,55.8,,273,616.7,,132,615.3,,198,842.5,,86,842.5,,66,36.5
QF_BV/sage/app12/bench_1353,,25,14.3,,334,13.2,,334,13.2,,334,21.6,,334,21.6,,- -,- -
QF_BV/sage/app12/bench_2353,,66,350.9,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,61,29.3,,539,46.1,,539,46.1,,539,49.4,,539,49.4,,- -,- -
QF_BV/sage/app12/bench_2451,,38,30.3,,465,35.1,,465,35.1,,465,36.4,,465,36.4,,- -,- -
QF_BV/sage/app12/bench_3681,,3,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,9,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,8,0.0
QF_BV/sage/app12/bench_3921,,311,6.5,,298,0.5,,16,0.5,,15,0.2,,15,0.2,,44,0.1
QF_BV/sage/app12/bench_3957,,651,16.7,,295,0.3,,18,0.3,,295,0.1,,18,0.2,,45,0.0
QF_BV/sage/app12/bench_4059,,360,3.2,,722,0.3,,18,0.3,,722,0.4,,18,0.4,,43,0.0
QF_BV/sage/app12/bench_4177,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,7,0.0
QF_BV/sage/app12/bench_4845,,3,0.1,,11,0.1,,11,0.1,,11,0.2,,11,0.2,,5,0.0
QF_BV/sage/app12/bench_5599,,2,0.2,,32,1.4,,32,1.4,,32,6.5,,32,6.5,,7,0.1
QF_BV/sage/app2/bench_48,,38,15.7,,489,27.0,,489,27.0,,489,47.5,,489,47.5,,8,0.1
QF_BV/sage/app2/bench_225,,9,14.1,,416,38.0,,378,32.0,,418,39.1,,390,39.1,,8,2.5
QF_BV/sage/app2/bench_278,,5,10.7,,- -,- -,,- -,- -,,760,20.7,,70,20.7,,13,1.8
QF_BV/sage/app2/bench_282,,4,8.4,,50,21.8,,49,19.7,,816,27.0,,54,27.0,,19,2.7
QF_BV/sage/app2/bench_458,,132,4.7,,33,0.5,,33,0.5,,33,1.6,,32,0.8,,9,0.1
QF_BV/sage/app2/bench_642,,15,18.6,,442,30.0,,420,52.1,,443,50.4,,416,50.4,,9,1.1
QF_BV/sage/app2/bench_645,,6,4.0,,- -,- -,,47,12.1,,- -,- -,,- -,- -,,50,2.0
QF_BV/sage/app2/bench_664,,19,24.5,,449,34.3,,433,29.5,,449,49.9,,427,50.5,,7,1.4
QF_BV/sage/app2/bench_719,,22,27.6,,445,40.1,,427,41.3,,442,52.6,,417,33.7,,8,0.7
QF_BV/sage/app2/bench_830,,28,30.5,,471,30.6,,456,40.3,,469,51.2,,456,49.5,,8,0.8
QF_BV/sage/app2/bench_863,,6,10.4,,443,57.2,,412,57.5,,440,59.4,,406,46.6,,10,4.6
QF_BV/sage/app2/bench_1196,,8,14.1,,416,34.7,,383,34.6,,422,76.8,,389,56.5,,11,4.8
QF_BV/sage/app2/bench_1387,,37,439.6,,709,275.3,,707,250.8,,709,402.3,,708,304.2,,6,1.9
QF_BV/sage/app5/bench_42,,5,6.7,,35,5.2,,35,5.2,,35,6.7,,35,6.7,,32,1.2
QF_BV/sage/app5/bench_349,,5,11.7,,207,41.8,,197,46.9,,204,62.1,,197,62.4,,22,3.8
