Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,8,0.0,,8,0.0,,8,0.1,,8,0.1,,5,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,13,0.1,,13,0.1,,13,0.1,,13,0.1,,5,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,27,0.1,,17,0.1,,17,0.1,,17,0.1,,16,0.1,,4,0.1
QF_BV/bench_ab/a651test0090,,16,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,4,0.0
QF_BV/bench_ab/a655test0003,,17,0.1,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a659test0071,,35,0.3,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a668test0098,,2,0.3,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,7.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,16,1.4
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,6.2,,71,165.2,,63,146.6,,- -,- -,,- -,- -,,11,2.0
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,14.1,,10,51.3,,9,56.4,,8,72.7,,8,83.4,,- -,- -
QF_BV/bmc-bv/graycode,,3,4.5,,9,5.4,,8,5.4,,9,5.5,,8,5.5,,4,0.3
QF_BV/bmc-bv/inf1,,1,0.3,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,3,17.4,,4,20.8,,4,20.8,,5,40.8,,5,40.8,,3,8.8
QF_BV/bmc-bv/queens,,4,8.3,,8,4.1,,8,4.1,,8,17.2,,8,17.2,,5,0.9
QF_BV/bmc-bv/sudoku,,1,24.3,,1,1.3,,1,1.3,,1,11.4,,1,11.4,,1,308.4
QF_BV/brummayerbiere2/smulov4bw0256,,5,1333.1,,9,674.8,,9,730.9,,10,726.7,,10,726.7,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,4,12.6,,62,19.9,,62,19.9,,62,24.8,,62,24.8,,- -,- -
