Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app12/bench_2353,,58,298.5,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/sage/app12/bench_2428,,22,29.8,,539,48.2,,539,48.2,,539,31.2,,539,31.2,,- -,- -
QF_BV/sage/app12/bench_2451,,85,26.6,,465,36.1,,465,36.1,,465,36.2,,465,36.2,,- -,- -
QF_BV/sage/app12/bench_3681,,3,0.0,,17,0.1,,17,0.1,,17,0.2,,17,0.2,,6,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,16,0.1,,16,0.1,,16,0.2,,16,0.2,,9,0.0
QF_BV/sage/app12/bench_3921,,41,0.5,,570,0.5,,16,0.5,,15,0.4,,15,0.4,,41,0.1
QF_BV/sage/app12/bench_3957,,313,3.8,,24,0.2,,18,0.4,,24,0.2,,18,0.2,,44,0.0
QF_BV/sage/app12/bench_4059,,401,4.4,,31,0.2,,18,0.3,,708,0.2,,18,0.3,,46,0.1
QF_BV/sage/app12/bench_4177,,3,0.0,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,6,0.0
QF_BV/sage/app12/bench_4845,,3,0.1,,11,0.1,,10,0.1,,11,0.1,,11,0.2,,7,0.0
QF_BV/sage/app12/bench_5599,,3,0.2,,32,1.6,,32,1.6,,32,5.6,,32,5.6,,6,0.1
QF_BV/sage/app2/bench_48,,39,16.3,,489,45.0,,489,45.0,,489,30.0,,489,30.0,,8,0.1
QF_BV/sage/app2/bench_225,,10,9.0,,418,51.5,,383,52.1,,425,50.8,,403,52.3,,8,2.5
QF_BV/sage/app2/bench_278,,5,11.2,,70,13.4,,68,13.4,,- -,- -,,- -,- -,,9,1.1
QF_BV/sage/app2/bench_282,,4,6.5,,49,14.5,,48,14.5,,50,25.2,,49,25.2,,18,3.3
QF_BV/sage/app2/bench_458,,140,6.4,,33,0.8,,33,0.8,,33,1.5,,33,1.6,,9,0.0
QF_BV/sage/app2/bench_642,,23,22.6,,447,44.3,,429,44.3,,444,48.7,,423,51.2,,8,0.9
QF_BV/sage/app2/bench_645,,8,5.0,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,49,2.0
QF_BV/sage/app2/bench_664,,20,24.5,,446,43.7,,429,33.2,,445,56.9,,425,49.3,,8,1.3
QF_BV/sage/app2/bench_719,,21,20.9,,443,46.0,,426,47.8,,444,48.6,,418,50.1,,7,0.9
QF_BV/sage/app2/bench_830,,28,28.4,,476,51.3,,460,30.5,,470,49.6,,458,49.6,,8,0.8
QF_BV/sage/app2/bench_863,,6,8.1,,442,36.7,,409,57.2,,441,46.6,,410,76.4,,10,4.1
QF_BV/sage/app2/bench_1196,,8,12.2,,417,53.8,,386,34.3,,418,52.3,,381,42.0,,8,3.6
QF_BV/sage/app2/bench_1387,,40,519.5,,709,235.1,,708,252.5,,709,306.2,,707,282.6,,6,2.2
QF_BV/sage/app5/bench_42,,5,6.6,,35,3.3,,35,3.3,,35,7.2,,35,7.2,,30,0.5
QF_BV/sage/app5/bench_349,,5,9.2,,203,59.4,,193,59.4,,201,62.7,,192,44.0,,25,3.7
QF_BV/sage/app5/bench_357,,5,14.3,,196,67.6,,188,64.3,,198,62.5,,192,61.9,,22,2.9
QF_BV/sage/app5/bench_575,,4,0.1,,65,2.1,,64,1.9,,66,2.2,,65,2.8,,15,0.1
QF_BV/sage/app5/bench_742,,4,0.4,,17,2.4,,17,2.4,,17,2.4,,17,2.4,,4,0.1
