Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,6,0.1,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,153,1.8,,4,0.0,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.4,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,14,0.2,,221,2.6,,33,0.5,,45,0.5
QF_BV/bench_ab/a651test0090,,11,0.2,,39,0.2,,45,0.1,,45,0.2
QF_BV/bench_ab/a655test0003,,14,0.1,,39,0.7,,87,0.6,,29,0.3
QF_BV/bench_ab/a659test0071,,25,0.2,,39,0.2,,16,0.1,,24,0.1
QF_BV/bench_ab/a668test0098,,2,0.0,,19,0.1,,3,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.5,,5,3.5,,5,1.3,,4,1.6
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,5.1,,4,7.0,,7,2.4,,4,1.9
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,10.6,,6,0.9,,6,9.6,,5,12.2
QF_BV/bmc-bv/graycode,,1,2.2,,1,1.2,,1,1.8,,1,1.6
QF_BV/bmc-bv/inf1,,1,0.3,,1,0.0,,1,0.0,,1,0.1
QF_BV/bmc-bv/magic,,1,6.6,,1,2.9,,1,3.9,,1,4.9
QF_BV/bmc-bv/queens,,2,5.5,,2,3.1,,2,5.3,,2,4.3
QF_BV/bmc-bv/sudoku,,1,24.3,,1,26.4,,1,27.0,,1,26.2
QF_BV/brummayerbiere2/smulov4bw0256,,4,1154.0,,- -,- -,,4,1115.8,,4,1139.0
QF_BV/brummayerbiere2/smulov4bw0064,,4,11.4,,- -,- -,,4,18.8,,4,13.7
QF_BV/brummayerbiere2/smulov4bw0128,,4,97.7,,- -,- -,,4,47.0,,4,108.5
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.3,,- -,- -,,3,1.9,,3,2.2
QF_BV/gulwani-pldi08/fig1d.phx,,8,173.6,,13,87.8,,13,213.6,,10,139.6
QF_BV/gulwani-pldi08/fig5.phx,,7,79.8,,9,78.6,,8,75.3,,7,40.5
QF_BV/gulwani-pldi08/fig6.phx,,9,24.6,,13,8.4,,68,125.0,,10,19.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,6,66.2,,9,21.4,,8,61.4,,7,30.1
QF_BV/RWS/Example_1.txt,,23,62.5,,23,56.4,,37,55.5,,25,50.2
QF_BV/RWS/Example_2.txt,,14,48.9,,15,34.8,,16,38.8,,14,32.8
QF_BV/RWS/Example_4.txt,,9,24.4,,11,28.1,,14,29.7,,10,28.6
QF_BV/RWS/Example_5.txt,,7,24.3,,7,21.8,,8,23.0,,7,17.9
QF_BV/RWS/Example_6.txt,,6,11.2,,7,10.4,,6,9.2,,6,8.2
QF_BV/RWS/Example_14.txt,,23,132.1,,23,238.7,,31,103.3,,24,71.8
QF_BV/sage/app1/bench_1141,,4,7.3,,29,32.9,,4,6.3,,4,5.6
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,4,6.0,,11,5.1,,5,10.1,,5,7.0
QF_BV/sage/app1/bench_1288,,4,9.3,,4,2.5,,4,5.7,,4,5.7
QF_BV/sage/app1/bench_1339,,3,5.0,,4,1.5,,4,4.5,,3,2.8
