Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app2/bench_642,,7,8.8,,- -,- -,,10,11.6,,12,9.4
QF_BV/sage/app2/bench_645,,4,2.6,,9,4.2,,7,4.2,,4,2.3
QF_BV/sage/app2/bench_664,,9,11.2,,- -,- -,,12,13.7,,13,9.4
QF_BV/sage/app2/bench_719,,10,10.2,,- -,- -,,17,16.5,,13,7.2
QF_BV/sage/app2/bench_830,,15,15.4,,- -,- -,,27,22.0,,19,11.9
QF_BV/sage/app2/bench_863,,5,9.9,,659,748.0,,4,5.4,,5,5.5
QF_BV/sage/app2/bench_1196,,5,9.0,,- -,- -,,5,7.8,,5,5.8
QF_BV/sage/app2/bench_1387,,14,196.3,,- -,- -,,22,119.2,,18,53.4
QF_BV/sage/app5/bench_42,,4,5.7,,52,7.4,,4,5.4,,5,6.3
QF_BV/sage/app5/bench_349,,4,9.8,,- -,- -,,4,7.8,,4,8.9
QF_BV/sage/app5/bench_357,,4,7.7,,- -,- -,,4,9.8,,4,9.4
QF_BV/sage/app5/bench_575,,4,0.1,,- -,- -,,4,0.2,,4,0.1
QF_BV/sage/app5/bench_742,,2,0.2,,5,0.5,,2,0.2,,2,0.2
QF_BV/sage/app5/bench_794,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app5/bench_931,,4,0.7,,- -,- -,,4,0.7,,4,0.6
QF_BV/sage/app5/bench_959,,4,0.6,,246,44.6,,4,1.2,,4,0.8
QF_BV/sage/app5/bench_960,,3,0.1,,- -,- -,,3,0.2,,901,14.1
QF_BV/sage/app5/bench_1163,,5,1.1,,615,159.7,,5,1.0,,5,0.9
QF_BV/sage/app5/bench_1170,,5,1.1,,- -,- -,,6,2.1,,6,1.6
QF_BV/sage/app5/bench_1182,,4,8.6,,- -,- -,,5,10.7,,4,8.0
QF_BV/sage/app5/bench_1262,,4,0.2,,- -,- -,,3,0.1,,4,0.2
QF_BV/sage/app8/bench_23,,3,2.8,,4,0.7,,4,3.3,,4,2.3
QF_BV/sage/app8/bench_49,,3,0.8,,7,0.3,,5,1.8,,4,1.5
QF_BV/sage/app8/bench_400,,4,22.9,,6,15.8,,7,36.1,,4,20.8
QF_BV/sage/app8/bench_443,,4,28.2,,6,19.4,,6,21.6,,5,19.1
QF_BV/sage/app8/bench_498,,4,21.7,,5,32.5,,5,24.9,,4,14.9
QF_BV/sage/app8/bench_525,,5,0.4,,- -,- -,,7,0.7,,21,1.3
QF_BV/sage/app8/bench_828,,5,20.9,,6,13.2,,5,8.2,,5,10.3
QF_BV/sage/app8/bench_1892,,4,1.0,,5,0.6,,4,1.0,,4,0.8
QF_BV/sage/app8/bench_2006,,4,1.2,,8,0.8,,6,1.6,,4,1.0
QF_BV/sage/app8/bench_2310,,4,0.7,,- -,- -,,4,0.5,,4,0.5
QF_BV/sage/app8/bench_2647,,4,1.1,,11,1.0,,8,3.2,,5,1.9
QF_BV/sage/app8/bench_2880,,5,1.9,,12,1.4,,5,1.2,,5,2.3
QF_BV/sage/app8/bench_3177,,4,2.4,,7,1.4,,6,1.9,,5,2.0
QF_BV/sage/app8/bench_3314,,4,1.9,,12,2.7,,5,2.1,,4,1.5
QF_BV/sage/app8/bench_3368,,4,3.1,,5,1.0,,8,2.6,,4,1.4
QF_BV/sage/app8/bench_3424,,4,1.3,,8,0.5,,4,1.3,,4,1.1
QF_BV/sage/app8/bench_3448,,3,0.3,,5,0.2,,3,0.3,,3,0.2
QF_BV/sage/app8/bench_3677,,6,0.4,,- -,- -,,5,0.4,,6,0.2
QF_BV/sage/app8/bench_3814,,4,1.5,,5,0.7,,5,1.6,,4,1.4
QF_BV/sage/app8/bench_3836,,2,0.0,,809,37.3,,2,0.1,,2,0.0
QF_BV/sage/app8/bench_3842,,2,0.0,,- -,- -,,2,0.0,,3,0.0
QF_BV/sage/app9/bench_885,,5,7.2,,67,29.3,,6,10.0,,5,5.3
QF_BV/sage/app9/bench_919,,7,0.2,,- -,- -,,17,0.7,,7,0.2
QF_BV/sage/app9/bench_979,,3,0.2,,9,0.6,,3,0.2,,4,0.1
QF_BV/sage/app9/bench_1203,,3,1.2,,5,1.0,,6,2.5,,4,1.2
QF_BV/sage/app9/bench_1269,,4,0.8,,394,85.1,,4,0.5,,4,0.8
QF_BV/sage/app9/bench_1323,,4,0.6,,- -,- -,,9,0.8,,4,0.6
QF_BV/sage/app9/bench_1384,,5,5.2,,18,5.7,,8,4.7,,6,4.4
QF_BV/sage/app9/bench_1400,,5,4.7,,7,2.0,,6,5.6,,6,4.8
QF_BV/sage/app9/bench_1552,,5,2.4,,17,3.8,,6,2.0,,5,2.3
QF_BV/sage/app9/bench_1659,,5,2.5,,9,1.0,,6,5.1,,6,2.6
QF_BV/sage/app9/bench_1969,,3,0.3,,5,0.1,,3,0.4,,3,0.3
QF_BV/sage/app9/bench_2061,,3,0.1,,- -,- -,,5,0.1,,4,0.1
QF_BV/sage/app9/bench_2358,,2,0.0,,- -,- -,,2,0.1,,2,0.0
QF_BV/sage/app9/bench_2518,,3,0.5,,15,0.8,,4,0.7,,4,0.8
QF_BV/sage/app9/bench_2940,,4,1.4,,6,1.0,,6,1.9,,4,1.3
QF_BV/sage/app9/bench_3094,,4,0.1,,- -,- -,,3,0.1,,4,0.1
QF_BV/sage/app9/bench_3134,,4,26.8,,5,11.3,,5,22.9,,4,15.5
QF_BV/sage/app9/bench_3261,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_3278,,4,22.0,,5,28.8,,5,20.9,,4,14.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,4,14.6,,7,9.2,,3,16.7,,4,26.6
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,4,22.8,,7,3.4,,3,19.6,,4,21.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,4,20.8,,7,2.8,,3,15.8,,4,23.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,6,142.4,,12,33.1,,9,190.6,,8,95.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,6,102.8,,12,25.9,,6,100.1,,11,104.6
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,6,112.3,,10,28.9,,8,137.4,,9,96.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,5,110.4,,10,37.6,,6,141.3,,9,90.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,6,141.6,,10,35.1,,6,161.4,,11,110.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,6,313.7,,10,89.6,,6,110.0,,11,207.0
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,7,1.4,,- -,- -,,20,3.1,,8,1.1
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,7,1.6,,- -,- -,,8,1.0,,9,1.5
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,7,3.5,,- -,- -,,9,2.6,,8,2.2
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,7,3.7,,- -,- -,,12,1.6,,7,2.2
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,7,3.8,,- -,- -,,8,2.8,,7,2.2
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,7,4.0,,- -,- -,,10,3.0,,8,2.9
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,7,2.9,,- -,- -,,11,3.6,,7,3.2
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,5,1.6,,6,1.1,,5,1.8,,5,1.5
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,5,3.3,,6,1.4,,5,1.2,,5,1.5
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,5,2.6,,7,5.7,,9,3.7,,6,2.4
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,6,4.2,,8,2.9,,7,4.3,,6,3.3
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,6,4.8,,- -,- -,,10,3.4,,7,2.4
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,6,3.5,,- -,- -,,6,2.1,,6,2.9
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,4,4.0,,- -,- -,,5,2.3,,5,2.8
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,5,4.7,,- -,- -,,4,1.5,,4,2.3
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,4,3.9,,- -,- -,,5,2.0,,5,3.0
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,3,2.3,,- -,- -,,4,1.7,,4,2.5
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,1.8,,1,3.3,,1,1.3,,1,2.3
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,13,5.5,,- -,- -,,22,7.1,,- -,- -
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,8,6.5,,- -,- -,,25,9.1,,10,3.6
QF_BV/tacas07/s-40-50-bv,,8,225.1,,15,110.3,,11,183.2,,10,203.8
