Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,11,0.1,,11,0.1,,11,0.1,,11,0.1,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a639test0017,,31,0.4,,17,0.1,,17,0.1,,17,0.1,,17,0.1,,2,0.1
QF_BV/bench_ab/a651test0090,,16,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,5,0.0
QF_BV/bench_ab/a655test0003,,35,0.2,,9,0.0,,9,0.0,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a659test0071,,22,0.2,,9,0.1,,9,0.1,,9,0.1,,9,0.1,,2,0.0
QF_BV/bench_ab/a668test0098,,2,1.3,,8,0.1,,7,0.1,,8,0.0,,7,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,3,2.9,,35,20.6,,34,24.2,,35,33.3,,35,33.3,,5,0.9
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,4.2,,61,96.9,,57,78.7,,34,41.4,,32,33.0,,5,0.8
QF_BV/bmc-bv/ex19,,4,55.2,,- -,- -,,- -,- -,,- -,- -,,- -,- -,,71,852.0
QF_BV/bmc-bv/fermat,,4,9.5,,4,20.8,,4,20.8,,6,51.6,,6,51.6,,- -,- -
QF_BV/bmc-bv/graycode,,1,1.5,,1,0.1,,1,0.1,,1,0.2,,1,0.2,,1,0.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.0,,1,0.1,,1,0.1,,1,0.0
QF_BV/bmc-bv/magic,,1,6.1,,1,0.9,,1,0.9,,1,5.4,,1,5.4,,1,5.3
QF_BV/bmc-bv/queens,,1,2.5,,1,0.2,,1,0.2,,1,0.3,,1,0.3,,1,0.3
QF_BV/bmc-bv/sudoku,,1,33.5,,1,1.1,,1,1.1,,1,10.4,,1,10.4,,1,427.7
QF_BV/brummayerbiere2/smulov4bw0256,,3,901.6,,4,312.7,,4,312.7,,4,149.3,,4,149.3,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0064,,3,8.4,,47,11.9,,47,11.9,,47,24.9,,47,24.9,,4,1671.2
QF_BV/brummayerbiere2/smulov4bw0128,,3,75.6,,66,124.3,,52,124.3,,93,233.1,,93,233.1,,- -,- -
QF_BV/brummayerbiere2/smulov4bw0032,,3,1.9,,22,1.6,,22,1.6,,22,1.5,,22,1.5,,4,0.4
QF_BV/gulwani-pldi08/fig1d.phx,,5,114.0,,96,1009.4,,54,1190.8,,- -,- -,,- -,- -,,10,316.1
QF_BV/gulwani-pldi08/fig5.phx,,5,60.3,,222,813.0,,124,767.7,,299,727.9,,222,727.9,,7,174.5
QF_BV/gulwani-pldi08/fig6.phx,,6,17.1,,- -,- -,,70,80.4,,- -,- -,,- -,- -,,57,18.9
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,4,40.3,,156,392.7,,93,392.7,,143,632.7,,84,632.7,,8,50.4
QF_BV/RWS/Example_1.txt,,8,24.0,,25,153.4,,25,114.5,,21,181.0,,20,181.0,,15,2.4
QF_BV/RWS/Example_2.txt,,8,27.3,,19,106.5,,19,100.0,,19,146.3,,19,146.3,,14,1.9
QF_BV/RWS/Example_4.txt,,6,20.8,,28,102.2,,24,122.2,,23,135.4,,20,140.9,,10,0.8
QF_BV/RWS/Example_5.txt,,5,20.0,,8,50.6,,8,50.6,,16,96.2,,15,96.2,,11,1.8
QF_BV/RWS/Example_6.txt,,5,10.3,,10,28.5,,10,28.5,,8,41.3,,8,41.3,,6,0.5
QF_BV/RWS/Example_14.txt,,9,46.2,,21,250.0,,21,250.0,,22,195.8,,21,207.3,,15,8.5
QF_BV/sage/app1/bench_1141,,3,7.2,,63,224.1,,54,195.1,,58,188.1,,51,266.2,,5,0.9
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,- -,- -
QF_BV/sage/app1/bench_1262,,3,4.9,,130,164.4,,93,164.4,,131,187.0,,92,146.8,,4,1.1
QF_BV/sage/app1/bench_1288,,3,6.0,,34,12.9,,33,21.9,,36,13.7,,35,13.7,,3,0.8
QF_BV/sage/app1/bench_1339,,2,2.1,,22,19.2,,22,22.9,,24,32.6,,24,43.3,,3,0.7
QF_BV/sage/app1/bench_1346,,3,2.8,,37,8.4,,37,8.4,,37,13.2,,37,13.2,,3,0.6
QF_BV/sage/app1/bench_1710,,3,0.1,,25,0.3,,23,0.2,,25,0.4,,23,0.2,,4,0.0
