Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,6,37.9,,6,45.3,,6,74.7,,6,74.0
QF_BV/RWS/Example_8.txt,,5,19.6,,5,18.2,,5,42.6,,5,42.9
QF_BV/RWS/Example_9.txt,,6,175.2,,6,215.5,,5,335.9,,5,409.8
QF_BV/RWS/Example_10.txt,,7,78.8,,7,263.7,,7,388.6,,7,356.1
QF_BV/RWS/Example_11.txt,,10,1188.2,,10,2955.8,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,4,225.6,,5,386.9,,4,2269.4,,4,1548.6
QF_BV/RWS/Example_13.txt,,5,34.1,,5,63.2,,5,184.3,,5,290.6
QF_BV/RWS/Example_16.txt,,8,67.9,,8,99.8,,8,346.2,,8,279.4
QF_BV/RWS/Example_17.txt,,5,48.9,,5,55.1,,5,216.1,,5,135.1
QF_BV/sage/app1/bench_4,,2,113.2,,2,82.9,,2,87.6,,2,172.4
QF_BV/sage/app1/bench_29,,2,62.0,,2,42.3,,2,54.2,,2,50.0
QF_BV/sage/app1/bench_32,,2,39.1,,2,45.8,,2,61.0,,2,46.6
QF_BV/sage/app1/bench_37,,2,100.1,,2,92.4,,2,161.0,,2,213.6
QF_BV/sage/app1/bench_47,,2,31.8,,2,26.1,,2,59.4,,2,71.2
QF_BV/sage/app1/bench_52,,2,20.3,,2,37.0,,2,30.2,,2,67.6
QF_BV/sage/app1/bench_53,,2,27.5,,2,27.7,,2,101.6,,2,103.4
QF_BV/sage/app1/bench_54,,2,32.7,,2,27.7,,2,51.7,,2,59.6
QF_BV/sage/app1/bench_55,,2,34.8,,2,44.6,,2,55.2,,2,66.7
QF_BV/sage/app1/bench_60,,2,30.5,,2,25.1,,2,52.5,,2,37.6
QF_BV/sage/app1/bench_61,,2,35.7,,2,37.4,,2,50.2,,2,63.2
QF_BV/sage/app1/bench_62,,2,35.8,,2,37.9,,2,35.2,,2,64.7
QF_BV/sage/app1/bench_63,,2,22.8,,2,33.5,,2,57.1,,2,59.0
QF_BV/sage/app1/bench_66,,2,63.2,,2,58.9,,2,95.2,,2,59.1
QF_BV/sage/app1/bench_69,,2,57.3,,2,32.9,,2,33.6,,2,63.4
QF_BV/sage/app1/bench_99,,2,18.5,,2,36.6,,2,42.9,,2,57.0
QF_BV/sage/app1/bench_134,,2,31.8,,2,41.2,,2,48.0,,2,66.0
QF_BV/sage/app1/bench_169,,2,40.8,,2,32.5,,2,47.7,,2,55.6
QF_BV/sage/app1/bench_174,,2,25.9,,2,24.7,,2,49.3,,2,52.5
QF_BV/sage/app1/bench_175,,2,33.8,,2,36.5,,2,51.7,,2,61.8
QF_BV/sage/app1/bench_176,,2,25.5,,2,25.5,,2,46.1,,2,57.0
QF_BV/sage/app1/bench_177,,2,28.5,,2,36.4,,2,52.6,,2,63.1
QF_BV/sage/app1/bench_181,,2,79.7,,2,105.1,,2,171.0,,2,215.0
QF_BV/sage/app1/bench_182,,2,50.1,,2,51.1,,2,97.2,,2,56.2
QF_BV/sage/app1/bench_183,,2,26.6,,2,33.6,,2,51.0,,2,56.6
QF_BV/sage/app1/bench_184,,2,19.6,,2,31.1,,2,28.5,,2,110.9
QF_BV/sage/app1/bench_185,,2,28.4,,2,22.2,,2,28.9,,2,55.6
QF_BV/sage/app1/bench_188,,2,28.2,,2,50.3,,2,46.6,,2,39.0
QF_BV/sage/app1/bench_191,,2,18.1,,2,33.8,,2,75.5,,2,67.6
QF_BV/sage/app1/bench_201,,2,40.2,,2,28.7,,2,56.3,,2,68.0
QF_BV/sage/app1/bench_268,,2,32.3,,2,19.5,,2,47.6,,2,55.5
QF_BV/sage/app1/bench_310,,2,37.2,,2,38.3,,2,66.4,,2,69.2
QF_BV/sage/app1/bench_313,,2,29.1,,2,42.4,,2,84.8,,2,78.8
QF_BV/sage/app1/bench_329,,2,23.2,,2,43.1,,2,51.2,,2,61.4
QF_BV/sage/app1/bench_333,,2,27.2,,2,36.9,,2,52.1,,2,58.9
QF_BV/sage/app1/bench_334,,2,36.5,,2,34.6,,2,58.3,,2,57.1
QF_BV/sage/app1/bench_335,,2,31.9,,2,27.5,,2,33.9,,2,60.2
QF_BV/sage/app1/bench_338,,2,40.1,,2,38.9,,2,72.6,,2,67.7
QF_BV/sage/app1/bench_342,,2,32.0,,2,26.5,,2,82.0,,2,60.2
QF_BV/sage/app1/bench_343,,2,24.0,,2,33.7,,2,77.1,,2,34.8
QF_BV/sage/app1/bench_344,,2,32.9,,2,24.5,,2,30.7,,2,59.9
QF_BV/sage/app1/bench_345,,2,55.2,,2,45.0,,2,88.5,,2,57.6
