Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_517,,3,30.8,,3,44.5,,3,32.1,,3,77.5
QF_BV/sage/app1/bench_531,,3,24.0,,2,25.6,,3,30.1,,3,76.2
QF_BV/sage/app1/bench_535,,3,59.6,,3,37.3,,3,45.4,,3,79.0
QF_BV/sage/app1/bench_537,,3,60.9,,3,41.7,,3,41.2,,3,67.0
QF_BV/sage/app1/bench_539,,2,18.3,,3,40.7,,3,32.6,,3,72.6
QF_BV/sage/app1/bench_542,,3,25.4,,3,40.5,,3,50.1,,3,69.8
QF_BV/sage/app1/bench_545,,3,25.8,,3,41.0,,3,42.1,,3,69.5
QF_BV/sage/app1/bench_552,,3,34.8,,3,42.8,,3,58.6,,3,72.6
QF_BV/sage/app1/bench_556,,3,36.8,,3,62.2,,3,60.9,,3,45.1
QF_BV/sage/app1/bench_562,,3,37.1,,3,41.1,,3,59.1,,3,74.6
QF_BV/sage/app1/bench_564,,2,23.4,,3,44.9,,3,61.4,,2,47.9
QF_BV/sage/app1/bench_567,,3,32.9,,3,49.6,,3,40.6,,2,57.6
QF_BV/sage/app1/bench_571,,3,46.6,,3,27.8,,3,107.0,,2,59.8
QF_BV/sage/app1/bench_602,,2,76.3,,2,39.9,,3,67.3,,2,61.0
QF_BV/sage/app1/bench_611,,2,27.1,,3,51.2,,2,47.7,,2,61.6
QF_BV/sage/app1/bench_620,,2,38.2,,3,27.9,,3,115.0,,2,34.8
QF_BV/sage/app1/bench_629,,3,34.2,,3,31.0,,3,62.0,,3,84.1
QF_BV/sage/app1/bench_638,,3,43.9,,3,54.1,,3,98.6,,3,44.0
QF_BV/sage/app1/bench_646,,2,25.9,,3,44.0,,2,65.3,,3,50.6
QF_BV/sage/app1/bench_655,,3,33.3,,3,60.4,,3,61.4,,3,44.6
QF_BV/sage/app1/bench_664,,3,41.4,,3,50.5,,3,72.8,,3,79.0
QF_BV/sage/app1/bench_674,,3,36.3,,3,37.1,,2,42.9,,3,77.5
QF_BV/sage/app1/bench_681,,2,173.9,,2,120.5,,2,145.7,,2,184.8
QF_BV/sage/app1/bench_683,,3,25.8,,3,45.0,,2,40.0,,3,67.9
QF_BV/sage/app1/bench_691,,3,37.4,,3,41.5,,3,33.4,,3,67.9
QF_BV/sage/app1/bench_692,,2,91.5,,2,115.3,,2,127.6,,2,187.4
QF_BV/sage/app1/bench_699,,3,40.5,,3,49.2,,3,53.1,,3,71.2
QF_BV/sage/app1/bench_707,,3,29.3,,3,40.8,,3,97.9,,3,63.1
QF_BV/sage/app1/bench_715,,3,63.9,,3,55.9,,3,50.3,,3,41.9
QF_BV/sage/app1/bench_722,,3,30.5,,3,35.1,,3,52.2,,3,68.4
QF_BV/sage/app1/bench_730,,3,18.8,,3,37.0,,3,38.1,,3,37.8
QF_BV/sage/app1/bench_738,,3,56.5,,3,38.0,,3,40.7,,3,62.6
QF_BV/sage/app1/bench_745,,3,25.2,,3,33.6,,3,46.4,,3,69.4
QF_BV/sage/app1/bench_753,,3,25.0,,3,23.5,,3,61.6,,3,41.0
QF_BV/sage/app1/bench_761,,3,26.9,,3,34.2,,3,36.7,,3,47.3
QF_BV/sage/app1/bench_836,,2,132.8,,2,116.7,,2,214.8,,2,130.8
QF_BV/sage/app1/bench_847,,2,109.2,,2,109.9,,2,205.6,,2,143.2
QF_BV/sage/app1/bench_858,,2,136.9,,2,123.7,,2,318.2,,2,213.9
QF_BV/sage/app1/bench_869,,2,88.6,,2,119.1,,2,161.2,,2,200.2
QF_BV/sage/app1/bench_880,,2,76.6,,2,107.8,,2,183.1,,2,214.3
QF_BV/sage/app1/bench_914,,2,91.4,,2,96.6,,2,265.4,,2,106.7
QF_BV/sage/app1/bench_926,,3,13.6,,3,18.1,,3,21.8,,3,35.1
QF_BV/sage/app1/bench_947,,2,145.5,,2,70.8,,2,158.4,,2,108.9
QF_BV/sage/app1/bench_983,,3,22.9,,3,17.1,,3,54.4,,3,75.6
QF_BV/sage/app1/bench_985,,3,26.2,,3,23.9,,3,48.1,,3,53.4
QF_BV/sage/app1/bench_987,,3,17.1,,3,18.2,,3,32.5,,3,68.4
QF_BV/sage/app1/bench_989,,3,44.5,,3,33.6,,3,23.9,,3,74.2
QF_BV/sage/app1/bench_992,,3,21.9,,3,26.2,,3,33.2,,3,51.5
QF_BV/sage/app1/bench_994,,3,40.8,,3,15.8,,3,23.5,,3,33.0
QF_BV/sage/app1/bench_996,,3,27.6,,3,27.7,,3,22.0,,3,54.2
QF_BV/sage/app1/bench_998,,3,17.9,,3,28.3,,3,35.3,,3,56.6
QF_BV/sage/app1/bench_1000,,3,16.2,,3,19.4,,3,22.5,,3,45.9
QF_BV/sage/app1/bench_1004,,3,17.4,,3,23.5,,3,22.9,,3,51.7
QF_BV/sage/app1/bench_1006,,3,15.5,,3,24.9,,3,21.7,,3,51.8
QF_BV/sage/app1/bench_1008,,3,12.5,,3,22.0,,3,25.1,,3,44.0
QF_BV/sage/app1/bench_1010,,3,11.4,,3,21.2,,3,18.6,,3,43.6
QF_BV/sage/app1/bench_1012,,3,15.4,,3,20.6,,3,23.3,,3,43.4
QF_BV/sage/app1/bench_1015,,3,16.7,,3,19.1,,3,23.1,,3,53.2
QF_BV/sage/app1/bench_1017,,3,16.5,,3,23.8,,3,20.4,,3,47.0
QF_BV/sage/app1/bench_1019,,3,12.6,,3,24.8,,3,26.8,,3,49.5
QF_BV/sage/app1/bench_1021,,3,13.3,,3,22.2,,3,19.4,,3,52.0
QF_BV/sage/app1/bench_1023,,3,16.6,,3,23.1,,3,20.8,,3,54.2
QF_BV/sage/app1/bench_1027,,3,34.9,,3,24.1,,3,20.1,,3,43.0
QF_BV/sage/app1/bench_1035,,3,36.7,,3,23.0,,3,22.5,,3,49.8
QF_BV/sage/app1/bench_1109,,3,37.5,,3,23.9,,3,25.6,,3,46.9
QF_BV/sage/app1/bench_1110,,3,38.3,,3,27.0,,3,20.3,,3,49.2
QF_BV/sage/app1/bench_1126,,2,117.4,,2,130.3,,2,134.4,,2,407.2
QF_BV/sage/app1/bench_1128,,3,16.7,,3,27.9,,3,33.8,,3,53.4
QF_BV/sage/app1/bench_1448,,2,96.3,,2,103.4,,2,206.0,,2,111.3
