Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.1
QF_BV/bench_ab/a403test0043,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,288,0.8,,59,0.4,,33,0.3,,12,0.2
QF_BV/bench_ab/a651test0090,,193,0.5,,65,0.1,,22,0.3,,11,0.2
QF_BV/bench_ab/a655test0003,,36,0.1,,100,0.2,,17,0.1,,11,0.2
QF_BV/bench_ab/a659test0071,,202,0.4,,26,0.2,,11,0.1,,15,0.2
QF_BV/bench_ab/a668test0098,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,2.7,,2,1.5,,2,3.5,,2,4.5
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,4.0,,2,4.4,,2,4.6,,2,5.0
QF_BV/bmc-bv/ex19,,6,37.1,,3,40.1,,3,52.2,,3,151.4
QF_BV/bmc-bv/fermat,,4,0.9,,4,2.1,,3,6.6,,3,15.3
QF_BV/bmc-bv/graycode,,1,0.3,,1,0.5,,1,1.8,,1,2.6
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,1,2.7,,1,3.8,,1,6.1,,1,8.8
QF_BV/bmc-bv/queens,,1,1.0,,1,2.0,,1,3.4,,1,4.6
QF_BV/bmc-bv/sudoku,,1,12.4,,1,27.9,,1,44.1,,1,56.7
QF_BV/brummayerbiere2/smulov4bw0256,,2,144.1,,2,821.3,,2,727.2,,2,848.6
QF_BV/brummayerbiere2/smulov4bw0064,,2,0.6,,2,1.0,,2,4.7,,2,9.1
QF_BV/brummayerbiere2/smulov4bw0128,,2,18.9,,2,41.7,,2,60.6,,2,79.2
QF_BV/brummayerbiere2/smulov4bw0032,,2,0.1,,2,0.4,,2,1.4,,2,2.8
QF_BV/gulwani-pldi08/fig1d.phx,,4,41.6,,3,69.7,,4,111.2,,4,139.4
QF_BV/gulwani-pldi08/fig5.phx,,3,20.2,,3,32.9,,3,43.5,,3,32.1
QF_BV/gulwani-pldi08/fig6.phx,,4,2.5,,4,5.4,,4,12.0,,4,21.6
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,3,15.2,,3,25.8,,3,34.5,,3,46.1
QF_BV/RWS/Example_1.txt,,5,8.4,,5,12.0,,5,19.1,,5,31.5
QF_BV/RWS/Example_2.txt,,5,11.7,,5,12.7,,5,27.1,,5,27.6
QF_BV/RWS/Example_4.txt,,4,5.3,,4,9.7,,4,11.6,,4,21.9
QF_BV/RWS/Example_5.txt,,4,8.2,,4,11.3,,4,16.3,,4,21.5
QF_BV/RWS/Example_6.txt,,4,2.3,,4,3.1,,3,5.2,,4,12.2
QF_BV/RWS/Example_14.txt,,6,12.1,,5,19.4,,5,25.1,,5,40.1
QF_BV/sage/app1/bench_1141,,2,2.3,,2,3.4,,2,4.0,,2,7.6
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,2,1.0,,2,1.8,,2,3.0,,2,8.4
QF_BV/sage/app1/bench_1288,,2,0.8,,2,1.7,,2,4.5,,2,6.5
QF_BV/sage/app1/bench_1339,,2,1.0,,2,1.3,,2,2.8,,2,4.8
QF_BV/sage/app1/bench_1346,,2,0.8,,2,0.8,,2,2.7,,2,4.6
QF_BV/sage/app1/bench_1710,,4,0.1,,4,0.1,,2,0.0,,3,0.1
QF_BV/sage/app1/bench_1738,,26,0.1,,3,0.0,,3,0.0,,2,0.1
QF_BV/sage/app1/bench_1742,,2,0.0,,2,0.1,,2,0.0,,2,0.1
QF_BV/sage/app1/bench_1768,,2,0.0,,2,0.1,,2,0.0,,2,0.1
QF_BV/sage/app12/bench_228,,16,0.1,,2,0.0,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_363,,1,0.0,,1,0.1,,1,0.1,,1,0.2
QF_BV/sage/app12/bench_446,,2,0.0,,2,0.0,,2,0.3,,2,0.1
QF_BV/sage/app12/bench_451,,10,0.1,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_953,,2,0.0,,2,0.0,,2,0.1,,2,0.0
QF_BV/sage/app12/bench_1051,,2,5.6,,2,6.5,,2,9.1,,2,12.0
QF_BV/sage/app12/bench_1183,,2,8.6,,2,20.3,,2,9.6,,2,17.2
QF_BV/sage/app12/bench_1353,,2,2.5,,3,1.7,,2,1.7,,2,2.1
QF_BV/sage/app12/bench_2353,,2,14.3,,3,20.1,,3,17.0,,2,19.5
QF_BV/sage/app12/bench_2428,,2,2.8,,2,3.0,,2,2.1,,2,4.0
QF_BV/sage/app12/bench_2451,,2,2.1,,6,6.8,,2,2.0,,2,3.7
QF_BV/sage/app12/bench_3681,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,6,0.1,,- -,- -,,8,0.1,,- -,- -
QF_BV/sage/app12/bench_3957,,3,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4177,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4845,,2,0.0,,2,0.0,,2,0.0,,2,0.1
QF_BV/sage/app12/bench_5599,,4,0.1,,2,0.1,,2,0.6,,2,0.2
QF_BV/sage/app2/bench_48,,8,4.2,,6,3.1,,6,3.1,,5,4.0
QF_BV/sage/app2/bench_225,,3,5.7,,3,2.0,,3,5.7,,3,7.2
QF_BV/sage/app2/bench_278,,2,1.2,,2,3.3,,2,5.2,,2,9.7
QF_BV/sage/app2/bench_282,,1,0.5,,1,0.9,,1,2.3,,1,4.1
QF_BV/sage/app2/bench_458,,4,0.1,,3,0.0,,3,0.1,,3,0.4
QF_BV/sage/app2/bench_642,,4,4.1,,3,3.0,,3,4.4,,3,6.0
QF_BV/sage/app2/bench_645,,2,0.4,,2,0.6,,2,1.4,,2,2.4
QF_BV/sage/app2/bench_664,,4,5.2,,3,3.2,,3,4.5,,3,6.2
QF_BV/sage/app2/bench_719,,4,3.0,,3,2.7,,3,3.4,,3,5.5
QF_BV/sage/app2/bench_830,,4,1.8,,4,2.1,,3,3.6,,4,6.8
QF_BV/sage/app2/bench_863,,3,1.7,,3,2.7,,3,5.9,,3,7.9
QF_BV/sage/app2/bench_1196,,3,3.5,,3,4.0,,3,6.0,,3,8.7
QF_BV/sage/app2/bench_1387,,1,12.9,,1,12.3,,1,16.8,,1,20.9
QF_BV/sage/app5/bench_42,,2,0.4,,2,1.3,,2,3.1,,2,5.2
QF_BV/sage/app5/bench_349,,2,2.7,,2,4.0,,2,7.0,,2,11.9
QF_BV/sage/app5/bench_357,,2,2.7,,2,4.1,,2,6.0,,2,6.5
QF_BV/sage/app5/bench_575,,4,0.1,,3,0.1,,3,0.1,,3,0.2
QF_BV/sage/app5/bench_742,,1,0.1,,1,0.1,,1,0.2,,1,0.2
QF_BV/sage/app5/bench_794,,2,0.1,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app5/bench_931,,3,0.1,,2,0.2,,2,0.3,,2,0.7
QF_BV/sage/app5/bench_959,,2,0.2,,2,0.2,,2,0.3,,2,0.6
QF_BV/sage/app5/bench_960,,11,0.1,,2,0.0,,3,0.3,,2,0.1
QF_BV/sage/app5/bench_1163,,3,0.2,,3,0.3,,3,0.6,,3,1.4
QF_BV/sage/app5/bench_1170,,4,0.2,,3,0.3,,3,0.7,,3,1.2
QF_BV/sage/app5/bench_1182,,3,0.8,,3,1.9,,3,6.0,,3,13.4
QF_BV/sage/app5/bench_1262,,3,0.0,,2,0.1,,2,0.1,,2,0.2
QF_BV/sage/app8/bench_23,,2,0.7,,2,0.8,,2,1.5,,2,3.0
QF_BV/sage/app8/bench_49,,2,0.1,,2,0.2,,2,0.4,,2,1.0
QF_BV/sage/app8/bench_400,,2,4.1,,2,16.0,,2,15.0,,2,23.1
QF_BV/sage/app8/bench_443,,2,3.7,,2,9.1,,2,14.1,,2,18.6
QF_BV/sage/app8/bench_498,,2,4.5,,2,8.4,,2,9.6,,2,19.5
QF_BV/sage/app8/bench_525,,3,0.0,,3,0.1,,3,0.3,,3,0.5
QF_BV/sage/app8/bench_828,,2,2.8,,2,6.2,,2,8.8,,2,13.5
QF_BV/sage/app8/bench_1892,,2,0.1,,2,1.4,,2,0.6,,2,1.0
QF_BV/sage/app8/bench_2006,,3,0.2,,3,0.3,,2,0.6,,2,0.9
QF_BV/sage/app8/bench_2310,,3,0.1,,3,0.2,,3,0.4,,3,0.7
QF_BV/sage/app8/bench_2647,,3,0.3,,3,0.5,,3,1.2,,3,2.4
QF_BV/sage/app8/bench_2880,,3,0.2,,3,0.6,,3,1.3,,3,1.8
QF_BV/sage/app8/bench_3177,,2,0.4,,2,0.4,,2,1.2,,2,2.4
QF_BV/sage/app8/bench_3314,,2,0.1,,2,0.3,,2,0.9,,2,1.4
QF_BV/sage/app8/bench_3368,,2,0.3,,2,0.5,,2,1.1,,2,2.1
QF_BV/sage/app8/bench_3424,,2,0.1,,2,0.3,,2,0.7,,2,1.0
QF_BV/sage/app8/bench_3448,,1,0.1,,1,0.1,,1,0.1,,1,0.2
QF_BV/sage/app8/bench_3677,,3,0.1,,3,0.1,,3,0.2,,3,0.3
QF_BV/sage/app8/bench_3814,,2,0.1,,2,0.2,,2,0.9,,2,1.2
QF_BV/sage/app8/bench_3836,,2,0.0,,2,0.0,,2,0.0,,2,0.1
QF_BV/sage/app8/bench_3842,,2,0.0,,3,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_885,,2,0.7,,3,2.0,,3,4.7,,3,7.1
QF_BV/sage/app9/bench_919,,3,0.0,,2,0.0,,2,0.1,,2,0.9
QF_BV/sage/app9/bench_979,,2,0.0,,2,0.1,,2,0.1,,2,0.1
QF_BV/sage/app9/bench_1203,,2,0.2,,2,0.4,,2,0.5,,2,1.4
QF_BV/sage/app9/bench_1269,,3,0.2,,2,0.1,,2,0.3,,2,0.8
QF_BV/sage/app9/bench_1323,,3,0.1,,2,0.1,,2,0.2,,3,0.7
QF_BV/sage/app9/bench_1384,,3,0.8,,2,1.0,,2,2.4,,3,4.8
QF_BV/sage/app9/bench_1400,,3,0.7,,3,1.0,,3,2.9,,3,5.7
QF_BV/sage/app9/bench_1552,,3,0.4,,3,1.7,,3,1.8,,3,1.9
QF_BV/sage/app9/bench_1659,,2,0.3,,3,0.3,,2,1.2,,2,1.9
QF_BV/sage/app9/bench_1969,,2,0.1,,2,0.1,,2,0.2,,2,0.6
QF_BV/sage/app9/bench_2061,,3,0.0,,2,0.1,,3,0.1,,2,0.1
QF_BV/sage/app9/bench_2358,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_2518,,2,0.1,,2,0.2,,2,0.4,,2,0.8
QF_BV/sage/app9/bench_2940,,2,0.2,,2,0.2,,2,0.5,,2,1.6
QF_BV/sage/app9/bench_3094,,3,0.2,,2,0.0,,2,0.1,,2,0.1
QF_BV/sage/app9/bench_3134,,2,4.6,,2,5.7,,2,14.5,,2,23.2
QF_BV/sage/app9/bench_3261,,2,0.0,,2,0.1,,2,0.0,,2,0.1
QF_BV/sage/app9/bench_3278,,2,7.6,,2,9.3,,2,9.7,,2,22.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,2,0.8,,2,2.9,,2,11.9,,2,20.9
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,2,0.9,,2,2.1,,2,8.7,,2,24.3
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,2,0.6,,2,2.6,,2,19.6,,2,20.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,3,22.4,,3,46.2,,3,55.8,,3,87.6
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,4,16.3,,3,43.0,,3,44.6,,3,88.0
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,4,22.1,,3,23.7,,3,65.6,,3,88.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,4,18.6,,3,81.4,,3,80.4,,3,89.0
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,3,23.4,,4,40.0,,3,66.5,,3,83.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,3,17.2,,3,49.0,,3,69.1,,3,94.1
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,4,0.8,,3,0.5,,3,0.9,,3,1.1
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,2,0.5,,3,0.4,,3,0.8,,3,1.4
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,5,2.1,,3,1.0,,3,2.5,,3,2.4
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,5,2.3,,4,1.3,,3,1.8,,3,2.7
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,6,3.0,,4,1.1,,3,1.8,,3,3.0
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,6,3.3,,3,1.9,,3,2.6,,3,5.3
QF_BV/stp_samples/run_03230.trace.cond_012217_0x4182b4_00,,5,2.8,,4,2.6,,3,1.3,,3,3.5
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,3,0.4,,3,0.8,,3,1.3,,3,2.6
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,3,0.5,,3,0.9,,3,1.3,,3,1.9
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,3,0.5,,3,1.3,,3,1.2,,3,1.9
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,3,1.0,,3,1.7,,3,2.3,,3,3.8
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,4,2.4,,3,1.9,,3,2.2,,3,3.2
QF_BV/stp_samples/run_03230.trace.cond_025424_0x41820e_00,,3,1.9,,2,1.4,,2,1.5,,2,2.7
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,1,0.8,,1,0.8,,1,0.9,,1,1.4
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,1,0.4,,1,0.8,,1,1.1,,1,1.4
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,1,0.7,,1,0.4,,1,0.9,,1,1.2
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,1,0.7,,1,0.7,,1,1.1,,1,1.4
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,1.3,,1,2.7,,1,2.6,,1,4.3
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,4,2.0,,3,1.7,,3,1.8,,3,1.6
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,3,2.2,,2,1.1,,3,5.0,,3,4.2
QF_BV/tacas07/s-40-50-bv,,3,28.7,,3,44.4,,3,288.2,,3,135.1
,,,,,,,,,,,,
QF_ABV/bench_ab/a84test0002,,3,0.0,,2,0.0,,2,0.0,,2,0.0
QF_ABV/bench_ab/a271test0009,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_ABV/bench_ab/a283test0002,,2,0.0,,3,0.0,,2,0.0,,2,0.0
QF_ABV/bench_ab/a288test0004,,2,0.0,,2,0.0,,2,0.1,,2,0.1
QF_ABV/bench_ab/a296test0002,,1,0.3,,1,1.4,,1,2.0,,1,2.8
QF_ABV/bench_ab/b264test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_ABV/bmc-arrays/ex6,,6,0.3,,5,0.3,,3,0.4,,3,0.8
QF_ABV/bmc-arrays/ex20,,4,23.2,,3,28.2,,3,34.1,,3,69.1
QF_ABV/bmc-arrays/inf4,,1,0.2,,1,0.3,,1,0.6,,1,1.3
QF_ABV/bmc-arrays/simple_control_on_input,,4,2.3,,4,4.1,,3,7.1,,3,13.0
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,- -,- -,,16,0.7,,8,0.6,,6,0.5
