Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,63,562.7,,64,698.5,,114,1231.8,,69,335.1
QF_BV/RWS/Example_8.txt,,20,120.5,,22,81.2,,24,100.8,,22,77.9
QF_BV/RWS/Example_9.txt,,33,984.5,,35,1025.4,,45,1417.3,,33,821.8
QF_BV/RWS/Example_10.txt,,79,3528.4,,76,1996.5,,- -,- -,,83,1391.2
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,54,951.0,,57,872.9,,91,1483.0,,59,617.8
QF_BV/RWS/Example_16.txt,,57,2286.6,,59,694.9,,98,1538.1,,62,621.4
QF_BV/RWS/Example_17.txt,,48,1114.2,,52,1029.3,,76,889.0,,50,882.5
QF_BV/sage/app1/bench_4,,7,442.7,,15,603.1,,7,408.8,,7,208.2
QF_BV/sage/app1/bench_29,,9,204.4,,9,126.7,,12,193.3,,10,90.9
QF_BV/sage/app1/bench_32,,9,124.3,,9,82.3,,11,319.8,,11,102.1
QF_BV/sage/app1/bench_37,,7,436.8,,15,495.5,,9,678.6,,7,161.4
QF_BV/sage/app1/bench_47,,8,153.9,,11,125.2,,11,197.4,,10,77.2
QF_BV/sage/app1/bench_52,,9,185.3,,12,147.6,,10,138.9,,10,116.1
QF_BV/sage/app1/bench_53,,8,147.3,,10,115.7,,11,125.5,,10,80.3
QF_BV/sage/app1/bench_54,,8,169.6,,15,156.6,,10,122.7,,10,76.2
QF_BV/sage/app1/bench_55,,8,130.6,,11,254.2,,11,132.9,,10,92.4
QF_BV/sage/app1/bench_60,,9,201.2,,11,134.4,,12,342.7,,10,82.2
QF_BV/sage/app1/bench_61,,9,168.9,,12,130.5,,10,82.8,,10,68.9
QF_BV/sage/app1/bench_62,,9,168.4,,12,129.0,,11,152.0,,10,74.8
