Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app2/bench_642,,- -,- -,,14,10.6,,23,25.0,,20,34.8
QF_BV/sage/app2/bench_645,,12,2.5,,9,1.5,,7,4.1,,8,8.8
QF_BV/sage/app2/bench_664,,- -,- -,,13,5.8,,19,22.7,,19,34.8
QF_BV/sage/app2/bench_719,,- -,- -,,27,12.7,,23,26.8,,22,40.9
QF_BV/sage/app2/bench_830,,- -,- -,,27,10.8,,23,24.9,,23,36.2
QF_BV/sage/app2/bench_863,,8,11.0,,6,4.3,,6,11.4,,6,16.9
QF_BV/sage/app2/bench_1196,,12,5.6,,8,7.7,,8,11.3,,7,18.1
QF_BV/sage/app2/bench_1387,,406,3565.6,,48,466.5,,35,334.9,,34,547.3
QF_BV/sage/app5/bench_42,,22,3.9,,6,3.0,,5,6.6,,5,12.3
QF_BV/sage/app5/bench_349,,11,11.7,,5,7.7,,5,15.9,,5,29.0
QF_BV/sage/app5/bench_357,,9,7.7,,6,5.7,,5,13.1,,5,28.7
QF_BV/sage/app5/bench_575,,89,0.4,,5,0.1,,5,0.2,,4,0.3
QF_BV/sage/app5/bench_742,,9,0.3,,6,0.2,,4,0.4,,4,0.5
QF_BV/sage/app5/bench_794,,3,0.1,,2,0.0,,3,0.0,,3,0.1
QF_BV/sage/app5/bench_931,,14,0.2,,5,0.3,,5,0.6,,5,1.9
QF_BV/sage/app5/bench_959,,7,0.6,,6,0.4,,6,1.1,,6,2.1
QF_BV/sage/app5/bench_960,,195,2.9,,5,0.1,,5,0.1,,5,0.1
QF_BV/sage/app5/bench_1163,,10,0.8,,8,0.7,,13,2.9,,8,1.9
QF_BV/sage/app5/bench_1170,,20,0.8,,11,0.8,,8,1.9,,7,3.0
QF_BV/sage/app5/bench_1182,,10,2.7,,6,4.8,,5,9.9,,5,21.4
QF_BV/sage/app5/bench_1262,,9,0.1,,5,0.1,,5,0.6,,4,0.3
QF_BV/sage/app8/bench_23,,6,0.8,,5,1.2,,5,4.1,,4,4.9
QF_BV/sage/app8/bench_49,,6,0.4,,5,0.6,,5,1.9,,5,3.3
QF_BV/sage/app8/bench_400,,9,33.3,,8,19.8,,7,45.0,,7,65.9
QF_BV/sage/app8/bench_443,,9,16.4,,8,17.7,,7,32.1,,8,51.1
QF_BV/sage/app8/bench_498,,8,24.7,,7,25.1,,7,47.0,,6,55.1
QF_BV/sage/app8/bench_525,,25,0.1,,6,0.1,,8,0.6,,5,0.7
QF_BV/sage/app8/bench_828,,10,16.6,,9,20.1,,9,31.6,,8,43.9
QF_BV/sage/app8/bench_1892,,6,0.5,,5,0.6,,5,1.4,,5,2.3
QF_BV/sage/app8/bench_2006,,10,0.3,,6,0.6,,6,1.6,,6,3.2
QF_BV/sage/app8/bench_2310,,7,0.1,,6,0.2,,5,0.7,,5,1.2
QF_BV/sage/app8/bench_2647,,31,1.3,,35,4.0,,13,3.8,,35,29.0
QF_BV/sage/app8/bench_2880,,6,0.5,,7,1.8,,6,2.0,,17,11.9
QF_BV/sage/app8/bench_3177,,9,1.2,,18,4.9,,8,5.1,,35,30.1
QF_BV/sage/app8/bench_3314,,10,1.5,,7,1.0,,6,2.4,,6,4.9
QF_BV/sage/app8/bench_3368,,5,0.8,,4,0.9,,5,3.9,,4,4.1
QF_BV/sage/app8/bench_3424,,5,0.5,,6,1.5,,5,1.6,,5,2.4
QF_BV/sage/app8/bench_3448,,7,0.1,,5,0.3,,4,0.4,,4,0.8
QF_BV/sage/app8/bench_3677,,7,0.1,,9,0.2,,4,0.3,,5,0.4
QF_BV/sage/app8/bench_3814,,7,0.4,,5,0.7,,5,1.6,,5,2.6
QF_BV/sage/app8/bench_3836,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app8/bench_3842,,138,0.3,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_885,,6,1.2,,6,2.6,,6,7.7,,7,16.4
QF_BV/sage/app9/bench_919,,9,0.1,,10,0.1,,5,0.2,,8,0.6
QF_BV/sage/app9/bench_979,,5,0.1,,4,0.1,,4,0.2,,4,0.2
QF_BV/sage/app9/bench_1203,,6,0.3,,6,0.9,,5,1.7,,5,2.8
QF_BV/sage/app9/bench_1269,,7,0.3,,6,0.4,,5,1.0,,5,1.7
QF_BV/sage/app9/bench_1323,,8,0.2,,6,0.3,,5,0.8,,5,1.5
QF_BV/sage/app9/bench_1384,,34,6.8,,9,2.4,,9,9.9,,9,14.1
QF_BV/sage/app9/bench_1400,,11,2.2,,10,6.3,,10,9.5,,9,14.6
QF_BV/sage/app9/bench_1552,,10,0.8,,7,0.8,,7,3.8,,7,4.8
QF_BV/sage/app9/bench_1659,,11,0.9,,10,2.1,,9,5.3,,9,9.0
QF_BV/sage/app9/bench_1969,,6,0.2,,5,0.4,,4,0.4,,4,1.0
QF_BV/sage/app9/bench_2061,,5,0.0,,3,0.0,,3,0.1,,4,0.2
QF_BV/sage/app9/bench_2358,,17,0.0,,2,0.1,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_2518,,6,0.4,,6,0.5,,4,0.7,,5,1.3
QF_BV/sage/app9/bench_2940,,7,1.1,,6,1.1,,6,2.4,,6,5.2
QF_BV/sage/app9/bench_3094,,61,0.2,,3,0.1,,4,0.1,,4,0.2
QF_BV/sage/app9/bench_3134,,11,20.1,,8,19.6,,6,38.8,,6,58.7
QF_BV/sage/app9/bench_3261,,14,0.1,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_3278,,9,21.1,,7,25.1,,7,56.8,,7,42.6
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,5,2.0,,5,6.6,,5,26.9,,5,54.3
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,5,1.8,,5,7.0,,4,37.0,,5,40.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,5,1.5,,5,6.4,,5,18.5,,4,45.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,12,54.9,,9,111.0,,8,133.5,,8,238.5
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,12,54.2,,9,115.9,,8,165.9,,8,220.6
