Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,6,0.0,,5,0.4,,4,0.0,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,310,1.4,,128,0.4,,59,0.8,,14,0.2
QF_BV/bench_ab/a651test0090,,249,0.8,,78,0.4,,31,0.5,,12,0.1
QF_BV/bench_ab/a655test0003,,42,0.1,,143,0.6,,21,0.1,,18,0.2
QF_BV/bench_ab/a659test0071,,264,0.6,,54,0.3,,16,0.1,,16,0.1
QF_BV/bench_ab/a668test0098,,250,0.2,,3,0.0,,3,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,4.5,,4,4.4,,5,5.9,,4,5.4
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,3.5,,5,3.1,,5,7.1,,5,7.9
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,7,0.8,,6,4.0,,6,15.7,,5,29.5
QF_BV/bmc-bv/graycode,,3,0.8,,3,1.6,,3,3.9,,3,8.2
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,3,6.5,,3,8.5,,3,13.2,,3,21.0
QF_BV/bmc-bv/queens,,4,2.8,,4,2.8,,4,9.7,,4,19.0
QF_BV/bmc-bv/sudoku,,1,12.4,,1,27.9,,1,44.1,,1,56.7
QF_BV/brummayerbiere2/smulov4bw0256,,6,496.1,,5,929.0,,5,1122.4,,5,1458.6
QF_BV/brummayerbiere2/smulov4bw0064,,5,0.7,,5,3.9,,4,14.9,,4,16.3
QF_BV/brummayerbiere2/smulov4bw0128,,5,29.9,,5,49.1,,5,96.1,,5,145.4
QF_BV/brummayerbiere2/smulov4bw0032,,5,0.2,,4,2.8,,4,2.5,,4,6.4
