Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.2
QF_BV/bench_ab/a403test0043,,4,0.0,,5,0.0,,3,0.0,,4,0.1
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,242,1.9,,166,0.5,,27,0.3,,21,0.5
QF_BV/bench_ab/a651test0090,,361,1.8,,69,0.1,,18,0.1,,15,0.1
QF_BV/bench_ab/a655test0003,,23,0.0,,124,0.4,,16,0.1,,10,0.3
QF_BV/bench_ab/a659test0071,,326,0.5,,171,0.5,,20,0.1,,16,0.1
QF_BV/bench_ab/a668test0098,,75,0.1,,3,0.0,,3,1.3,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,4.6,,5,3.1,,4,5.1,,5,8.6
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,6.7,,5,4.5,,5,5.9,,5,7.8
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,7,0.8,,6,3.9,,5,11.1,,5,30.8
QF_BV/bmc-bv/graycode,,3,0.8,,3,1.7,,3,3.6,,3,7.9
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.6
QF_BV/bmc-bv/magic,,3,4.4,,3,7.4,,3,13.1,,3,21.9
QF_BV/bmc-bv/queens,,5,1.9,,4,4.4,,4,10.3,,4,19.1
QF_BV/bmc-bv/sudoku,,1,23.7,,1,48.2,,1,40.9,,1,63.2
QF_BV/brummayerbiere2/smulov4bw0256,,7,337.9,,5,724.7,,5,1353.3,,5,1578.8
QF_BV/brummayerbiere2/smulov4bw0064,,6,1.1,,4,3.4,,5,17.5,,4,30.2
QF_BV/brummayerbiere2/smulov4bw0128,,5,24.6,,5,106.6,,5,113.8,,5,165.8
QF_BV/brummayerbiere2/smulov4bw0032,,5,0.3,,5,0.9,,4,3.0,,4,3.5
QF_BV/gulwani-pldi08/fig1d.phx,,19,119.0,,14,206.5,,15,224.0,,14,417.3
QF_BV/gulwani-pldi08/fig5.phx,,11,45.2,,9,69.0,,9,68.1,,9,126.3
QF_BV/gulwani-pldi08/fig6.phx,,14,4.9,,13,15.7,,14,39.3,,12,46.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,20.5,,9,42.9,,9,70.8,,9,143.1
QF_BV/RWS/Example_1.txt,,67,64.3,,65,104.3,,58,159.2,,56,259.3
QF_BV/RWS/Example_2.txt,,32,33.7,,32,57.4,,29,97.0,,30,150.2
QF_BV/RWS/Example_4.txt,,14,16.4,,14,46.0,,13,43.4,,13,49.6
QF_BV/RWS/Example_5.txt,,12,16.6,,12,16.7,,12,31.5,,12,37.3
QF_BV/RWS/Example_6.txt,,10,8.2,,10,10.9,,9,13.1,,8,25.4
QF_BV/RWS/Example_14.txt,,82,126.8,,77,139.1,,67,277.4,,65,419.8
QF_BV/sage/app1/bench_1141,,9,5.1,,5,7.2,,4,8.9,,5,15.9
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,9,3.6,,6,5.1,,6,9.1,,6,22.7
QF_BV/sage/app1/bench_1288,,6,2.0,,6,3.5,,5,7.5,,5,16.5
QF_BV/sage/app1/bench_1339,,5,1.9,,5,2.3,,4,4.8,,5,11.2
QF_BV/sage/app1/bench_1346,,6,2.1,,5,2.0,,5,8.2,,5,10.9
QF_BV/sage/app1/bench_1710,,49,0.5,,5,0.1,,4,0.1,,4,0.1
QF_BV/sage/app1/bench_1738,,212,2.4,,6,0.0,,5,0.1,,4,0.1
QF_BV/sage/app1/bench_1742,,31,0.5,,4,0.0,,3,0.1,,3,0.2
QF_BV/sage/app1/bench_1768,,8,0.1,,4,0.1,,4,0.1,,3,0.2
QF_BV/sage/app12/bench_228,,61,0.2,,3,0.1,,4,0.1,,4,0.2
QF_BV/sage/app12/bench_363,,5,0.2,,3,0.1,,3,0.7,,3,0.4
QF_BV/sage/app12/bench_446,,4,0.0,,3,0.0,,3,0.2,,3,0.2
QF_BV/sage/app12/bench_451,,186,0.5,,3,0.0,,4,0.1,,5,0.1
QF_BV/sage/app12/bench_953,,5,0.0,,3,0.0,,3,0.1,,3,0.2
QF_BV/sage/app12/bench_1051,,13,17.4,,12,24.6,,10,23.5,,10,57.1
QF_BV/sage/app12/bench_1183,,18,28.2,,15,26.6,,17,55.8,,15,95.7
QF_BV/sage/app12/bench_1353,,940,317.4,,28,13.6,,25,14.3,,24,17.5
QF_BV/sage/app12/bench_2353,,773,3518.9,,91,414.3,,66,350.9,,64,195.8
QF_BV/sage/app12/bench_2428,,- -,- -,,125,45.1,,61,29.3,,44,64.7
QF_BV/sage/app12/bench_2451,,948,178.1,,71,27.1,,38,30.3,,39,42.4
QF_BV/sage/app12/bench_3681,,3,0.0,,2,0.0,,3,0.0,,3,0.0
QF_BV/sage/app12/bench_3852,,15,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,89,1.2,,- -,- -,,311,6.5,,- -,- -
QF_BV/sage/app12/bench_3957,,455,1.5,,271,1.2,,651,16.7,,278,7.1
QF_BV/sage/app12/bench_4059,,224,0.7,,- -,- -,,360,3.2,,332,11.8
QF_BV/sage/app12/bench_4177,,4,0.0,,4,0.0,,3,0.0,,3,0.3
QF_BV/sage/app12/bench_4845,,16,0.1,,4,0.0,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_5599,,5,0.1,,3,0.5,,2,0.2,,3,0.3
QF_BV/sage/app2/bench_48,,- -,- -,,48,17.4,,38,15.7,,36,21.6
QF_BV/sage/app2/bench_225,,82,32.2,,10,5.4,,9,14.1,,9,22.6
QF_BV/sage/app2/bench_278,,9,2.9,,6,7.3,,5,10.7,,5,18.0
QF_BV/sage/app2/bench_282,,8,1.6,,5,5.4,,4,8.4,,4,18.5
QF_BV/sage/app2/bench_458,,252,4.1,,215,1.9,,132,4.7,,60,3.0
QF_BV/sage/app2/bench_642,,- -,- -,,29,21.6,,15,18.6,,20,37.4
QF_BV/sage/app2/bench_645,,11,1.4,,7,1.6,,6,4.0,,8,8.1
QF_BV/sage/app2/bench_664,,- -,- -,,22,15.8,,19,24.5,,19,32.1
QF_BV/sage/app2/bench_719,,- -,- -,,23,16.8,,22,27.6,,- -,- -
QF_BV/sage/app2/bench_830,,- -,- -,,26,16.2,,28,30.5,,24,36.7
QF_BV/sage/app2/bench_863,,9,9.6,,7,12.5,,6,10.4,,6,16.1
QF_BV/sage/app2/bench_1196,,19,21.7,,9,5.5,,8,14.1,,7,17.5
QF_BV/sage/app2/bench_1387,,- -,- -,,48,447.7,,37,439.6,,34,561.2
QF_BV/sage/app5/bench_42,,16,3.1,,8,4.7,,5,6.7,,4,11.3
