Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,38,211.7,,37,135.1,,34,317.0,,34,784.3
QF_BV/RWS/Example_8.txt,,14,33.6,,13,45.2,,12,71.3,,12,69.0
QF_BV/RWS/Example_9.txt,,18,312.1,,18,497.2,,17,1236.5,,17,697.0
QF_BV/RWS/Example_10.txt,,47,714.8,,43,824.7,,42,2097.5,,39,1503.8
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,29,1997.7,,27,2813.7,,25,3233.8,,- -,- -
QF_BV/RWS/Example_13.txt,,30,152.1,,28,287.1,,27,496.6,,25,404.6
QF_BV/RWS/Example_16.txt,,38,159.7,,36,269.8,,34,636.7,,33,1481.3
QF_BV/RWS/Example_17.txt,,27,190.3,,26,360.3,,25,560.6,,24,1021.4
QF_BV/sage/app1/bench_4,,5,121.1,,5,160.6,,4,271.5,,5,370.8
QF_BV/sage/app1/bench_29,,6,60.6,,6,65.4,,5,243.1,,6,164.2
QF_BV/sage/app1/bench_32,,5,76.0,,5,107.9,,6,174.0,,5,146.7
QF_BV/sage/app1/bench_37,,5,118.7,,5,137.9,,5,314.4,,5,313.1
QF_BV/sage/app1/bench_47,,5,44.2,,5,99.0,,5,105.1,,5,86.1
QF_BV/sage/app1/bench_52,,6,64.0,,6,53.9,,6,129.8,,5,131.0
QF_BV/sage/app1/bench_53,,5,42.7,,5,75.1,,5,109.8,,5,123.5
QF_BV/sage/app1/bench_54,,6,81.8,,5,60.1,,6,126.3,,6,150.2
QF_BV/sage/app1/bench_55,,6,65.8,,6,65.6,,5,111.2,,5,143.6
QF_BV/sage/app1/bench_60,,6,88.1,,5,90.7,,5,107.3,,5,135.4
QF_BV/sage/app1/bench_61,,5,69.7,,5,65.8,,5,152.3,,5,126.4
QF_BV/sage/app1/bench_62,,6,62.0,,5,78.4,,6,124.8,,5,84.9
