Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,38,237.9,,38,318.6,,33,629.9,,33,422.6
QF_BV/RWS/Example_8.txt,,13,29.4,,13,27.6,,12,58.7,,12,99.5
QF_BV/RWS/Example_9.txt,,19,241.5,,18,513.4,,17,746.2,,16,983.6
QF_BV/RWS/Example_10.txt,,45,810.6,,44,1052.0,,42,1915.4,,40,1830.0
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,28,2153.1,,28,1961.3,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,30,180.1,,29,210.8,,26,332.3,,26,662.5
QF_BV/RWS/Example_16.txt,,38,265.6,,35,416.5,,34,1164.6,,32,851.1
QF_BV/RWS/Example_17.txt,,28,305.5,,26,251.6,,25,675.8,,24,1245.4
QF_BV/sage/app1/bench_4,,5,241.7,,5,263.4,,4,459.6,,5,430.6
QF_BV/sage/app1/bench_29,,6,76.4,,5,95.4,,5,184.3,,6,304.4
QF_BV/sage/app1/bench_32,,5,84.0,,5,116.2,,5,116.4,,5,163.1
QF_BV/sage/app1/bench_37,,5,168.5,,5,179.6,,5,292.8,,4,389.6
QF_BV/sage/app1/bench_47,,5,63.2,,5,80.0,,5,99.7,,5,126.9
QF_BV/sage/app1/bench_52,,6,62.7,,5,83.1,,5,103.5,,6,93.8
QF_BV/sage/app1/bench_53,,5,62.7,,5,73.9,,5,105.0,,5,134.6
QF_BV/sage/app1/bench_54,,5,42.1,,5,83.5,,6,124.4,,5,181.2
QF_BV/sage/app1/bench_55,,6,64.0,,6,118.3,,5,128.8,,6,132.2
QF_BV/sage/app1/bench_60,,6,84.9,,5,55.0,,5,83.6,,5,137.1
QF_BV/sage/app1/bench_61,,6,72.4,,5,79.7,,5,107.0,,5,119.7
QF_BV/sage/app1/bench_62,,5,42.2,,5,74.8,,5,99.8,,5,126.3
QF_BV/sage/app1/bench_63,,6,63.7,,6,49.2,,5,108.9,,6,283.1
QF_BV/sage/app1/bench_66,,6,77.0,,5,61.0,,5,107.2,,6,159.5
QF_BV/sage/app1/bench_69,,6,55.4,,6,87.7,,5,83.9,,5,119.2
QF_BV/sage/app1/bench_99,,5,58.2,,5,52.2,,5,89.9,,5,114.9
QF_BV/sage/app1/bench_134,,6,50.4,,6,50.0,,6,115.2,,6,176.3
QF_BV/sage/app1/bench_169,,5,48.4,,6,47.1,,6,99.4,,5,114.4
QF_BV/sage/app1/bench_174,,6,43.5,,5,41.8,,6,62.1,,5,78.6
QF_BV/sage/app1/bench_175,,6,66.4,,5,62.7,,5,121.1,,5,83.2
QF_BV/sage/app1/bench_176,,6,65.4,,6,77.8,,5,89.3,,6,82.5
QF_BV/sage/app1/bench_177,,6,70.3,,5,84.3,,6,118.9,,5,75.2
QF_BV/sage/app1/bench_181,,5,168.5,,4,185.9,,4,264.9,,5,381.1
QF_BV/sage/app1/bench_182,,6,93.5,,6,84.2,,6,204.5,,6,145.2
QF_BV/sage/app1/bench_183,,6,76.7,,5,71.6,,5,101.4,,5,193.0
QF_BV/sage/app1/bench_184,,6,43.4,,6,79.1,,5,60.6,,6,83.4
QF_BV/sage/app1/bench_185,,5,58.1,,6,84.2,,6,196.7,,6,100.1
QF_BV/sage/app1/bench_188,,6,66.4,,6,52.1,,6,109.7,,6,90.5
QF_BV/sage/app1/bench_191,,6,61.3,,6,97.4,,6,132.8,,5,65.0
QF_BV/sage/app1/bench_201,,6,80.5,,6,89.1,,6,110.7,,6,93.2
QF_BV/sage/app1/bench_268,,6,59.0,,6,74.4,,5,101.3,,5,118.2
QF_BV/sage/app1/bench_310,,6,76.0,,6,92.3,,6,128.4,,6,179.9
QF_BV/sage/app1/bench_313,,6,79.9,,6,94.6,,6,190.1,,6,162.0
QF_BV/sage/app1/bench_329,,6,61.1,,6,93.7,,6,121.3,,6,136.0
QF_BV/sage/app1/bench_333,,6,69.1,,6,87.0,,6,101.3,,6,136.9
QF_BV/sage/app1/bench_334,,6,84.8,,6,91.0,,6,108.8,,6,148.3
QF_BV/sage/app1/bench_335,,6,95.6,,6,83.2,,6,93.3,,6,137.2
QF_BV/sage/app1/bench_338,,6,83.1,,6,53.3,,5,95.3,,6,138.9
QF_BV/sage/app1/bench_342,,6,82.1,,6,128.3,,6,162.1,,6,91.0
QF_BV/sage/app1/bench_343,,6,70.8,,6,96.9,,6,103.8,,6,91.4
QF_BV/sage/app1/bench_344,,6,78.4,,6,81.6,,6,108.0,,6,144.3
QF_BV/sage/app1/bench_345,,6,77.4,,6,83.3,,6,126.8,,6,265.2
QF_BV/sage/app1/bench_349,,6,65.2,,6,89.7,,6,118.5,,6,155.2
QF_BV/sage/app1/bench_352,,6,115.6,,6,81.5,,6,99.1,,6,137.2
QF_BV/sage/app1/bench_356,,6,102.9,,6,104.6,,6,86.0,,6,137.7
QF_BV/sage/app1/bench_372,,6,75.9,,6,85.4,,6,103.0,,6,134.4
QF_BV/sage/app1/bench_407,,6,75.0,,6,103.5,,6,202.2,,6,125.6
QF_BV/sage/app1/bench_411,,6,62.0,,6,76.3,,6,121.3,,6,130.0
QF_BV/sage/app1/bench_412,,6,109.8,,6,55.2,,6,114.0,,6,139.2
QF_BV/sage/app1/bench_413,,6,46.3,,6,58.3,,6,111.3,,6,106.6
QF_BV/sage/app1/bench_415,,7,93.4,,6,70.5,,6,113.5,,6,81.7
QF_BV/sage/app1/bench_419,,6,71.9,,6,76.5,,6,121.6,,6,128.4
QF_BV/sage/app1/bench_420,,6,73.9,,6,75.3,,6,111.5,,6,133.4
QF_BV/sage/app1/bench_421,,6,72.8,,6,96.3,,6,110.0,,6,144.6
QF_BV/sage/app1/bench_422,,6,63.9,,6,74.8,,6,223.5,,6,77.0
QF_BV/sage/app1/bench_426,,6,52.9,,6,77.3,,6,69.7,,6,73.8
QF_BV/sage/app1/bench_429,,6,48.7,,6,109.8,,6,122.2,,6,123.6
QF_BV/sage/app1/bench_443,,6,45.3,,6,80.2,,6,102.7,,6,140.7
QF_BV/sage/app1/bench_511,,7,51.4,,7,83.7,,6,78.3,,7,146.7
QF_BV/sage/app1/bench_512,,7,67.0,,6,75.5,,6,63.2,,6,137.1
QF_BV/sage/app1/bench_517,,7,59.3,,7,95.3,,7,60.1,,6,135.9
QF_BV/sage/app1/bench_531,,8,62.0,,8,92.6,,6,51.7,,7,133.0
QF_BV/sage/app1/bench_535,,6,52.2,,6,76.4,,6,74.4,,6,132.7
QF_BV/sage/app1/bench_537,,6,53.2,,6,72.0,,6,71.5,,6,117.0
QF_BV/sage/app1/bench_539,,8,65.5,,7,81.3,,7,87.3,,7,138.1
QF_BV/sage/app1/bench_542,,9,68.0,,8,80.9,,7,58.7,,6,104.5
QF_BV/sage/app1/bench_545,,7,48.7,,7,78.1,,6,57.6,,6,114.8
QF_BV/sage/app1/bench_552,,8,78.7,,7,69.2,,7,108.8,,7,144.7
QF_BV/sage/app1/bench_556,,7,52.7,,6,69.8,,6,122.3,,6,136.0
QF_BV/sage/app1/bench_562,,7,69.6,,6,64.8,,6,96.1,,6,130.6
QF_BV/sage/app1/bench_564,,6,37.5,,6,133.9,,6,99.5,,6,148.5
QF_BV/sage/app1/bench_567,,6,56.9,,6,68.0,,6,170.0,,6,143.7
QF_BV/sage/app1/bench_571,,6,103.5,,6,46.8,,6,105.5,,6,71.1
QF_BV/sage/app1/bench_602,,6,62.9,,6,99.0,,6,113.4,,6,145.2
QF_BV/sage/app1/bench_611,,6,59.5,,6,85.8,,6,137.3,,6,140.2
QF_BV/sage/app1/bench_620,,6,81.0,,6,98.4,,6,131.2,,6,87.2
QF_BV/sage/app1/bench_629,,6,120.2,,6,105.6,,6,249.8,,6,133.6
QF_BV/sage/app1/bench_638,,6,104.7,,6,51.0,,6,63.1,,6,101.2
QF_BV/sage/app1/bench_646,,6,70.3,,6,53.3,,6,109.5,,6,92.3
QF_BV/sage/app1/bench_655,,7,76.1,,6,74.8,,6,102.9,,6,113.6
QF_BV/sage/app1/bench_664,,6,66.3,,6,81.5,,6,108.7,,6,129.9
QF_BV/sage/app1/bench_674,,6,53.3,,6,73.9,,6,91.7,,6,129.2
QF_BV/sage/app1/bench_681,,5,328.1,,5,258.5,,5,311.7,,4,206.3
QF_BV/sage/app1/bench_683,,7,71.4,,6,95.4,,6,172.8,,6,112.4
QF_BV/sage/app1/bench_691,,6,48.3,,6,45.4,,6,92.7,,6,118.5
QF_BV/sage/app1/bench_692,,5,180.2,,5,228.9,,5,599.5,,5,411.9
QF_BV/sage/app1/bench_699,,6,40.1,,6,91.7,,6,60.3,,6,130.2
QF_BV/sage/app1/bench_707,,7,54.5,,6,67.7,,6,98.4,,6,119.7
QF_BV/sage/app1/bench_715,,7,69.3,,6,63.2,,6,81.1,,6,76.2
QF_BV/sage/app1/bench_722,,6,47.7,,6,53.6,,6,83.6,,6,112.7
QF_BV/sage/app1/bench_730,,6,56.5,,6,48.4,,6,77.8,,6,69.6
QF_BV/sage/app1/bench_738,,7,93.2,,6,62.5,,6,80.0,,6,111.0
QF_BV/sage/app1/bench_745,,7,46.1,,7,40.4,,6,80.6,,6,98.5
QF_BV/sage/app1/bench_753,,7,46.6,,7,54.6,,6,47.0,,6,98.5
QF_BV/sage/app1/bench_761,,7,38.8,,6,42.8,,6,122.3,,6,97.6
QF_BV/sage/app1/bench_836,,5,248.6,,5,264.5,,5,483.0,,5,269.3
QF_BV/sage/app1/bench_847,,5,185.1,,5,225.4,,5,297.9,,5,272.8
QF_BV/sage/app1/bench_858,,5,248.5,,5,175.4,,5,410.1,,5,882.2
QF_BV/sage/app1/bench_869,,5,184.7,,5,271.9,,5,338.7,,5,384.0
QF_BV/sage/app1/bench_880,,5,132.6,,5,238.1,,4,299.4,,5,258.1
QF_BV/sage/app1/bench_914,,5,174.4,,5,137.0,,5,298.1,,5,224.6
QF_BV/sage/app1/bench_926,,7,27.4,,7,68.0,,6,110.0,,6,91.9
QF_BV/sage/app1/bench_947,,5,291.7,,5,160.7,,5,295.9,,4,349.6
QF_BV/sage/app1/bench_983,,7,47.7,,7,39.0,,7,50.9,,6,96.0
QF_BV/sage/app1/bench_985,,8,49.5,,7,48.1,,6,66.2,,7,116.3
QF_BV/sage/app1/bench_987,,7,78.3,,6,52.5,,6,72.0,,6,102.1
QF_BV/sage/app1/bench_989,,7,45.8,,6,48.9,,6,72.3,,6,144.7
QF_BV/sage/app1/bench_992,,7,45.6,,6,43.6,,6,61.2,,6,95.5
QF_BV/sage/app1/bench_994,,7,42.7,,6,26.2,,6,44.4,,6,61.7
QF_BV/sage/app1/bench_996,,6,39.5,,6,48.2,,6,41.7,,6,96.3
QF_BV/sage/app1/bench_998,,6,58.9,,6,45.2,,6,104.0,,6,97.6
QF_BV/sage/app1/bench_1000,,6,25.6,,6,36.9,,6,50.8,,6,86.7
