Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.3,,1,0.0
QF_BV/bench_ab/a403test0043,,3,0.0,,61,0.6,,3,0.0,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,42,0.5,,221,4.9,,37,0.4,,48,0.2
QF_BV/bench_ab/a651test0090,,24,0.1,,39,0.4,,35,0.3,,34,0.4
QF_BV/bench_ab/a655test0003,,6,0.0,,39,0.4,,21,0.1,,37,0.1
QF_BV/bench_ab/a659test0071,,23,0.2,,39,0.4,,55,0.3,,22,0.2
QF_BV/bench_ab/a668test0098,,2,0.0,,19,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,3,4.9,,3,4.6,,4,2.6,,3,1.2
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,5.3,,3,5.6,,4,2.2,,3,1.7
QF_BV/bmc-bv/ex19,,4,68.0,,134,776.3,,50,770.6,,4,132.2
QF_BV/bmc-bv/fermat,,4,9.0,,5,0.4,,5,11.4,,4,9.4
QF_BV/bmc-bv/graycode,,1,2.4,,1,0.8,,1,2.3,,1,1.6
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,1,6.3,,1,3.6,,1,6.1,,1,5.7
QF_BV/bmc-bv/queens,,1,3.2,,1,1.9,,1,4.5,,1,2.1
QF_BV/bmc-bv/sudoku,,1,44.0,,1,13.7,,1,18.4,,1,26.1
QF_BV/brummayerbiere2/smulov4bw0256,,3,1030.2,,- -,- -,,3,956.5,,3,864.8
QF_BV/brummayerbiere2/smulov4bw0064,,3,8.2,,- -,- -,,3,6.0,,3,17.5
QF_BV/brummayerbiere2/smulov4bw0128,,3,97.9,,- -,- -,,3,119.0,,3,78.6
QF_BV/brummayerbiere2/smulov4bw0032,,3,1.7,,7,0.5,,3,2.2,,3,2.5
QF_BV/gulwani-pldi08/fig1d.phx,,5,133.5,,8,59.5,,6,224.0,,6,90.4
QF_BV/gulwani-pldi08/fig5.phx,,5,53.5,,5,28.9,,6,35.0,,5,46.5
QF_BV/gulwani-pldi08/fig6.phx,,6,11.3,,7,4.8,,19,49.9,,6,13.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,4,53.1,,6,17.0,,6,31.6,,4,32.8
QF_BV/RWS/Example_1.txt,,9,24.7,,9,14.9,,11,16.9,,10,28.5
QF_BV/RWS/Example_2.txt,,8,28.9,,8,20.3,,9,23.6,,8,20.1
QF_BV/RWS/Example_4.txt,,6,23.2,,7,20.5,,7,26.4,,6,11.0
QF_BV/RWS/Example_5.txt,,5,19.3,,6,13.0,,5,13.9,,5,13.9
QF_BV/RWS/Example_6.txt,,5,7.8,,5,16.5,,5,6.8,,5,10.0
QF_BV/RWS/Example_14.txt,,9,51.9,,10,34.5,,11,40.2,,10,40.9
QF_BV/sage/app1/bench_1141,,3,5.1,,9,8.1,,3,4.9,,3,4.2
