Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,61,0.8,,3,0.0,,4,0.6
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,19,0.2,,221,3.4,,42,0.5,,34,0.2
QF_BV/bench_ab/a651test0090,,18,0.1,,39,0.2,,67,0.3,,38,0.1
QF_BV/bench_ab/a655test0003,,30,0.2,,39,0.4,,43,0.1,,50,0.6
QF_BV/bench_ab/a659test0071,,22,0.2,,39,0.2,,16,0.1,,28,0.1
QF_BV/bench_ab/a668test0098,,2,0.3,,19,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,3,3.8,,3,7.5,,4,2.0,,3,1.3
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,6.4,,3,3.2,,6,2.1,,3,1.4
QF_BV/bmc-bv/ex19,,4,65.9,,134,2017.2,,5,100.6,,4,75.1
QF_BV/bmc-bv/fermat,,4,12.7,,5,0.5,,5,12.5,,4,8.7
QF_BV/bmc-bv/graycode,,1,1.5,,1,0.3,,1,1.9,,1,1.6
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,1,6.5,,1,6.3,,1,5.8,,1,5.6
QF_BV/bmc-bv/queens,,1,3.6,,1,1.1,,1,2.3,,1,2.6
QF_BV/bmc-bv/sudoku,,1,45.9,,1,44.6,,1,31.0,,1,25.2
QF_BV/brummayerbiere2/smulov4bw0256,,3,1153.2,,- -,- -,,- -,- -,,3,1074.6
QF_BV/brummayerbiere2/smulov4bw0064,,3,5.4,,- -,- -,,3,13.2,,3,7.9
QF_BV/brummayerbiere2/smulov4bw0128,,3,85.0,,- -,- -,,3,39.5,,3,92.1
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.1,,7,0.3,,3,2.2,,3,2.9
QF_BV/gulwani-pldi08/fig1d.phx,,5,105.5,,8,68.1,,6,113.9,,6,96.4
QF_BV/gulwani-pldi08/fig5.phx,,4,41.2,,5,27.0,,5,55.7,,5,41.5
QF_BV/gulwani-pldi08/fig6.phx,,6,17.2,,7,5.8,,12,33.1,,7,13.6
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,4,40.1,,6,21.4,,5,30.2,,5,38.3
QF_BV/RWS/Example_1.txt,,9,35.8,,9,23.6,,9,20.8,,10,17.9
QF_BV/RWS/Example_2.txt,,8,27.8,,8,55.0,,8,21.4,,8,19.6
QF_BV/RWS/Example_4.txt,,6,23.0,,7,19.3,,7,18.6,,6,17.2
QF_BV/RWS/Example_5.txt,,5,13.4,,6,16.2,,6,12.6,,5,14.6
QF_BV/RWS/Example_6.txt,,4,7.4,,5,8.3,,5,6.3,,5,7.2
QF_BV/RWS/Example_14.txt,,10,53.1,,10,41.3,,11,59.1,,10,41.3
QF_BV/sage/app1/bench_1141,,3,7.2,,9,10.7,,3,4.9,,3,4.7
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,3,4.8,,4,1.9,,3,5.9,,3,4.9
QF_BV/sage/app1/bench_1288,,2,3.8,,3,3.6,,3,5.0,,3,4.7
QF_BV/sage/app1/bench_1339,,2,2.9,,2,0.8,,3,3.3,,2,2.1
QF_BV/sage/app1/bench_1346,,2,3.7,,3,1.4,,3,3.0,,3,2.9
QF_BV/sage/app1/bench_1710,,3,0.1,,- -,- -,,5,0.1,,9,0.1
QF_BV/sage/app1/bench_1738,,3,0.0,,- -,- -,,3,0.0,,64,0.9
QF_BV/sage/app1/bench_1742,,2,0.1,,621,87.4,,3,0.3,,3,0.1
QF_BV/sage/app1/bench_1768,,2,0.1,,712,50.2,,2,0.4,,3,0.1
QF_BV/sage/app12/bench_228,,3,0.0,,- -,- -,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_363,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/sage/app12/bench_446,,2,0.1,,- -,- -,,3,0.1,,2,0.1
QF_BV/sage/app12/bench_451,,3,0.0,,- -,- -,,3,0.0,,3,0.0
QF_BV/sage/app12/bench_953,,2,0.1,,12,0.2,,2,0.4,,2,0.0
QF_BV/sage/app12/bench_1051,,3,8.1,,3,6.7,,3,10.1,,3,8.3
QF_BV/sage/app12/bench_1183,,3,11.4,,3,7.3,,3,18.6,,3,9.4
QF_BV/sage/app12/bench_1353,,3,1.5,,- -,- -,,3,0.2,,2,0.8
QF_BV/sage/app12/bench_2353,,10,64.0,,- -,- -,,5,2.1,,2,3.2
QF_BV/sage/app12/bench_2428,,4,3.5,,- -,- -,,6,1.1,,2,1.3
QF_BV/sage/app12/bench_2451,,4,3.4,,- -,- -,,5,0.8,,3,1.4
QF_BV/sage/app12/bench_3681,,2,0.0,,- -,- -,,3,0.0,,2,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,75,1.0,,- -,- -,,33,0.3,,- -,- -
QF_BV/sage/app12/bench_3957,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,- -,- -,,3,0.0,,2,0.0
QF_BV/sage/app12/bench_4177,,2,0.0,,- -,- -,,2,0.0,,3,0.0
QF_BV/sage/app12/bench_4845,,2,0.0,,15,0.1,,2,0.0,,3,0.1
