Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,21,0.1,,3,0.6,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,24,0.3,,221,5.5,,43,0.3,,39,0.3
QF_BV/bench_ab/a651test0090,,11,0.1,,39,0.4,,34,0.2,,36,0.2
QF_BV/bench_ab/a655test0003,,17,0.1,,39,0.3,,47,0.3,,40,0.2
QF_BV/bench_ab/a659test0071,,11,0.1,,39,0.4,,34,0.3,,22,0.1
QF_BV/bench_ab/a668test0098,,2,0.0,,19,0.1,,3,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,2.5,,2,3.7,,4,1.0,,2,1.2
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,3.4,,3,5.8,,4,2.7,,2,1.4
QF_BV/bmc-bv/ex19,,3,45.1,,134,1050.5,,12,288.2,,3,121.2
QF_BV/bmc-bv/fermat,,3,6.4,,4,0.7,,4,7.4,,3,8.5
QF_BV/bmc-bv/graycode,,1,1.6,,1,0.5,,1,1.7,,1,1.7
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.2,,1,0.1
QF_BV/bmc-bv/magic,,1,4.1,,1,4.1,,1,6.1,,1,4.7
QF_BV/bmc-bv/queens,,1,3.4,,1,0.9,,1,3.1,,1,2.2
QF_BV/bmc-bv/sudoku,,1,59.2,,1,30.5,,1,60.3,,1,29.2
QF_BV/brummayerbiere2/smulov4bw0256,,2,873.0,,- -,- -,,2,982.8,,2,755.2
QF_BV/brummayerbiere2/smulov4bw0064,,2,5.7,,10,2.4,,2,4.9,,2,5.4
QF_BV/brummayerbiere2/smulov4bw0128,,2,61.7,,- -,- -,,2,75.5,,2,63.5
QF_BV/brummayerbiere2/smulov4bw0032,,2,1.2,,2,0.4,,2,1.1,,2,1.7
QF_BV/gulwani-pldi08/fig1d.phx,,4,111.8,,5,118.0,,5,97.7,,4,71.5
QF_BV/gulwani-pldi08/fig5.phx,,3,48.2,,4,18.9,,4,75.1,,4,61.2
QF_BV/gulwani-pldi08/fig6.phx,,4,11.9,,5,2.8,,5,13.5,,4,9.5
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,3,42.7,,4,35.1,,3,38.3,,3,16.9
QF_BV/RWS/Example_1.txt,,5,15.9,,6,31.1,,5,13.1,,6,13.7
QF_BV/RWS/Example_2.txt,,5,12.8,,5,17.4,,5,12.6,,5,12.6
QF_BV/RWS/Example_4.txt,,4,11.8,,4,11.9,,4,12.8,,4,12.3
QF_BV/RWS/Example_5.txt,,4,13.7,,4,31.9,,4,12.0,,4,12.6
QF_BV/RWS/Example_6.txt,,3,6.3,,3,4.2,,4,7.4,,4,6.3
QF_BV/RWS/Example_14.txt,,5,39.0,,6,60.5,,6,25.4,,6,37.1
QF_BV/sage/app1/bench_1141,,2,3.7,,4,4.9,,2,3.2,,2,2.4
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,2,3.7,,2,1.7,,2,4.3,,2,3.5
QF_BV/sage/app1/bench_1288,,2,4.9,,2,0.9,,2,5.1,,2,3.4
QF_BV/sage/app1/bench_1339,,2,2.9,,2,1.1,,2,2.3,,2,2.1
QF_BV/sage/app1/bench_1346,,2,2.6,,2,0.8,,2,2.4,,2,2.4
QF_BV/sage/app1/bench_1710,,3,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app1/bench_1738,,4,0.1,,119,0.8,,4,0.1,,25,0.4
QF_BV/sage/app1/bench_1742,,2,0.1,,584,29.3,,2,0.2,,2,0.1
QF_BV/sage/app1/bench_1768,,2,0.1,,218,4.8,,2,0.1,,2,0.0
QF_BV/sage/app12/bench_228,,2,0.0,,- -,- -,,3,0.1,,2,0.0
QF_BV/sage/app12/bench_363,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/sage/app12/bench_446,,2,0.1,,- -,- -,,3,0.1,,2,0.1
QF_BV/sage/app12/bench_451,,2,1.2,,- -,- -,,3,0.0,,2,0.0
QF_BV/sage/app12/bench_953,,2,0.1,,2,0.4,,2,0.0,,2,0.1
QF_BV/sage/app12/bench_1051,,2,7.9,,2,5.5,,2,6.5,,2,5.9
QF_BV/sage/app12/bench_1183,,2,13.6,,2,6.8,,2,8.9,,2,4.8
QF_BV/sage/app12/bench_1353,,2,1.0,,- -,- -,,2,1.3,,2,0.5
QF_BV/sage/app12/bench_2353,,3,22.2,,- -,- -,,2,1.3,,2,3.3
QF_BV/sage/app12/bench_2428,,2,1.5,,- -,- -,,2,0.4,,2,1.2
QF_BV/sage/app12/bench_2451,,2,1.5,,- -,- -,,2,0.3,,2,1.2
QF_BV/sage/app12/bench_3681,,2,0.0,,253,1.8,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,490,7.5,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,8,0.1,,383,22.6,,7,0.0,,- -,- -
QF_BV/sage/app12/bench_3957,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4177,,2,0.1,,779,29.2,,3,0.0,,2,0.0
QF_BV/sage/app12/bench_4845,,2,0.0,,6,0.1,,2,0.0,,2,0.0
