Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,12,72.1,,12,46.2,,11,277.2,,11,97.5
QF_BV/RWS/Example_8.txt,,8,26.9,,8,24.8,,7,38.0,,7,61.2
QF_BV/RWS/Example_9.txt,,9,292.8,,9,374.4,,9,310.8,,9,640.3
QF_BV/RWS/Example_10.txt,,13,185.7,,13,244.7,,13,430.9,,12,538.0
QF_BV/RWS/Example_11.txt,,24,2759.7,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,8,540.1,,8,670.8,,8,2236.2,,8,2992.1
QF_BV/RWS/Example_13.txt,,10,97.8,,10,108.3,,10,211.3,,9,291.2
QF_BV/RWS/Example_16.txt,,20,89.2,,19,230.5,,19,378.9,,18,532.1
QF_BV/RWS/Example_17.txt,,9,71.8,,9,79.9,,8,232.3,,8,361.3
QF_BV/sage/app1/bench_4,,3,125.5,,3,157.9,,3,234.0,,3,262.4
QF_BV/sage/app1/bench_29,,3,61.6,,3,59.4,,3,138.6,,3,107.5
QF_BV/sage/app1/bench_32,,3,57.6,,3,67.4,,3,48.3,,3,102.3
QF_BV/sage/app1/bench_37,,3,113.3,,3,136.2,,3,207.2,,3,482.9
QF_BV/sage/app1/bench_47,,3,54.7,,3,65.1,,3,75.7,,3,47.4
QF_BV/sage/app1/bench_52,,3,38.6,,3,41.3,,3,40.5,,3,88.1
QF_BV/sage/app1/bench_53,,3,46.1,,3,57.0,,3,75.3,,3,49.6
QF_BV/sage/app1/bench_54,,3,42.5,,3,53.2,,3,81.0,,3,87.3
QF_BV/sage/app1/bench_55,,3,38.4,,3,34.6,,3,89.4,,3,60.9
QF_BV/sage/app1/bench_60,,3,52.6,,3,51.4,,3,75.3,,3,81.8
QF_BV/sage/app1/bench_61,,3,41.2,,3,55.5,,3,142.0,,3,84.5
QF_BV/sage/app1/bench_62,,3,51.7,,3,34.1,,3,88.2,,3,56.2
QF_BV/sage/app1/bench_63,,3,42.0,,3,52.4,,3,68.5,,3,88.3
QF_BV/sage/app1/bench_66,,4,48.0,,3,33.0,,3,60.0,,3,51.6
QF_BV/sage/app1/bench_69,,4,37.0,,3,44.6,,3,60.4,,3,87.4
QF_BV/sage/app1/bench_99,,3,39.0,,3,57.3,,3,56.4,,3,109.4
QF_BV/sage/app1/bench_134,,4,44.6,,3,41.0,,3,61.0,,3,82.1
QF_BV/sage/app1/bench_169,,3,55.6,,3,51.0,,3,59.9,,3,74.9
QF_BV/sage/app1/bench_174,,4,53.0,,3,44.6,,3,104.7,,3,70.2
QF_BV/sage/app1/bench_175,,3,38.4,,3,33.4,,3,78.2,,3,76.2
QF_BV/sage/app1/bench_176,,3,63.3,,3,42.2,,3,105.1,,3,76.4
QF_BV/sage/app1/bench_177,,3,79.0,,4,116.9,,3,65.1,,3,84.4
QF_BV/sage/app1/bench_181,,3,113.8,,3,148.5,,3,223.3,,3,322.3
QF_BV/sage/app1/bench_182,,4,33.4,,4,88.2,,3,65.2,,3,73.1
QF_BV/sage/app1/bench_183,,3,42.6,,3,53.1,,3,37.0,,3,72.8
QF_BV/sage/app1/bench_184,,3,70.8,,3,47.8,,3,51.4,,3,48.2
QF_BV/sage/app1/bench_185,,3,33.6,,3,48.9,,3,74.0,,3,74.7
QF_BV/sage/app1/bench_188,,4,43.6,,4,65.0,,3,66.5,,4,105.3
QF_BV/sage/app1/bench_191,,4,34.5,,3,36.4,,3,38.8,,4,97.0
QF_BV/sage/app1/bench_201,,4,47.3,,4,41.6,,3,62.0,,3,84.1
QF_BV/sage/app1/bench_268,,4,55.1,,3,44.4,,3,51.0,,3,74.4
QF_BV/sage/app1/bench_310,,4,65.1,,4,70.2,,3,67.4,,4,82.5
QF_BV/sage/app1/bench_313,,4,63.7,,3,54.8,,3,96.4,,4,107.0
QF_BV/sage/app1/bench_329,,4,47.2,,4,38.2,,3,55.0,,4,105.8
QF_BV/sage/app1/bench_333,,4,47.4,,4,65.0,,4,73.8,,4,152.4
QF_BV/sage/app1/bench_334,,4,83.7,,4,65.2,,4,80.0,,3,80.5
QF_BV/sage/app1/bench_335,,4,29.3,,4,48.8,,3,70.9,,4,178.7
QF_BV/sage/app1/bench_338,,3,50.2,,3,37.3,,4,87.8,,3,81.5
QF_BV/sage/app1/bench_342,,4,37.2,,4,45.4,,4,55.3,,4,104.3
QF_BV/sage/app1/bench_343,,4,69.4,,4,49.4,,4,79.0,,4,99.9
QF_BV/sage/app1/bench_344,,4,48.6,,4,43.1,,4,87.0,,4,104.4
QF_BV/sage/app1/bench_345,,4,32.5,,4,37.4,,3,64.4,,4,194.6
QF_BV/sage/app1/bench_349,,4,41.7,,4,83.1,,4,88.1,,4,61.8
QF_BV/sage/app1/bench_352,,4,52.9,,4,87.2,,3,64.4,,4,157.8
QF_BV/sage/app1/bench_356,,3,26.3,,4,44.2,,4,50.0,,3,73.0
QF_BV/sage/app1/bench_372,,4,55.6,,4,44.4,,3,97.6,,4,170.5
QF_BV/sage/app1/bench_407,,4,56.9,,4,57.3,,4,50.6,,4,102.4
QF_BV/sage/app1/bench_411,,4,46.3,,4,38.3,,4,74.7,,4,59.1
QF_BV/sage/app1/bench_412,,4,53.7,,4,42.1,,4,129.3,,4,57.5
QF_BV/sage/app1/bench_413,,4,42.5,,4,66.1,,4,73.1,,3,72.4
QF_BV/sage/app1/bench_415,,4,48.6,,4,57.4,,4,161.3,,4,57.3
QF_BV/sage/app1/bench_419,,4,33.2,,3,77.0,,4,82.5,,4,85.6
QF_BV/sage/app1/bench_420,,4,84.7,,4,75.6,,4,78.2,,4,95.1
QF_BV/sage/app1/bench_421,,4,56.1,,4,48.4,,4,42.8,,4,95.7
QF_BV/sage/app1/bench_422,,4,50.6,,4,64.1,,4,81.7,,4,100.7
QF_BV/sage/app1/bench_426,,4,37.9,,3,40.5,,4,68.7,,4,92.6
QF_BV/sage/app1/bench_429,,4,48.4,,4,56.7,,4,127.0,,4,91.3
QF_BV/sage/app1/bench_443,,4,54.3,,4,115.3,,4,114.5,,4,64.0
QF_BV/sage/app1/bench_511,,4,31.5,,4,49.3,,4,40.5,,4,89.1
QF_BV/sage/app1/bench_512,,4,42.4,,4,52.7,,4,36.6,,4,89.2
QF_BV/sage/app1/bench_517,,4,74.3,,4,57.0,,4,59.4,,4,94.0
QF_BV/sage/app1/bench_531,,4,36.4,,4,54.3,,4,38.8,,4,81.5
QF_BV/sage/app1/bench_535,,4,45.8,,4,53.1,,4,42.5,,4,84.9
QF_BV/sage/app1/bench_537,,4,30.2,,4,48.6,,4,54.6,,4,85.3
QF_BV/sage/app1/bench_539,,4,31.4,,4,53.8,,4,51.5,,4,98.8
QF_BV/sage/app1/bench_542,,4,41.7,,4,55.4,,4,53.9,,4,85.0
