Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,8,0.1,,208,5.1,,39,0.5,,27,0.2
QF_BV/bench_ab/a651test0090,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a655test0003,,2,0.0,,6,0.0,,2,0.0,,3,0.0
QF_BV/bench_ab/a659test0071,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,3,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,2.7,,2,3.7,,2,1.2,,2,1.1
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,3.4,,2,4.4,,2,1.4,,2,1.4
QF_BV/bmc-bv/ex19,,2,73.6,,17,181.9,,4,59.4,,3,123.2
QF_BV/bmc-bv/fermat,,3,7.8,,3,0.6,,3,8.1,,3,8.6
QF_BV/bmc-bv/graycode,,1,1.6,,1,0.5,,1,1.7,,1,1.7
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.2,,1,0.1
QF_BV/bmc-bv/magic,,1,4.1,,1,4.1,,1,6.1,,1,4.7
QF_BV/bmc-bv/queens,,1,3.4,,1,0.9,,1,3.1,,1,2.2
QF_BV/bmc-bv/sudoku,,1,59.2,,1,30.5,,1,60.3,,1,29.2
QF_BV/brummayerbiere2/smulov4bw0256,,1,646.1,,1,11.1,,1,730.2,,1,531.4
QF_BV/brummayerbiere2/smulov4bw0064,,1,3.4,,1,0.4,,1,2.5,,1,3.0
QF_BV/brummayerbiere2/smulov4bw0128,,1,46.8,,1,1.3,,1,52.2,,1,48.6
QF_BV/brummayerbiere2/smulov4bw0032,,1,0.7,,1,0.3,,1,0.5,,1,0.9
QF_BV/gulwani-pldi08/fig1d.phx,,2,72.6,,2,76.1,,3,143.9,,2,48.4
QF_BV/gulwani-pldi08/fig5.phx,,2,28.8,,2,14.3,,2,45.8,,2,28.1
QF_BV/gulwani-pldi08/fig6.phx,,3,8.8,,3,2.0,,3,10.9,,3,7.5
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,2,31.8,,2,28.6,,2,53.7,,2,12.6
QF_BV/RWS/Example_1.txt,,3,10.5,,3,19.7,,3,10.0,,3,8.6
QF_BV/RWS/Example_2.txt,,3,13.2,,3,11.0,,3,9.8,,3,9.0
QF_BV/RWS/Example_4.txt,,2,6.9,,2,6.7,,2,7.6,,2,7.0
QF_BV/RWS/Example_5.txt,,2,8.3,,2,17.2,,2,7.0,,2,7.3
QF_BV/RWS/Example_6.txt,,2,3.3,,2,3.1,,2,3.9,,2,3.5
QF_BV/RWS/Example_14.txt,,3,25.2,,3,30.9,,3,15.2,,3,23.3
QF_BV/sage/app1/bench_1141,,2,4.8,,2,2.7,,2,3.5,,2,2.8
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,1,2.0,,1,0.9,,1,2.1,,1,1.6
QF_BV/sage/app1/bench_1288,,1,2.6,,1,0.5,,1,3.1,,1,1.9
QF_BV/sage/app1/bench_1339,,1,1.6,,1,0.6,,1,1.2,,1,1.1
QF_BV/sage/app1/bench_1346,,1,1.4,,1,0.4,,1,1.3,,1,1.4
QF_BV/sage/app1/bench_1710,,2,0.1,,221,14.2,,3,0.1,,2,0.0
QF_BV/sage/app1/bench_1738,,3,0.0,,21,0.1,,3,0.0,,4,0.1
QF_BV/sage/app1/bench_1742,,2,0.1,,2,0.1,,2,0.0,,2,0.1
QF_BV/sage/app1/bench_1768,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/sage/app12/bench_228,,2,0.1,,- -,- -,,2,0.1,,2,0.0
QF_BV/sage/app12/bench_363,,1,0.1,,1,0.1,,1,0.1,,1,0.1
QF_BV/sage/app12/bench_446,,2,0.1,,10,0.2,,2,0.1,,2,0.1
QF_BV/sage/app12/bench_451,,2,1.2,,77,0.5,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_953,,1,0.1,,1,0.4,,1,0.0,,1,0.0
QF_BV/sage/app12/bench_1051,,1,4.8,,1,3.6,,1,3.9,,1,3.6
QF_BV/sage/app12/bench_1183,,1,8.8,,1,4.3,,1,5.9,,1,3.1
QF_BV/sage/app12/bench_1353,,1,0.6,,1,0.7,,1,1.1,,1,0.3
QF_BV/sage/app12/bench_2353,,2,12.1,,- -,- -,,2,0.6,,2,3.3
QF_BV/sage/app12/bench_2428,,1,1.2,,1,1.1,,1,0.2,,1,0.7
QF_BV/sage/app12/bench_2451,,1,0.7,,1,0.8,,1,0.2,,1,0.8
QF_BV/sage/app12/bench_3681,,2,0.0,,9,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,12,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,6,0.1,,16,0.6,,5,0.1,,- -,- -
QF_BV/sage/app12/bench_3957,,2,0.0,,50,0.3,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,50,0.2,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4177,,2,0.1,,9,0.1,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4845,,1,0.0,,1,0.0,,1,0.0,,1,0.0
