Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/bench_ab/a403test0043,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.0
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.2,,1,0.1
QF_BV/bench_ab/a639test0017,,2,0.1,,208,3.2,,21,0.2,,28,0.3
QF_BV/bench_ab/a651test0090,,1,0.0,,1,0.1,,1,0.0,,1,0.0
QF_BV/bench_ab/a655test0003,,3,0.0,,6,0.1,,3,0.0,,3,0.0
QF_BV/bench_ab/a659test0071,,2,0.0,,2,0.6,,2,0.0,,2,0.0
QF_BV/bench_ab/a668test0098,,2,0.0,,3,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,3.4,,2,2.3,,2,1.5,,2,1.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,4.7,,2,4.4,,2,1.6,,2,1.2
QF_BV/bmc-bv/ex19,,2,113.6,,17,126.3,,3,50.5,,2,38.6
QF_BV/bmc-bv/fermat,,3,7.6,,3,1.4,,3,7.1,,3,6.7
QF_BV/bmc-bv/graycode,,1,1.8,,1,0.7,,1,1.4,,1,1.3
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,1,8.1,,1,4.0,,1,3.3,,1,5.1
QF_BV/bmc-bv/queens,,1,4.2,,1,1.2,,1,4.3,,1,2.8
QF_BV/bmc-bv/sudoku,,1,46.2,,1,21.2,,1,54.6,,1,28.1
QF_BV/brummayerbiere2/smulov4bw0256,,1,460.1,,1,4.0,,1,1036.2,,1,466.9
QF_BV/brummayerbiere2/smulov4bw0064,,1,2.7,,1,0.4,,1,4.0,,1,2.9
QF_BV/brummayerbiere2/smulov4bw0128,,1,39.6,,1,0.9,,1,36.1,,1,42.5
QF_BV/brummayerbiere2/smulov4bw0032,,1,0.9,,1,0.1,,1,0.8,,1,0.8
QF_BV/gulwani-pldi08/fig1d.phx,,2,76.8,,2,27.3,,3,73.7,,2,53.8
QF_BV/gulwani-pldi08/fig5.phx,,2,28.7,,2,14.6,,2,30.4,,2,20.2
QF_BV/gulwani-pldi08/fig6.phx,,3,7.8,,3,5.9,,4,11.7,,3,7.8
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,2,25.9,,2,12.2,,2,42.1,,2,20.8
QF_BV/RWS/Example_1.txt,,3,13.5,,3,8.9,,3,8.8,,3,8.2
QF_BV/RWS/Example_2.txt,,3,8.7,,3,11.4,,3,9.7,,3,7.2
QF_BV/RWS/Example_4.txt,,2,8.2,,2,7.0,,2,7.3,,2,6.7
QF_BV/RWS/Example_5.txt,,2,9.2,,2,7.8,,2,7.5,,2,6.9
QF_BV/RWS/Example_6.txt,,2,3.4,,2,3.6,,2,3.6,,2,2.9
QF_BV/RWS/Example_14.txt,,3,23.4,,3,14.8,,3,10.6,,3,17.7
QF_BV/sage/app1/bench_1141,,2,5.0,,2,1.5,,2,6.1,,2,3.0
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,1,1.9,,1,0.5,,1,1.7,,1,1.8
QF_BV/sage/app1/bench_1288,,1,1.3,,1,0.8,,1,1.2,,1,1.7
QF_BV/sage/app1/bench_1339,,1,1.7,,1,0.9,,1,1.6,,1,1.0
QF_BV/sage/app1/bench_1346,,1,1.6,,1,0.3,,1,1.7,,1,1.2
QF_BV/sage/app1/bench_1710,,2,0.1,,221,7.3,,2,0.0,,2,0.1
QF_BV/sage/app1/bench_1738,,3,0.0,,21,0.1,,2,0.0,,3,0.0
QF_BV/sage/app1/bench_1742,,2,0.1,,2,0.1,,2,0.2,,2,0.1
QF_BV/sage/app1/bench_1768,,1,0.8,,1,0.3,,1,0.5,,1,0.0
QF_BV/sage/app12/bench_228,,2,0.0,,- -,- -,,2,0.1,,2,0.0
QF_BV/sage/app12/bench_363,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/sage/app12/bench_446,,2,0.1,,10,0.3,,2,0.1,,2,0.1
QF_BV/sage/app12/bench_451,,2,0.0,,77,0.6,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_953,,1,0.0,,1,0.0,,1,0.4,,1,0.0
QF_BV/sage/app12/bench_1051,,1,4.5,,1,2.1,,1,4.3,,1,3.6
QF_BV/sage/app12/bench_1183,,1,7.0,,1,3.1,,1,6.5,,1,5.4
QF_BV/sage/app12/bench_1353,,1,0.9,,1,0.8,,1,0.1,,1,0.4
QF_BV/sage/app12/bench_2353,,2,15.6,,- -,- -,,2,1.4,,2,2.8
QF_BV/sage/app12/bench_2428,,1,1.0,,1,1.9,,1,0.3,,1,0.8
QF_BV/sage/app12/bench_2451,,1,0.7,,1,0.6,,1,0.2,,1,0.6
QF_BV/sage/app12/bench_3681,,2,0.0,,9,0.0,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,12,0.1,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,7,0.1,,16,0.7,,7,0.1,,- -,- -
QF_BV/sage/app12/bench_3957,,2,0.0,,50,0.3,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4059,,2,0.0,,50,0.2,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_4177,,2,0.0,,9,0.1,,2,0.0,,2,0.1
QF_BV/sage/app12/bench_4845,,1,0.0,,1,0.0,,1,0.0,,1,0.0
