Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,3,84.7,,3,32.9,,3,46.0,,3,24.1
QF_BV/RWS/Example_8.txt,,3,46.0,,3,25.7,,3,15.7,,3,14.4
QF_BV/RWS/Example_9.txt,,3,374.3,,3,142.9,,3,128.9,,3,104.2
QF_BV/RWS/Example_10.txt,,4,164.3,,4,88.6,,4,99.9,,4,89.8
QF_BV/RWS/Example_11.txt,,3,2234.2,,4,1414.4,,- -,- -,,4,1615.0
QF_BV/RWS/Example_12.txt,,3,541.0,,3,541.2,,3,764.0,,3,588.6
QF_BV/RWS/Example_13.txt,,3,74.7,,3,22.5,,3,47.8,,3,43.9
QF_BV/RWS/Example_16.txt,,3,57.8,,3,39.4,,3,85.2,,3,52.8
QF_BV/RWS/Example_17.txt,,3,67.5,,3,119.1,,3,69.2,,3,76.9
QF_BV/sage/app1/bench_4,,1,99.0,,1,108.3,,1,74.0,,1,42.2
QF_BV/sage/app1/bench_29,,1,41.4,,1,37.5,,1,69.1,,1,17.0
QF_BV/sage/app1/bench_32,,1,44.1,,1,13.2,,1,25.7,,1,15.3
QF_BV/sage/app1/bench_37,,1,102.2,,1,62.3,,1,71.8,,1,51.1
QF_BV/sage/app1/bench_47,,1,29.4,,1,21.9,,1,32.1,,1,12.9
QF_BV/sage/app1/bench_52,,1,30.5,,1,19.6,,1,23.2,,1,14.9
QF_BV/sage/app1/bench_53,,1,35.3,,1,22.2,,1,14.5,,1,13.9
QF_BV/sage/app1/bench_54,,1,35.4,,1,20.9,,1,40.6,,1,15.7
QF_BV/sage/app1/bench_55,,1,31.5,,1,26.1,,1,21.4,,1,18.4
QF_BV/sage/app1/bench_60,,1,28.0,,1,23.5,,1,20.6,,1,13.7
QF_BV/sage/app1/bench_61,,1,32.0,,1,19.4,,1,19.4,,1,13.0
QF_BV/sage/app1/bench_62,,1,33.3,,1,12.1,,1,42.0,,1,14.5
QF_BV/sage/app1/bench_63,,1,33.0,,1,24.8,,1,20.7,,1,17.6
QF_BV/sage/app1/bench_66,,1,34.3,,1,18.8,,1,21.5,,1,17.3
QF_BV/sage/app1/bench_69,,1,27.4,,1,19.3,,1,24.9,,1,12.6
QF_BV/sage/app1/bench_99,,1,18.4,,1,20.6,,1,18.3,,1,11.8
QF_BV/sage/app1/bench_134,,1,24.8,,1,19.8,,1,23.5,,1,13.1
QF_BV/sage/app1/bench_169,,1,27.4,,1,17.0,,1,21.7,,1,14.2
QF_BV/sage/app1/bench_174,,1,24.1,,1,13.6,,1,28.2,,1,14.6
QF_BV/sage/app1/bench_175,,1,37.3,,1,11.8,,1,21.4,,1,15.2
QF_BV/sage/app1/bench_176,,1,30.2,,1,8.8,,1,22.0,,1,11.9
QF_BV/sage/app1/bench_177,,1,33.1,,1,18.6,,1,22.1,,1,14.8
QF_BV/sage/app1/bench_181,,1,122.0,,1,69.8,,1,77.0,,1,47.7
QF_BV/sage/app1/bench_182,,1,30.3,,1,18.5,,1,21.1,,1,13.0
QF_BV/sage/app1/bench_183,,1,44.1,,1,20.8,,1,42.1,,1,11.4
QF_BV/sage/app1/bench_184,,1,23.8,,1,17.4,,1,18.4,,1,13.2
QF_BV/sage/app1/bench_185,,1,27.4,,1,20.3,,1,24.6,,1,11.9
QF_BV/sage/app1/bench_188,,1,46.6,,1,30.6,,1,23.5,,1,11.6
QF_BV/sage/app1/bench_191,,1,26.4,,1,26.9,,1,19.6,,1,10.8
QF_BV/sage/app1/bench_201,,1,26.8,,1,17.5,,1,14.4,,1,13.1
QF_BV/sage/app1/bench_268,,1,49.0,,1,18.5,,1,18.7,,1,11.8
