Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,7,0.0,,4,0.0,,3,0.0,,3,0.0
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.3
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,84,0.2,,175,0.8,,14,0.2,,21,0.5
QF_BV/bench_ab/a651test0090,,149,0.2,,104,0.5,,11,0.2,,10,0.1
QF_BV/bench_ab/a655test0003,,32,0.1,,19,0.0,,14,0.1,,12,0.3
QF_BV/bench_ab/a659test0071,,166,1.2,,163,0.3,,25,0.2,,11,0.1
QF_BV/bench_ab/a668test0098,,2,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,4.1,,4,4.7,,4,3.5,,3,5.2
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,3.0,,4,9.0,,3,5.1,,3,6.4
QF_BV/bmc-bv/ex19,,620,1652.0,,385,2374.3,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,0.7,,5,3.3,,5,10.6,,4,24.9
QF_BV/bmc-bv/graycode,,1,0.5,,1,0.7,,1,2.2,,1,3.0
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.3,,1,0.1
QF_BV/bmc-bv/magic,,1,2.5,,1,3.7,,1,6.6,,1,5.6
QF_BV/bmc-bv/queens,,2,1.4,,2,1.7,,2,5.5,,2,9.7
QF_BV/bmc-bv/sudoku,,1,18.5,,1,14.5,,1,24.3,,1,60.2
QF_BV/brummayerbiere2/smulov4bw0256,,4,243.8,,4,678.6,,4,1154.0,,4,2194.3
QF_BV/brummayerbiere2/smulov4bw0064,,4,0.8,,4,3.2,,4,11.4,,3,25.2
QF_BV/brummayerbiere2/smulov4bw0128,,4,28.4,,4,78.6,,4,97.7,,4,77.3
QF_BV/brummayerbiere2/smulov4bw0032,,4,0.2,,4,0.8,,3,2.3,,3,4.6
