Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app2/bench_642,,66,49.2,,8,3.9,,10,13.1,,9,16.3
QF_BV/sage/app2/bench_645,,5,0.6,,4,1.1,,4,2.2,,4,4.6
QF_BV/sage/app2/bench_664,,13,7.1,,7,3.5,,9,11.8,,9,16.1
QF_BV/sage/app2/bench_719,,39,36.4,,11,12.5,,11,14.2,,11,13.8
QF_BV/sage/app2/bench_830,,325,163.5,,13,9.0,,12,13.1,,12,18.4
QF_BV/sage/app2/bench_863,,5,4.1,,5,6.0,,5,8.2,,4,11.0
QF_BV/sage/app2/bench_1196,,6,6.7,,5,5.1,,5,7.6,,5,13.8
QF_BV/sage/app2/bench_1387,,33,389.6,,17,161.2,,14,169.5,,13,222.9
QF_BV/sage/app5/bench_42,,10,3.3,,4,2.2,,4,5.5,,4,13.0
QF_BV/sage/app5/bench_349,,5,5.4,,4,6.8,,4,11.7,,4,24.1
QF_BV/sage/app5/bench_357,,5,4.8,,4,6.7,,4,12.8,,4,23.3
QF_BV/sage/app5/bench_575,,80,0.4,,4,0.0,,4,0.1,,4,0.2
QF_BV/sage/app5/bench_742,,2,0.1,,2,0.2,,2,0.2,,2,0.4
QF_BV/sage/app5/bench_794,,3,0.0,,2,0.0,,2,0.0,,3,0.0
QF_BV/sage/app5/bench_931,,7,0.2,,3,0.2,,4,0.6,,4,1.4
QF_BV/sage/app5/bench_959,,4,0.4,,4,0.4,,4,0.7,,4,1.2
QF_BV/sage/app5/bench_960,,135,1.4,,5,1.0,,4,0.1,,5,0.2
QF_BV/sage/app5/bench_1163,,5,0.2,,5,0.4,,5,1.0,,5,1.9
QF_BV/sage/app5/bench_1170,,10,0.4,,6,0.4,,5,1.0,,5,1.8
QF_BV/sage/app5/bench_1182,,5,1.8,,4,3.0,,4,8.9,,4,15.7
QF_BV/sage/app5/bench_1262,,5,0.1,,4,0.1,,4,0.5,,3,0.4
QF_BV/sage/app8/bench_23,,4,0.9,,4,1.0,,4,3.7,,3,4.0
QF_BV/sage/app8/bench_49,,4,0.3,,4,0.6,,4,1.5,,4,2.6
QF_BV/sage/app8/bench_400,,4,17.2,,4,16.9,,4,28.7,,4,50.0
QF_BV/sage/app8/bench_443,,4,6.5,,4,14.8,,4,15.6,,4,34.2
QF_BV/sage/app8/bench_498,,4,10.6,,4,16.4,,4,27.4,,4,21.4
QF_BV/sage/app8/bench_525,,15,0.1,,5,0.1,,8,0.6,,4,0.6
QF_BV/sage/app8/bench_828,,5,11.8,,5,10.4,,5,20.9,,5,19.5
QF_BV/sage/app8/bench_1892,,4,0.3,,4,0.5,,4,0.6,,3,1.4
QF_BV/sage/app8/bench_2006,,5,0.5,,5,0.3,,4,1.2,,4,1.2
QF_BV/sage/app8/bench_2310,,5,0.1,,4,0.2,,4,0.6,,4,1.0
QF_BV/sage/app8/bench_2647,,7,0.5,,6,0.8,,5,2.1,,5,4.5
QF_BV/sage/app8/bench_2880,,5,0.4,,5,0.5,,4,1.5,,5,3.3
QF_BV/sage/app8/bench_3177,,4,0.5,,5,1.6,,4,2.6,,5,3.6
QF_BV/sage/app8/bench_3314,,5,0.4,,4,0.6,,4,1.7,,4,3.1
QF_BV/sage/app8/bench_3368,,4,0.6,,3,0.6,,4,2.2,,4,4.7
QF_BV/sage/app8/bench_3424,,4,0.2,,4,0.4,,4,1.2,,4,2.0
QF_BV/sage/app8/bench_3448,,4,0.2,,3,0.1,,3,0.4,,3,0.6
QF_BV/sage/app8/bench_3677,,5,0.1,,9,0.2,,4,0.3,,4,0.6
QF_BV/sage/app8/bench_3814,,5,0.4,,4,0.4,,4,0.9,,4,2.1
QF_BV/sage/app8/bench_3836,,2,0.0,,2,0.1,,2,0.0,,2,0.0
QF_BV/sage/app8/bench_3842,,39,0.1,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_885,,5,1.2,,4,2.6,,5,9.2,,5,11.6
QF_BV/sage/app9/bench_919,,5,0.1,,10,0.1,,4,0.3,,8,0.6
QF_BV/sage/app9/bench_979,,4,0.1,,3,0.1,,3,0.1,,3,0.2
QF_BV/sage/app9/bench_1203,,4,0.3,,4,0.5,,4,1.8,,4,2.2
QF_BV/sage/app9/bench_1269,,5,0.1,,4,0.3,,4,0.6,,4,1.5
QF_BV/sage/app9/bench_1323,,6,0.2,,4,0.2,,4,0.5,,4,1.0
QF_BV/sage/app9/bench_1384,,8,1.5,,5,1.5,,6,7.5,,5,7.7
QF_BV/sage/app9/bench_1400,,6,0.7,,6,1.8,,6,7.8,,5,8.7
QF_BV/sage/app9/bench_1552,,6,0.5,,5,0.9,,5,2.5,,5,4.8
QF_BV/sage/app9/bench_1659,,6,0.8,,6,1.4,,5,3.4,,5,2.9
QF_BV/sage/app9/bench_1969,,4,0.1,,3,0.2,,3,0.3,,3,0.6
QF_BV/sage/app9/bench_2061,,4,0.0,,2,0.0,,3,0.1,,3,0.1
QF_BV/sage/app9/bench_2358,,8,0.0,,2,0.1,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_2518,,4,0.1,,4,0.4,,3,0.5,,3,1.1
QF_BV/sage/app9/bench_2940,,5,0.3,,4,0.6,,4,1.8,,4,2.7
QF_BV/sage/app9/bench_3094,,7,0.0,,3,0.1,,4,0.1,,4,0.3
QF_BV/sage/app9/bench_3134,,5,9.1,,4,16.5,,4,22.2,,4,30.0
QF_BV/sage/app9/bench_3261,,7,0.0,,2,0.0,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_3278,,4,12.4,,4,10.1,,4,22.6,,4,40.5
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,4,1.3,,4,5.5,,4,15.2,,4,43.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,4,1.1,,4,5.9,,4,37.0,,4,38.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,4,1.1,,4,7.2,,4,22.3,,4,43.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,8,41.0,,7,76.1,,6,119.2,,6,177.2
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,8,39.1,,6,64.0,,6,82.7,,6,156.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,6,34.4,,5,70.3,,6,75.9,,6,153.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,7,46.3,,6,56.5,,6,141.3,,6,119.9
