Instance,,lambda=1,,,lambda=10,,,lambda=50,,,lambda=100,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,2,0.0,,2,0.0,,2,0.1
QF_BV/bench_ab/a403test0043,,5,0.0,,4,0.0,,3,0.0,,3,0.2
QF_BV/bench_ab/a481test0001,,1,0.0,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bench_ab/a639test0017,,288,0.8,,59,0.4,,33,0.3,,12,0.2
QF_BV/bench_ab/a651test0090,,193,0.5,,65,0.1,,22,0.3,,11,0.2
QF_BV/bench_ab/a655test0003,,36,0.1,,100,0.2,,17,0.1,,11,0.2
QF_BV/bench_ab/a659test0071,,202,0.4,,26,0.2,,11,0.1,,15,0.2
QF_BV/bench_ab/a668test0098,,2,0.0,,2,0.0,,3,0.0,,2,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.0,,4,2.4,,4,4.3,,3,5.7
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,5.8,,4,3.1,,4,7.5,,4,8.3
QF_BV/bmc-bv/ex19,,647,2168.7,,383,2786.6,,381,3519.2,,- -,- -
QF_BV/bmc-bv/fermat,,6,0.8,,5,4.0,,5,15.2,,4,17.8
QF_BV/bmc-bv/graycode,,1,0.3,,1,0.5,,1,1.8,,1,2.6
QF_BV/bmc-bv/inf1,,1,0.0,,1,0.0,,1,0.1,,1,0.2
QF_BV/bmc-bv/magic,,1,2.7,,1,3.8,,1,6.1,,1,8.8
QF_BV/bmc-bv/queens,,2,1.6,,2,3.2,,2,6.1,,2,7.9
QF_BV/bmc-bv/sudoku,,1,12.4,,1,27.9,,1,44.1,,1,56.7
QF_BV/brummayerbiere2/smulov4bw0256,,4,282.5,,4,1188.7,,4,1011.4,,4,1285.1
QF_BV/brummayerbiere2/smulov4bw0064,,4,0.9,,4,2.9,,3,9.7,,3,22.3
QF_BV/brummayerbiere2/smulov4bw0128,,4,17.5,,4,83.6,,4,85.3,,4,117.9
QF_BV/brummayerbiere2/smulov4bw0032,,3,0.2,,3,2.5,,3,1.7,,3,4.6
QF_BV/gulwani-pldi08/fig1d.phx,,11,105.9,,8,139.2,,9,198.5,,9,267.5
QF_BV/gulwani-pldi08/fig5.phx,,7,20.1,,7,112.8,,7,72.7,,6,78.2
QF_BV/gulwani-pldi08/fig6.phx,,12,7.2,,10,9.5,,7,13.0,,10,54.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,7,19.8,,6,37.8,,6,50.7,,6,75.6
QF_BV/RWS/Example_1.txt,,24,28.9,,24,36.8,,23,70.4,,22,92.7
QF_BV/RWS/Example_2.txt,,15,15.8,,15,25.4,,14,55.9,,14,73.4
QF_BV/RWS/Example_4.txt,,10,10.7,,10,35.4,,10,30.8,,10,49.5
QF_BV/RWS/Example_5.txt,,8,8.4,,8,11.8,,7,22.4,,7,35.0
QF_BV/RWS/Example_6.txt,,6,5.3,,6,11.3,,6,10.9,,6,18.6
QF_BV/RWS/Example_14.txt,,25,49.7,,24,73.9,,23,110.3,,22,153.7
QF_BV/sage/app1/bench_1141,,5,5.7,,4,5.7,,3,5.6,,4,14.3
QF_BV/sage/app1/bench_1258,,1,0.0,,1,0.0,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,5,2.0,,4,3.5,,4,6.2,,4,16.3
QF_BV/sage/app1/bench_1288,,4,1.2,,4,3.2,,3,6.4,,4,14.2
