Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,11,231.5,,21,398.5,,21,398.5,,24,200.1,,24,239.4,,17,12.6
QF_BV/RWS/Example_8.txt,,7,43.5,,21,117.2,,20,117.2,,20,200.9,,18,143.5,,12,4.8
QF_BV/RWS/Example_9.txt,,9,478.6,,- -,- -,,- -,- -,,13,550.7,,13,550.7,,- -,- -
QF_BV/RWS/Example_10.txt,,12,640.1,,19,1095.5,,19,1095.5,,19,261.2,,19,261.2,,18,163.6
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,34,987.4,,34,987.4,,- -,- -
QF_BV/RWS/Example_12.txt,,8,1594.8,,13,1318.5,,13,1318.5,,13,235.8,,13,235.8,,- -,- -
QF_BV/RWS/Example_13.txt,,10,348.7,,18,695.7,,17,762.4,,14,192.2,,14,192.2,,13,53.1
QF_BV/RWS/Example_16.txt,,18,364.8,,30,1172.6,,30,1172.6,,27,608.5,,27,608.5,,28,61.9
QF_BV/RWS/Example_17.txt,,8,223.9,,11,1398.7,,11,1398.7,,11,212.7,,11,212.7,,11,111.4
QF_BV/sage/app1/bench_4,,3,215.1,,9,604.6,,9,604.6,,3,192.5,,3,192.5,,- -,- -
QF_BV/sage/app1/bench_29,,3,131.0,,17,606.0,,16,476.7,,5,195.1,,5,195.1,,- -,- -
QF_BV/sage/app1/bench_32,,3,139.7,,9,589.1,,9,589.1,,6,201.2,,6,201.2,,- -,- -
QF_BV/sage/app1/bench_37,,3,204.4,,9,537.1,,9,537.1,,3,199.5,,3,199.5,,- -,- -
QF_BV/sage/app1/bench_47,,3,65.6,,5,766.7,,5,766.7,,5,193.1,,5,193.1,,- -,- -
QF_BV/sage/app1/bench_52,,3,70.8,,25,691.5,,21,691.5,,11,203.5,,10,203.5,,- -,- -
QF_BV/sage/app1/bench_53,,3,69.8,,16,510.6,,15,510.6,,7,211.6,,7,211.6,,- -,- -
QF_BV/sage/app1/bench_54,,3,68.5,,25,616.5,,23,777.7,,19,244.6,,19,244.6,,- -,- -
QF_BV/sage/app1/bench_55,,3,67.7,,16,683.4,,16,683.4,,7,205.9,,7,205.9,,- -,- -
QF_BV/sage/app1/bench_60,,3,84.5,,16,642.1,,15,571.5,,15,240.9,,15,240.9,,- -,- -
QF_BV/sage/app1/bench_61,,3,48.2,,20,551.7,,18,551.7,,11,215.7,,11,215.7,,- -,- -
QF_BV/sage/app1/bench_62,,3,62.8,,71,992.8,,57,992.8,,10,177.6,,10,177.6,,- -,- -
QF_BV/sage/app1/bench_63,,3,63.3,,46,766.4,,35,766.4,,12,191.9,,12,191.9,,- -,- -
QF_BV/sage/app1/bench_66,,3,67.8,,51,725.7,,36,725.7,,8,198.1,,8,198.1,,- -,- -
QF_BV/sage/app1/bench_69,,3,61.1,,38,654.2,,25,634.8,,8,217.3,,8,217.3,,- -,- -
QF_BV/sage/app1/bench_99,,3,60.4,,65,851.8,,51,980.3,,9,166.7,,9,166.7,,- -,- -
QF_BV/sage/app1/bench_134,,3,68.7,,24,737.4,,22,794.2,,5,197.3,,5,197.3,,- -,- -
QF_BV/sage/app1/bench_169,,3,60.8,,26,625.2,,24,625.2,,20,187.9,,20,187.9,,- -,- -
QF_BV/sage/app1/bench_174,,3,62.7,,131,1181.2,,95,1181.2,,10,180.2,,10,180.2,,- -,- -
QF_BV/sage/app1/bench_175,,3,36.1,,16,784.4,,16,784.4,,36,488.2,,27,488.2,,- -,- -
QF_BV/sage/app1/bench_176,,3,71.9,,36,897.4,,34,897.4,,53,602.4,,39,602.4,,- -,- -
QF_BV/sage/app1/bench_177,,3,65.8,,13,669.8,,13,669.8,,22,294.9,,20,294.9,,- -,- -
QF_BV/sage/app1/bench_181,,3,237.6,,7,571.8,,7,621.8,,4,192.8,,4,192.8,,- -,- -
QF_BV/sage/app1/bench_182,,3,57.9,,25,586.1,,24,586.1,,17,234.6,,16,234.6,,- -,- -
QF_BV/sage/app1/bench_183,,3,62.9,,30,876.8,,28,628.4,,12,184.4,,12,184.4,,- -,- -
QF_BV/sage/app1/bench_184,,3,66.4,,37,764.7,,34,824.5,,31,231.7,,24,238.7,,- -,- -
QF_BV/sage/app1/bench_185,,3,62.1,,12,481.2,,11,481.2,,11,195.7,,11,195.7,,- -,- -
QF_BV/sage/app1/bench_188,,3,54.1,,112,1196.9,,90,1196.9,,9,213.5,,9,213.5,,- -,- -
QF_BV/sage/app1/bench_191,,3,63.0,,22,528.7,,21,528.7,,12,171.5,,12,171.5,,- -,- -
QF_BV/sage/app1/bench_201,,4,80.8,,37,899.4,,34,899.4,,6,193.6,,6,193.6,,- -,- -
QF_BV/sage/app1/bench_268,,3,70.3,,25,543.5,,22,543.5,,24,319.1,,23,319.1,,- -,- -
QF_BV/sage/app1/bench_310,,4,97.1,,10,1137.1,,10,1137.1,,8,205.1,,8,205.1,,- -,- -
QF_BV/sage/app1/bench_313,,4,175.9,,16,1105.9,,14,1144.6,,8,191.6,,8,200.2,,- -,- -
QF_BV/sage/app1/bench_329,,4,47.4,,10,815.1,,10,815.1,,8,184.0,,8,184.0,,- -,- -
QF_BV/sage/app1/bench_333,,3,111.3,,15,772.6,,15,772.6,,9,192.0,,8,192.0,,- -,- -
QF_BV/sage/app1/bench_334,,4,125.4,,45,1178.2,,31,805.2,,18,169.8,,16,223.6,,- -,- -
QF_BV/sage/app1/bench_335,,4,150.9,,19,432.9,,19,432.9,,30,348.2,,26,348.2,,- -,- -
QF_BV/sage/app1/bench_338,,3,53.6,,29,732.3,,27,732.3,,6,177.2,,6,177.2,,- -,- -
QF_BV/sage/app1/bench_342,,4,83.8,,15,739.1,,14,739.1,,9,207.7,,9,207.7,,- -,- -
QF_BV/sage/app1/bench_343,,3,59.1,,19,1010.5,,19,1010.5,,5,177.2,,5,177.2,,- -,- -
QF_BV/sage/app1/bench_344,,4,155.4,,72,1192.4,,56,1192.4,,18,190.6,,18,204.7,,- -,- -
QF_BV/sage/app1/bench_345,,4,46.6,,106,1126.5,,72,1126.5,,13,197.5,,13,197.5,,- -,- -
QF_BV/sage/app1/bench_349,,4,90.2,,15,832.8,,14,832.8,,5,189.2,,5,189.2,,- -,- -
QF_BV/sage/app1/bench_352,,4,84.7,,92,1025.6,,77,1025.6,,23,378.0,,22,298.5,,- -,- -
QF_BV/sage/app1/bench_356,,4,82.6,,11,1176.5,,11,1176.5,,17,188.1,,17,188.1,,- -,- -
QF_BV/sage/app1/bench_372,,4,83.8,,- -,- -,,- -,- -,,15,278.2,,14,222.7,,- -,- -
QF_BV/sage/app1/bench_407,,4,76.3,,27,1095.9,,25,1173.8,,26,418.4,,24,418.4,,- -,- -
QF_BV/sage/app1/bench_411,,4,73.3,,76,1116.3,,46,1116.3,,41,528.0,,26,239.0,,- -,- -
QF_BV/sage/app1/bench_412,,4,74.4,,47,1011.9,,35,926.8,,21,255.7,,17,255.7,,- -,- -
QF_BV/sage/app1/bench_413,,4,75.6,,- -,- -,,- -,- -,,23,230.5,,23,230.5,,- -,- -
QF_BV/sage/app1/bench_415,,3,69.9,,13,809.4,,13,809.4,,5,173.8,,5,173.8,,- -,- -
QF_BV/sage/app1/bench_419,,3,120.8,,62,704.3,,44,704.3,,21,253.9,,20,253.9,,- -,- -
QF_BV/sage/app1/bench_420,,4,75.7,,21,575.4,,19,575.4,,29,377.1,,24,249.7,,- -,- -
QF_BV/sage/app1/bench_421,,4,75.3,,17,801.4,,17,801.4,,56,518.5,,45,754.8,,- -,- -
QF_BV/sage/app1/bench_422,,3,63.9,,29,921.3,,25,921.3,,13,212.8,,13,212.8,,- -,- -
QF_BV/sage/app1/bench_426,,3,62.1,,66,875.9,,45,875.9,,50,723.3,,36,710.1,,- -,- -
QF_BV/sage/app1/bench_429,,4,123.5,,43,1292.9,,36,1292.9,,12,214.5,,12,214.5,,- -,- -
QF_BV/sage/app1/bench_443,,4,79.3,,28,584.8,,24,1280.0,,21,290.9,,21,290.9,,- -,- -
QF_BV/sage/app1/bench_511,,4,56.6,,77,1052.0,,53,1274.2,,63,653.1,,54,653.1,,- -,- -
QF_BV/sage/app1/bench_512,,4,52.1,,51,959.2,,36,1118.0,,68,790.3,,60,740.5,,4,2457.2
QF_BV/sage/app1/bench_517,,4,55.5,,59,1170.0,,54,1170.0,,75,785.8,,70,785.8,,- -,- -
QF_BV/sage/app1/bench_531,,4,55.5,,97,1238.1,,72,1315.4,,63,639.0,,52,639.0,,- -,- -
QF_BV/sage/app1/bench_535,,4,39.8,,45,464.0,,37,464.0,,95,916.1,,82,917.6,,- -,- -
QF_BV/sage/app1/bench_537,,4,38.2,,77,1014.7,,56,1014.7,,93,792.5,,78,792.5,,- -,- -
QF_BV/sage/app1/bench_539,,4,60.7,,32,673.5,,25,673.5,,85,726.7,,77,738.6,,- -,- -
QF_BV/sage/app1/bench_542,,4,62.2,,104,1106.0,,75,946.1,,72,651.0,,65,650.5,,- -,- -
QF_BV/sage/app1/bench_545,,4,42.0,,69,914.2,,46,883.1,,82,796.8,,71,796.8,,- -,- -
QF_BV/sage/app1/bench_552,,4,96.8,,93,1084.1,,75,1084.1,,42,371.5,,30,761.3,,- -,- -
QF_BV/sage/app1/bench_556,,4,130.2,,46,804.9,,34,1371.8,,8,191.2,,8,191.2,,- -,- -
QF_BV/sage/app1/bench_562,,4,109.0,,57,1412.5,,34,1412.5,,50,666.3,,34,875.7,,- -,- -
QF_BV/sage/app1/bench_564,,4,78.2,,- -,- -,,- -,- -,,51,502.3,,33,360.0,,- -,- -
QF_BV/sage/app1/bench_567,,4,110.5,,- -,- -,,- -,- -,,28,377.1,,25,377.1,,- -,- -
QF_BV/sage/app1/bench_571,,4,77.1,,- -,- -,,- -,- -,,29,362.8,,23,226.8,,- -,- -
QF_BV/sage/app1/bench_602,,4,114.3,,10,549.7,,10,549.7,,10,265.4,,10,265.4,,- -,- -
QF_BV/sage/app1/bench_611,,4,162.7,,8,617.2,,8,617.2,,5,186.7,,5,186.7,,- -,- -
QF_BV/sage/app1/bench_620,,4,81.2,,13,997.3,,13,997.3,,17,245.3,,17,245.3,,- -,- -
QF_BV/sage/app1/bench_629,,4,83.6,,23,627.3,,22,886.9,,8,200.5,,8,200.5,,- -,- -
QF_BV/sage/app1/bench_638,,4,79.0,,16,709.6,,15,709.6,,15,176.2,,15,176.2,,5,2636.3
QF_BV/sage/app1/bench_646,,4,115.0,,17,1067.1,,15,1067.1,,14,193.4,,14,193.4,,- -,- -
QF_BV/sage/app1/bench_655,,4,100.5,,27,609.8,,19,609.8,,12,218.2,,12,218.2,,- -,- -
QF_BV/sage/app1/bench_664,,4,77.5,,23,647.7,,22,535.6,,15,190.0,,14,190.0,,- -,- -
QF_BV/sage/app1/bench_674,,4,75.0,,29,665.7,,22,665.7,,21,287.5,,21,287.5,,- -,- -
QF_BV/sage/app1/bench_681,,3,222.3,,7,640.1,,7,640.1,,4,206.7,,4,206.7,,- -,- -
QF_BV/sage/app1/bench_683,,4,72.8,,11,559.2,,9,503.4,,19,219.3,,19,219.3,,- -,- -
QF_BV/sage/app1/bench_691,,4,68.2,,57,1006.6,,39,1006.6,,20,237.4,,20,237.4,,10,2458.0
QF_BV/sage/app1/bench_692,,3,248.2,,6,893.0,,6,893.0,,4,186.4,,4,186.4,,- -,- -
QF_BV/sage/app1/bench_699,,4,67.9,,20,311.5,,20,311.5,,18,217.8,,17,217.8,,9,3040.8
QF_BV/sage/app1/bench_707,,4,70.2,,22,655.0,,20,625.8,,15,248.6,,15,248.6,,- -,- -
QF_BV/sage/app1/bench_715,,4,64.6,,96,850.7,,71,939.1,,22,190.8,,22,433.2,,7,1878.4
QF_BV/sage/app1/bench_722,,4,74.6,,59,1217.2,,41,1234.3,,46,444.4,,29,444.4,,6,1876.3
QF_BV/sage/app1/bench_730,,4,60.5,,18,751.9,,17,751.9,,18,221.6,,18,221.6,,5,2123.6
QF_BV/sage/app1/bench_738,,4,59.8,,63,937.0,,48,937.0,,12,251.8,,12,251.8,,5,1507.2
QF_BV/sage/app1/bench_745,,4,59.6,,108,1085.7,,66,827.8,,22,267.6,,21,373.8,,5,1917.7
QF_BV/sage/app1/bench_753,,4,51.0,,191,1076.7,,145,1481.6,,85,635.1,,72,748.7,,5,1140.5
QF_BV/sage/app1/bench_761,,4,47.6,,- -,- -,,- -,- -,,84,675.7,,65,953.7,,5,1944.0
QF_BV/sage/app1/bench_836,,3,273.6,,8,623.7,,8,623.7,,3,199.1,,3,199.1,,- -,- -
QF_BV/sage/app1/bench_847,,3,178.6,,6,1033.1,,6,1033.1,,3,198.0,,3,198.0,,- -,- -
QF_BV/sage/app1/bench_858,,3,227.7,,6,706.3,,5,706.3,,3,201.6,,3,201.6,,- -,- -
QF_BV/sage/app1/bench_869,,3,126.7,,4,628.3,,4,628.3,,5,164.2,,5,164.2,,- -,- -
QF_BV/sage/app1/bench_880,,3,205.5,,9,497.6,,9,497.6,,4,167.3,,4,167.3,,- -,- -
QF_BV/sage/app1/bench_914,,3,194.6,,4,708.8,,4,708.8,,3,192.9,,3,192.9,,- -,- -
QF_BV/sage/app1/bench_926,,4,69.6,,37,441.9,,32,441.9,,97,824.9,,77,688.2,,5,1302.0
QF_BV/sage/app1/bench_947,,3,367.6,,12,696.9,,11,696.9,,3,198.6,,3,198.6,,- -,- -
QF_BV/sage/app1/bench_983,,4,54.5,,286,1209.2,,228,1209.2,,184,938.1,,143,854.1,,5,1322.6
QF_BV/sage/app1/bench_985,,4,48.0,,122,865.4,,96,767.9,,49,643.2,,36,643.2,,5,1579.0
QF_BV/sage/app1/bench_987,,4,59.2,,70,1142.0,,60,1142.0,,32,438.8,,27,438.8,,5,1510.8
QF_BV/sage/app1/bench_989,,4,37.2,,206,1097.5,,182,1097.5,,36,354.3,,32,376.0,,5,1612.0
