Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_512,,23,193.5,,38,194.3,,176,2184.4,,30,181.4
QF_BV/sage/app1/bench_517,,26,278.2,,92,801.8,,- -,- -,,30,179.4
QF_BV/sage/app1/bench_531,,22,172.8,,31,166.8,,172,2053.6,,31,184.1
QF_BV/sage/app1/bench_535,,25,182.9,,35,290.8,,253,3189.7,,29,158.7
QF_BV/sage/app1/bench_537,,27,271.1,,33,272.9,,- -,- -,,30,156.3
QF_BV/sage/app1/bench_539,,24,233.6,,44,250.2,,- -,- -,,31,178.5
QF_BV/sage/app1/bench_542,,25,242.3,,36,267.8,,254,2769.6,,38,199.5
QF_BV/sage/app1/bench_545,,25,218.8,,53,246.0,,- -,- -,,30,185.9
QF_BV/sage/app1/bench_552,,25,460.6,,41,336.5,,208,2990.3,,53,259.4
QF_BV/sage/app1/bench_556,,23,333.6,,32,328.0,,337,3353.2,,31,180.2
QF_BV/sage/app1/bench_562,,22,356.5,,24,220.8,,118,926.4,,27,106.9
QF_BV/sage/app1/bench_564,,21,293.8,,23,180.2,,99,1019.0,,24,135.5
QF_BV/sage/app1/bench_567,,21,268.6,,22,151.0,,72,1006.5,,25,151.6
QF_BV/sage/app1/bench_571,,21,275.1,,21,176.4,,71,1049.9,,24,176.3
QF_BV/sage/app1/bench_602,,21,355.3,,23,203.5,,76,962.4,,24,156.5
QF_BV/sage/app1/bench_611,,21,358.2,,23,220.7,,115,1463.1,,23,135.5
QF_BV/sage/app1/bench_620,,21,336.1,,22,227.9,,115,1415.3,,23,149.9
QF_BV/sage/app1/bench_629,,21,337.8,,22,206.6,,90,912.9,,24,136.8
QF_BV/sage/app1/bench_638,,20,307.0,,22,407.6,,110,1254.1,,23,139.3
QF_BV/sage/app1/bench_646,,20,273.5,,21,189.2,,132,1300.6,,24,252.6
QF_BV/sage/app1/bench_655,,21,388.1,,20,183.8,,89,1385.0,,23,131.7
QF_BV/sage/app1/bench_664,,21,318.4,,22,198.5,,87,819.2,,23,140.1
