Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,97,1997.2,,99,1258.3,,219,2837.8,,112,530.0
QF_BV/RWS/Example_8.txt,,31,176.8,,33,462.2,,51,229.1,,34,136.4
QF_BV/RWS/Example_9.txt,,53,1510.3,,58,2490.0,,95,2788.0,,56,1408.8
QF_BV/RWS/Example_10.txt,,- -,- -,,- -,- -,,- -,- -,,129,1823.0
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,85,1087.8,,97,1853.7,,187,3580.5,,95,504.0
QF_BV/RWS/Example_16.txt,,86,1654.7,,88,1872.2,,149,2428.2,,91,2028.0
QF_BV/RWS/Example_17.txt,,76,2600.7,,83,2017.1,,134,2805.2,,81,2493.5
QF_BV/sage/app1/bench_4,,14,890.6,,35,1309.0,,24,1058.3,,17,394.0
QF_BV/sage/app1/bench_29,,17,516.6,,19,158.9,,99,1344.9,,24,178.5
QF_BV/sage/app1/bench_32,,17,343.5,,18,196.3,,53,1173.9,,23,186.3
QF_BV/sage/app1/bench_37,,13,686.4,,35,1351.5,,36,1875.8,,17,373.2
QF_BV/sage/app1/bench_47,,19,422.1,,24,271.3,,67,777.6,,26,160.2
QF_BV/sage/app1/bench_52,,18,318.6,,24,278.2,,110,1389.7,,27,169.8
QF_BV/sage/app1/bench_53,,18,306.6,,23,232.8,,40,476.0,,24,174.0
QF_BV/sage/app1/bench_54,,17,274.5,,28,306.3,,102,1762.5,,25,157.8
QF_BV/sage/app1/bench_55,,17,605.9,,24,194.2,,109,902.0,,25,174.8
QF_BV/sage/app1/bench_60,,17,298.1,,21,376.5,,113,1160.1,,28,174.6
QF_BV/sage/app1/bench_61,,18,263.6,,24,261.7,,137,2719.2,,25,239.4
QF_BV/sage/app1/bench_62,,18,377.1,,25,226.1,,96,1114.4,,26,248.1
QF_BV/sage/app1/bench_63,,18,551.6,,24,282.4,,112,1067.3,,27,253.6
QF_BV/sage/app1/bench_66,,17,275.7,,24,425.9,,69,1412.5,,26,176.3
QF_BV/sage/app1/bench_69,,17,225.3,,23,422.2,,86,1578.8,,25,106.5
QF_BV/sage/app1/bench_99,,18,266.0,,22,226.2,,102,935.6,,26,157.9
QF_BV/sage/app1/bench_134,,16,235.4,,24,256.1,,117,851.5,,24,154.6
QF_BV/sage/app1/bench_169,,18,261.4,,24,211.7,,97,998.5,,26,214.8
