Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,100,888.7,,99,1610.2,,235,1882.5,,107,522.6
QF_BV/RWS/Example_8.txt,,29,183.9,,33,162.1,,50,214.7,,33,114.3
QF_BV/RWS/Example_9.txt,,53,2276.0,,58,2752.3,,95,3316.4,,56,902.1
QF_BV/RWS/Example_10.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/RWS/Example_13.txt,,88,1566.4,,97,1929.2,,- -,- -,,98,2209.1
QF_BV/RWS/Example_16.txt,,85,1601.1,,88,1139.3,,135,2514.0,,91,933.8
QF_BV/RWS/Example_17.txt,,77,2434.0,,83,1273.5,,132,2811.6,,81,1035.5
QF_BV/sage/app1/bench_4,,14,780.7,,35,1344.5,,22,2179.7,,16,337.2
QF_BV/sage/app1/bench_29,,17,332.6,,19,209.1,,80,966.8,,24,180.0
QF_BV/sage/app1/bench_32,,16,569.0,,18,197.3,,104,1495.8,,22,176.2
QF_BV/sage/app1/bench_37,,14,933.3,,35,874.7,,33,1177.3,,17,369.4
QF_BV/sage/app1/bench_47,,18,302.7,,24,182.1,,67,681.6,,25,106.8
QF_BV/sage/app1/bench_52,,18,322.2,,24,244.2,,87,1850.1,,24,148.0
QF_BV/sage/app1/bench_53,,18,257.6,,23,253.8,,55,659.9,,24,172.7
QF_BV/sage/app1/bench_54,,18,288.7,,28,293.4,,75,1377.2,,25,164.6
QF_BV/sage/app1/bench_55,,17,229.0,,24,416.3,,118,1595.6,,26,186.0
QF_BV/sage/app1/bench_60,,18,297.9,,21,156.4,,102,1041.7,,29,202.9
QF_BV/sage/app1/bench_61,,18,200.5,,24,267.8,,95,1010.8,,26,170.7
QF_BV/sage/app1/bench_62,,19,523.7,,25,282.7,,73,504.2,,30,191.1
QF_BV/sage/app1/bench_63,,16,188.0,,24,470.1,,64,478.6,,25,134.4
QF_BV/sage/app1/bench_66,,16,211.1,,24,279.4,,53,576.4,,25,168.5
QF_BV/sage/app1/bench_69,,17,290.8,,23,205.7,,106,799.1,,28,159.7
QF_BV/sage/app1/bench_99,,17,228.8,,22,205.7,,148,1602.2,,24,156.2
QF_BV/sage/app1/bench_134,,16,251.8,,24,229.3,,55,656.7,,24,152.3
QF_BV/sage/app1/bench_169,,17,251.3,,24,219.8,,95,681.3,,23,125.8
QF_BV/sage/app1/bench_174,,17,247.7,,26,255.5,,66,452.1,,25,138.0
QF_BV/sage/app1/bench_175,,18,160.4,,24,213.2,,104,1072.2,,24,91.3
QF_BV/sage/app1/bench_176,,19,406.1,,24,223.0,,76,648.3,,24,107.7
QF_BV/sage/app1/bench_177,,17,261.7,,21,149.2,,53,619.1,,26,163.3
QF_BV/sage/app1/bench_181,,14,815.1,,38,1371.2,,34,1974.5,,17,396.2
QF_BV/sage/app1/bench_182,,17,143.9,,21,213.2,,64,654.2,,25,151.3
QF_BV/sage/app1/bench_183,,16,314.2,,20,195.8,,155,2929.4,,23,137.2
QF_BV/sage/app1/bench_184,,18,296.5,,26,253.2,,129,1248.2,,23,198.1
QF_BV/sage/app1/bench_185,,17,231.2,,21,208.0,,90,970.6,,25,101.2
QF_BV/sage/app1/bench_188,,16,141.9,,25,247.3,,114,1172.4,,22,131.2
QF_BV/sage/app1/bench_191,,18,250.2,,24,218.9,,92,1031.5,,26,151.9
