Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_352,,2,46.8,,8,735.6,,8,735.6,,8,151.7,,8,151.7,,- -,- -
QF_BV/sage/app1/bench_356,,2,50.5,,56,681.5,,43,681.5,,13,156.7,,12,166.6,,- -,- -
QF_BV/sage/app1/bench_372,,2,50.7,,9,150.5,,9,807.7,,11,115.6,,10,144.4,,- -,- -
QF_BV/sage/app1/bench_407,,2,53.4,,13,528.6,,13,528.6,,25,378.1,,24,378.1,,- -,- -
QF_BV/sage/app1/bench_411,,2,44.7,,44,531.6,,38,531.6,,17,147.1,,17,147.1,,- -,- -
QF_BV/sage/app1/bench_412,,2,74.6,,6,718.0,,6,718.0,,6,158.1,,6,158.1,,- -,- -
QF_BV/sage/app1/bench_413,,2,45.9,,8,121.4,,8,121.4,,45,588.7,,41,588.7,,3,3174.0
QF_BV/sage/app1/bench_415,,2,49.3,,3,384.1,,3,384.1,,5,170.3,,5,170.3,,- -,- -
QF_BV/sage/app1/bench_419,,2,47.5,,7,599.0,,7,599.0,,48,728.3,,39,456.9,,3,3595.2
QF_BV/sage/app1/bench_420,,2,38.1,,14,140.8,,13,140.8,,26,360.9,,23,360.9,,3,3148.6
QF_BV/sage/app1/bench_421,,2,45.9,,32,385.7,,24,385.7,,7,131.8,,7,131.8,,3,2159.2
QF_BV/sage/app1/bench_422,,2,30.9,,9,556.4,,8,519.7,,17,228.5,,17,228.5,,3,2700.1
QF_BV/sage/app1/bench_426,,2,47.1,,18,547.0,,18,547.0,,17,165.4,,17,165.4,,- -,- -
QF_BV/sage/app1/bench_429,,2,69.1,,22,333.7,,20,333.7,,5,139.6,,5,139.6,,- -,- -
QF_BV/sage/app1/bench_443,,3,61.4,,33,476.6,,28,476.6,,21,185.2,,21,185.2,,- -,- -
