Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,34,305.7,,- -,- -,,110,1201.4,,95,659.3,,81,1034.5,,56,65.2
QF_BV/RWS/Example_8.txt,,12,120.6,,35,365.2,,34,422.4,,31,315.7,,30,332.2,,22,7.6
QF_BV/RWS/Example_9.txt,,17,1636.0,,- -,- -,,- -,- -,,26,974.9,,26,974.9,,- -,- -
QF_BV/RWS/Example_10.txt,,41,1334.5,,- -,- -,,- -,- -,,82,1029.7,,82,1029.7,,62,473.3
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,96,2486.7,,96,2486.7,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,62,753.4,,61,753.4,,- -,- -
QF_BV/RWS/Example_13.txt,,27,472.6,,- -,- -,,- -,- -,,53,526.5,,51,552.4,,45,157.5
QF_BV/RWS/Example_16.txt,,34,1381.9,,- -,- -,,- -,- -,,66,1291.1,,66,1291.1,,69,140.9
QF_BV/RWS/Example_17.txt,,24,634.8,,- -,- -,,- -,- -,,43,803.7,,42,609.2,,36,282.6
QF_BV/sage/app1/bench_4,,5,361.2,,36,1373.0,,23,1376.5,,10,253.2,,10,253.2,,- -,- -
QF_BV/sage/app1/bench_29,,5,111.1,,194,1415.9,,36,1102.3,,15,304.7,,15,304.7,,- -,- -
QF_BV/sage/app1/bench_32,,5,128.5,,22,742.8,,18,1023.9,,13,265.1,,12,248.2,,- -,- -
QF_BV/sage/app1/bench_37,,5,339.4,,23,1434.7,,16,1069.2,,16,356.6,,16,356.6,,- -,- -
QF_BV/sage/app1/bench_47,,6,121.5,,92,1294.5,,56,1294.5,,29,407.8,,24,407.8,,- -,- -
QF_BV/sage/app1/bench_52,,5,98.1,,69,1481.6,,43,1481.6,,61,699.2,,50,699.2,,- -,- -
QF_BV/sage/app1/bench_53,,5,202.7,,120,1247.3,,62,1420.6,,15,304.5,,14,278.5,,- -,- -
QF_BV/sage/app1/bench_54,,5,60.5,,- -,- -,,- -,- -,,47,515.6,,31,515.6,,- -,- -
