Instance,,PanSampler,,,SMTSampler,,,SMTSampler-alt,,,GuidedSampler,,,GuidedSampler-alt,,,CSB,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/RWS/Example_3.txt,,34,280.8,,277,1206.6,,84,1206.6,,84,616.5,,73,616.5,,55,45.0
QF_BV/RWS/Example_8.txt,,12,62.7,,30,352.7,,29,280.7,,32,380.4,,30,295.6,,24,6.9
QF_BV/RWS/Example_9.txt,,17,792.1,,- -,- -,,- -,- -,,29,1113.3,,29,1113.3,,- -,- -
QF_BV/RWS/Example_10.txt,,42,1523.7,,- -,- -,,- -,- -,,77,981.0,,77,981.0,,63,527.0
QF_BV/RWS/Example_11.txt,,- -,- -,,- -,- -,,- -,- -,,99,2567.2,,99,2567.2,,- -,- -
QF_BV/RWS/Example_12.txt,,- -,- -,,- -,- -,,- -,- -,,67,830.8,,64,1123.7,,- -,- -
QF_BV/RWS/Example_13.txt,,27,899.8,,- -,- -,,- -,- -,,55,640.7,,52,526.5,,45,182.1
QF_BV/RWS/Example_16.txt,,34,794.1,,- -,- -,,- -,- -,,70,982.0,,70,982.0,,67,128.0
QF_BV/RWS/Example_17.txt,,24,1001.0,,- -,- -,,- -,- -,,42,609.2,,42,611.4,,35,352.9
QF_BV/sage/app1/bench_4,,5,327.6,,24,1392.3,,19,1426.1,,8,254.6,,8,254.6,,- -,- -
QF_BV/sage/app1/bench_29,,5,115.2,,40,1102.3,,22,1415.9,,12,276.7,,12,276.7,,- -,- -
QF_BV/sage/app1/bench_32,,5,124.2,,- -,- -,,- -,- -,,9,210.0,,9,210.0,,- -,- -
QF_BV/sage/app1/bench_37,,5,330.5,,171,1069.2,,22,1134.2,,7,248.4,,7,248.4,,- -,- -
QF_BV/sage/app1/bench_47,,6,149.6,,102,1221.8,,59,1221.8,,80,958.7,,54,958.7,,- -,- -
QF_BV/sage/app1/bench_52,,5,102.7,,86,1334.9,,47,1334.9,,18,260.2,,17,288.9,,- -,- -
QF_BV/sage/app1/bench_53,,5,100.1,,46,909.5,,25,780.5,,38,472.2,,31,472.2,,- -,- -
QF_BV/sage/app1/bench_54,,5,102.0,,59,1158.2,,31,1607.1,,26,357.7,,22,357.7,,- -,- -
QF_BV/sage/app1/bench_55,,5,110.1,,29,1090.6,,21,829.3,,20,372.8,,19,372.8,,- -,- -
QF_BV/sage/app1/bench_60,,5,106.9,,85,1204.9,,52,1204.9,,17,261.9,,17,261.9,,- -,- -
QF_BV/sage/app1/bench_61,,5,208.0,,34,1054.6,,26,1054.6,,37,385.1,,22,352.0,,- -,- -
QF_BV/sage/app1/bench_62,,6,118.7,,88,1534.5,,65,1534.5,,30,320.1,,23,320.1,,- -,- -
QF_BV/sage/app1/bench_63,,6,78.4,,37,1140.6,,28,1140.6,,43,522.3,,28,403.1,,- -,- -
QF_BV/sage/app1/bench_66,,6,119.5,,55,1478.9,,29,1478.9,,21,246.9,,21,250.6,,- -,- -
