Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app1/bench_517,,3,33.4,,3,37.2,,3,41.5,,3,27.9
QF_BV/sage/app1/bench_531,,3,30.0,,2,18.6,,3,38.4,,3,23.9
QF_BV/sage/app1/bench_535,,3,30.7,,3,17.2,,3,41.4,,3,22.1
QF_BV/sage/app1/bench_537,,3,42.2,,3,31.6,,3,40.7,,3,23.9
QF_BV/sage/app1/bench_539,,3,49.6,,3,37.9,,3,36.4,,3,25.1
QF_BV/sage/app1/bench_542,,3,30.2,,3,20.2,,3,33.4,,3,22.0
QF_BV/sage/app1/bench_545,,3,38.9,,3,21.1,,3,44.3,,3,29.9
QF_BV/sage/app1/bench_552,,3,61.2,,3,40.0,,3,59.5,,3,23.4
QF_BV/sage/app1/bench_556,,3,63.7,,3,41.5,,3,79.7,,3,29.8
QF_BV/sage/app1/bench_562,,3,79.5,,3,49.2,,2,44.7,,3,23.6
QF_BV/sage/app1/bench_564,,3,98.0,,3,41.5,,3,47.4,,3,26.1
QF_BV/sage/app1/bench_567,,2,41.9,,2,34.7,,3,47.7,,3,17.3
QF_BV/sage/app1/bench_571,,3,61.3,,3,68.5,,3,41.8,,3,24.7
QF_BV/sage/app1/bench_602,,2,49.2,,2,73.6,,2,31.7,,3,26.8
QF_BV/sage/app1/bench_611,,2,51.8,,3,45.2,,2,20.7,,3,30.4
QF_BV/sage/app1/bench_620,,3,66.5,,2,43.2,,2,37.2,,3,29.5
QF_BV/sage/app1/bench_629,,2,43.4,,3,48.2,,2,31.1,,3,22.9
QF_BV/sage/app1/bench_638,,3,75.2,,3,45.8,,3,44.0,,3,23.3
QF_BV/sage/app1/bench_646,,3,62.2,,3,29.5,,3,27.6,,3,25.9
QF_BV/sage/app1/bench_655,,3,76.6,,3,34.6,,3,35.1,,3,22.9
QF_BV/sage/app1/bench_664,,2,40.8,,3,47.0,,3,37.2,,3,26.2
QF_BV/sage/app1/bench_674,,3,52.6,,3,41.8,,3,46.5,,3,24.5
QF_BV/sage/app1/bench_681,,2,177.9,,2,206.6,,2,145.3,,2,66.9
QF_BV/sage/app1/bench_683,,3,106.8,,3,36.7,,3,33.5,,3,24.4
QF_BV/sage/app1/bench_691,,3,54.9,,3,36.3,,3,37.7,,3,25.2
QF_BV/sage/app1/bench_692,,2,130.9,,2,196.5,,2,109.0,,2,82.0
