Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/sage/app2/bench_642,,22,27.9,,- -,- -,,50,41.2,,- -,- -
QF_BV/sage/app2/bench_645,,6,3.5,,20,4.4,,- -,- -,,8,4.6
QF_BV/sage/app2/bench_664,,18,24.2,,- -,- -,,41,32.3,,- -,- -
QF_BV/sage/app2/bench_719,,20,25.1,,- -,- -,,59,40.2,,- -,- -
QF_BV/sage/app2/bench_830,,24,23.2,,- -,- -,,81,49.4,,- -,- -
QF_BV/sage/app2/bench_863,,6,12.5,,- -,- -,,7,8.8,,6,6.2
QF_BV/sage/app2/bench_1196,,7,12.2,,- -,- -,,9,9.2,,9,10.6
QF_BV/sage/app2/bench_1387,,38,479.9,,- -,- -,,75,413.7,,56,211.3
QF_BV/sage/app5/bench_42,,5,6.2,,73,15.3,,5,6.2,,6,8.2
QF_BV/sage/app5/bench_349,,5,10.5,,- -,- -,,7,17.0,,5,12.1
QF_BV/sage/app5/bench_357,,5,15.7,,- -,- -,,6,13.9,,5,12.1
QF_BV/sage/app5/bench_575,,4,0.2,,- -,- -,,7,0.2,,4,0.1
QF_BV/sage/app5/bench_742,,3,0.3,,802,283.3,,6,0.5,,7,0.5
QF_BV/sage/app5/bench_794,,3,0.0,,- -,- -,,2,0.0,,3,0.0
QF_BV/sage/app5/bench_931,,5,0.7,,- -,- -,,6,1.1,,6,0.9
QF_BV/sage/app5/bench_959,,4,0.7,,- -,- -,,6,1.0,,7,0.7
QF_BV/sage/app5/bench_960,,5,0.1,,- -,- -,,4,0.0,,630,10.5
QF_BV/sage/app5/bench_1163,,10,3.0,,- -,- -,,102,38.5,,33,6.5
QF_BV/sage/app5/bench_1170,,7,1.1,,- -,- -,,12,2.4,,9,1.5
QF_BV/sage/app5/bench_1182,,5,10.5,,- -,- -,,6,10.6,,6,9.3
QF_BV/sage/app5/bench_1262,,4,0.2,,- -,- -,,29,1.9,,5,0.3
QF_BV/sage/app8/bench_23,,4,3.3,,5,1.4,,5,2.4,,5,3.9
QF_BV/sage/app8/bench_49,,5,1.2,,11,0.9,,7,2.5,,6,1.8
QF_BV/sage/app8/bench_400,,7,35.0,,15,41.3,,27,122.6,,7,26.5
QF_BV/sage/app8/bench_443,,7,39.6,,14,35.1,,16,89.5,,8,27.4
QF_BV/sage/app8/bench_498,,7,35.0,,11,31.0,,9,24.1,,8,31.2
QF_BV/sage/app8/bench_525,,6,0.4,,- -,- -,,12,0.9,,20,1.1
QF_BV/sage/app8/bench_828,,9,35.6,,14,28.1,,29,45.1,,10,18.4
QF_BV/sage/app8/bench_1892,,5,1.2,,6,0.5,,7,2.4,,11,2.2
QF_BV/sage/app8/bench_2006,,7,2.0,,49,2.9,,11,3.1,,7,1.7
QF_BV/sage/app8/bench_2310,,5,0.7,,- -,- -,,7,0.9,,6,0.5
QF_BV/sage/app8/bench_2647,,12,4.3,,54,3.5,,13,5.1,,30,12.9
QF_BV/sage/app8/bench_2880,,6,2.1,,20,2.3,,10,3.5,,15,6.1
QF_BV/sage/app8/bench_3177,,6,4.2,,380,147.5,,80,46.5,,39,13.5
QF_BV/sage/app8/bench_3314,,5,2.2,,19,2.7,,24,12.3,,7,2.7
QF_BV/sage/app8/bench_3368,,4,2.4,,6,0.9,,13,8.9,,5,1.6
QF_BV/sage/app8/bench_3424,,5,1.5,,13,1.1,,8,2.4,,5,1.3
QF_BV/sage/app8/bench_3448,,4,0.5,,8,0.3,,6,0.7,,5,0.5
QF_BV/sage/app8/bench_3677,,5,0.4,,- -,- -,,5,0.4,,6,0.5
QF_BV/sage/app8/bench_3814,,5,1.8,,9,1.1,,6,1.6,,6,1.8
QF_BV/sage/app8/bench_3836,,3,0.0,,- -,- -,,3,0.1,,3,0.0
QF_BV/sage/app8/bench_3842,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_885,,7,9.0,,215,112.3,,20,23.6,,7,7.4
QF_BV/sage/app9/bench_919,,6,0.4,,- -,- -,,46,2.9,,19,0.7
QF_BV/sage/app9/bench_979,,4,0.1,,111,3.7,,8,0.3,,4,0.2
QF_BV/sage/app9/bench_1203,,5,1.8,,8,1.9,,6,1.9,,5,1.4
QF_BV/sage/app9/bench_1269,,6,0.9,,- -,- -,,16,1.9,,6,0.9
QF_BV/sage/app9/bench_1323,,6,1.1,,- -,- -,,12,1.9,,6,1.3
QF_BV/sage/app9/bench_1384,,9,9.1,,- -,- -,,28,16.8,,9,6.6
QF_BV/sage/app9/bench_1400,,10,9.9,,11,2.8,,26,31.6,,10,7.9
QF_BV/sage/app9/bench_1552,,7,3.3,,- -,- -,,39,18.4,,7,3.3
QF_BV/sage/app9/bench_1659,,9,4.8,,20,3.4,,37,26.3,,10,4.3
QF_BV/sage/app9/bench_1969,,4,0.4,,9,0.5,,5,0.6,,4,0.4
QF_BV/sage/app9/bench_2061,,4,0.1,,- -,- -,,3,0.5,,4,0.1
QF_BV/sage/app9/bench_2358,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app9/bench_2518,,5,1.1,,112,9.8,,5,0.8,,5,0.9
QF_BV/sage/app9/bench_2940,,5,1.5,,7,0.8,,64,26.9,,7,1.5
QF_BV/sage/app9/bench_3094,,4,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app9/bench_3134,,6,38.0,,9,58.2,,12,57.0,,8,27.6
QF_BV/sage/app9/bench_3261,,2,0.0,,- -,- -,,2,0.1,,2,0.1
QF_BV/sage/app9/bench_3278,,6,35.8,,11,34.5,,16,62.0,,8,26.7
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,5,25.9,,9,3.2,,5,19.7,,5,23.5
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,5,28.8,,9,3.6,,5,27.8,,5,26.9
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,4,20.8,,9,3.2,,6,32.0,,5,23.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,9,139.3,,16,48.3,,11,171.3,,16,143.8
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,8,127.4,,16,49.5,,9,102.1,,21,286.1
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,8,135.3,,- -,- -,,10,166.4,,17,159.0
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,8,181.1,,14,45.4,,9,201.6,,196,1568.2
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,8,152.3,,14,32.6,,13,238.9,,- -,- -
