Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,59,0.5,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,153,1.7,,5,0.0,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,33,0.3,,221,2.0,,42,0.5,,45,0.5
QF_BV/bench_ab/a651test0090,,34,0.2,,39,0.4,,69,0.6,,38,0.1
QF_BV/bench_ab/a655test0003,,25,0.2,,39,0.2,,51,0.6,,59,0.2
QF_BV/bench_ab/a659test0071,,23,0.2,,39,0.4,,16,0.1,,35,0.2
QF_BV/bench_ab/a668test0098,,3,0.0,,19,0.1,,3,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,4.2,,7,9.9,,5,3.0,,5,1.6
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,8.8,,6,7.1,,7,4.6,,5,1.9
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,9.1,,8,0.9,,7,17.7,,6,21.3
QF_BV/bmc-bv/graycode,,3,4.8,,3,1.3,,4,5.8,,3,4.1
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bmc-bv/magic,,3,10.6,,3,4.3,,3,8.7,,3,7.5
QF_BV/bmc-bv/queens,,4,7.9,,4,8.7,,4,10.0,,4,9.6
QF_BV/bmc-bv/sudoku,,1,41.9,,1,15.9,,1,35.7,,1,24.7
QF_BV/brummayerbiere2/smulov4bw0256,,5,1185.7,,- -,- -,,6,1597.2,,5,1208.3
QF_BV/brummayerbiere2/smulov4bw0064,,5,13.5,,- -,- -,,6,29.7,,5,16.9
QF_BV/brummayerbiere2/smulov4bw0128,,5,70.3,,- -,- -,,5,122.3,,5,118.2
QF_BV/brummayerbiere2/smulov4bw0032,,4,2.8,,- -,- -,,6,3.1,,4,3.1
QF_BV/gulwani-pldi08/fig1d.phx,,14,249.9,,20,118.5,,- -,- -,,16,202.0
QF_BV/gulwani-pldi08/fig5.phx,,9,97.9,,15,60.4,,11,160.3,,9,60.7
QF_BV/gulwani-pldi08/fig6.phx,,15,37.6,,30,18.9,,- -,- -,,16,39.7
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,64.9,,15,23.9,,17,69.8,,10,57.1
QF_BV/RWS/Example_1.txt,,57,172.6,,59,170.2,,136,374.0,,62,124.0
QF_BV/RWS/Example_2.txt,,30,92.8,,31,77.0,,35,93.6,,31,66.5
QF_BV/RWS/Example_4.txt,,13,33.3,,16,31.3,,19,51.4,,14,23.1
QF_BV/RWS/Example_5.txt,,12,39.0,,12,25.2,,17,41.7,,12,26.9
QF_BV/RWS/Example_6.txt,,9,16.4,,9,13.0,,10,12.2,,10,18.2
QF_BV/RWS/Example_14.txt,,67,291.2,,66,323.6,,177,807.4,,74,235.7
QF_BV/sage/app1/bench_1141,,5,8.0,,- -,- -,,7,8.2,,5,6.5
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,6,8.8,,966,2157.0,,7,12.8,,6,10.5
QF_BV/sage/app1/bench_1288,,5,10.0,,7,3.9,,6,9.1,,5,7.5
QF_BV/sage/app1/bench_1339,,5,6.6,,6,2.9,,6,6.5,,5,5.1
QF_BV/sage/app1/bench_1346,,5,5.7,,9,2.1,,6,6.3,,5,5.4
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,5,0.1,,7,0.1
QF_BV/sage/app1/bench_1738,,4,0.0,,- -,- -,,8,0.1,,194,4.6
QF_BV/sage/app1/bench_1742,,3,0.1,,622,39.4,,4,0.1,,4,0.1
QF_BV/sage/app1/bench_1768,,4,0.1,,- -,- -,,3,0.1,,4,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_363,,3,0.5,,53,3.1,,3,0.2,,3,0.2
