Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,59,0.7,,2,0.3,,2,0.1
QF_BV/bench_ab/a403test0043,,3,0.0,,153,1.8,,4,0.1,,4,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.0,,1,0.0,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.2,,1,0.1
QF_BV/bench_ab/a639test0017,,52,0.5,,221,3.7,,86,0.9,,50,0.3
QF_BV/bench_ab/a651test0090,,27,0.3,,39,0.4,,67,0.3,,36,0.2
QF_BV/bench_ab/a655test0003,,38,0.3,,39,0.4,,59,0.3,,38,0.1
QF_BV/bench_ab/a659test0071,,36,0.1,,39,0.5,,59,0.7,,52,0.2
QF_BV/bench_ab/a668test0098,,3,0.0,,19,0.1,,3,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.9,,7,8.3,,14,6.5,,5,1.1
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,5.8,,6,5.2,,7,3.7,,5,2.2
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,9.8,,8,1.1,,9,22.2,,6,16.6
QF_BV/bmc-bv/graycode,,3,4.0,,3,1.7,,6,8.9,,3,4.0
QF_BV/bmc-bv/inf1,,1,0.1,,1,0.6,,1,1.2,,1,0.1
QF_BV/bmc-bv/magic,,3,10.3,,3,12.3,,3,13.6,,3,10.0
QF_BV/bmc-bv/queens,,4,10.8,,4,5.9,,5,11.8,,4,9.4
QF_BV/bmc-bv/sudoku,,1,45.0,,1,27.0,,1,33.0,,1,28.7
QF_BV/brummayerbiere2/smulov4bw0256,,5,1136.6,,- -,- -,,5,1005.1,,5,1352.7
QF_BV/brummayerbiere2/smulov4bw0064,,4,14.8,,- -,- -,,5,19.2,,5,21.4
QF_BV/brummayerbiere2/smulov4bw0128,,5,94.4,,- -,- -,,5,144.2,,5,71.7
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.1,,- -,- -,,5,4.0,,4,2.9
QF_BV/gulwani-pldi08/fig1d.phx,,13,248.4,,20,110.2,,- -,- -,,17,254.4
QF_BV/gulwani-pldi08/fig5.phx,,9,94.6,,15,51.0,,11,90.2,,10,65.7
QF_BV/gulwani-pldi08/fig6.phx,,12,37.1,,30,14.9,,- -,- -,,20,47.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,69.5,,15,25.2,,22,126.6,,9,42.2
QF_BV/RWS/Example_1.txt,,58,164.6,,59,142.1,,145,296.8,,63,106.3
QF_BV/RWS/Example_2.txt,,29,86.9,,31,45.0,,35,87.9,,31,71.4
QF_BV/RWS/Example_4.txt,,13,45.9,,16,25.6,,19,47.6,,14,33.6
QF_BV/RWS/Example_5.txt,,12,37.9,,12,64.4,,15,35.0,,12,27.1
QF_BV/RWS/Example_6.txt,,9,15.7,,9,13.6,,11,15.1,,10,14.6
QF_BV/RWS/Example_14.txt,,69,311.1,,66,194.2,,174,899.6,,72,212.9
QF_BV/sage/app1/bench_1141,,5,11.1,,- -,- -,,7,16.3,,5,6.6
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,5,10.1,,966,1470.2,,7,14.3,,6,9.9
QF_BV/sage/app1/bench_1288,,5,6.5,,7,2.3,,6,9.5,,5,7.7
QF_BV/sage/app1/bench_1339,,5,6.5,,6,1.6,,7,6.5,,5,5.3
QF_BV/sage/app1/bench_1346,,5,6.3,,9,3.6,,6,9.5,,6,5.9
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,5,0.1,,9,0.1
QF_BV/sage/app1/bench_1738,,5,0.1,,- -,- -,,4,0.1,,254,5.7
QF_BV/sage/app1/bench_1742,,4,0.1,,622,24.6,,4,0.1,,4,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_363,,3,0.2,,53,3.1,,5,1.8,,3,0.2
QF_BV/sage/app12/bench_446,,3,0.1,,- -,- -,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_451,,4,0.0,,- -,- -,,6,0.1,,4,0.0
QF_BV/sage/app12/bench_953,,3,0.0,,121,2.2,,3,0.1,,3,0.1
QF_BV/sage/app12/bench_1051,,10,22.4,,12,20.6,,33,95.4,,11,29.4
QF_BV/sage/app12/bench_1183,,17,82.5,,21,81.1,,- -,- -,,18,47.0
QF_BV/sage/app12/bench_1353,,32,18.8,,- -,- -,,102,14.7,,2,0.7
QF_BV/sage/app12/bench_2353,,71,355.1,,- -,- -,,132,88.9,,2,4.0
QF_BV/sage/app12/bench_2428,,75,31.6,,- -,- -,,57,10.7,,2,1.1
QF_BV/sage/app12/bench_2451,,95,34.6,,- -,- -,,52,8.8,,2,1.2
QF_BV/sage/app12/bench_3681,,4,0.0,,- -,- -,,3,0.0,,3,0.0
QF_BV/sage/app12/bench_3852,,2,0.0,,- -,- -,,2,0.0,,2,0.0
QF_BV/sage/app12/bench_3921,,88,1.3,,- -,- -,,81,1.0,,- -,- -
QF_BV/sage/app12/bench_3957,,854,16.8,,- -,- -,,798,27.5,,884,8.7
QF_BV/sage/app12/bench_4059,,128,0.6,,- -,- -,,- -,- -,,500,4.4
QF_BV/sage/app12/bench_4177,,3,0.1,,- -,- -,,2,0.1,,4,0.0
QF_BV/sage/app12/bench_4845,,3,0.0,,23,0.1,,7,0.1,,3,0.1
QF_BV/sage/app12/bench_5599,,2,0.1,,- -,- -,,2,0.2,,2,0.1
QF_BV/sage/app2/bench_48,,41,18.6,,- -,- -,,- -,- -,,- -,- -
