Instance,,PanSampler,,,Alt-1,,,Alt-2,,,Alt-3,
,,#sol,time,,#sol,time,,#sol,time,,#sol,time
QF_BV/bench_ab/a168test0018,,2,0.0,,59,0.5,,2,0.0,,2,0.0
QF_BV/bench_ab/a403test0043,,4,0.0,,153,1.8,,5,0.0,,5,0.0
QF_BV/bench_ab/a481test0001,,1,0.1,,1,0.4,,1,0.1,,1,0.1
QF_BV/bench_ab/a493test0006,,1,0.1,,1,0.0,,1,0.1,,1,0.1
QF_BV/bench_ab/a639test0017,,27,0.1,,221,2.6,,34,0.6,,58,0.3
QF_BV/bench_ab/a651test0090,,16,0.2,,39,0.2,,48,0.2,,49,0.2
QF_BV/bench_ab/a655test0003,,17,0.1,,39,0.7,,87,0.6,,35,0.1
QF_BV/bench_ab/a659test0071,,35,0.3,,39,0.2,,23,0.1,,29,0.1
QF_BV/bench_ab/a668test0098,,2,0.3,,19,0.1,,3,0.0,,3,0.0
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,7.2,,7,4.7,,7,1.8,,5,1.8
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,6.2,,6,9.3,,10,6.6,,5,2.2
QF_BV/bmc-bv/ex19,,- -,- -,,- -,- -,,- -,- -,,- -,- -
QF_BV/bmc-bv/fermat,,5,14.1,,8,1.1,,9,15.4,,6,13.4
QF_BV/bmc-bv/graycode,,3,4.5,,3,2.6,,5,7.7,,4,3.2
QF_BV/bmc-bv/inf1,,1,0.3,,1,0.0,,1,0.0,,1,0.1
QF_BV/bmc-bv/magic,,3,17.4,,3,4.6,,3,14.7,,3,12.2
QF_BV/bmc-bv/queens,,4,8.3,,4,5.7,,4,10.0,,4,9.4
QF_BV/bmc-bv/sudoku,,1,24.3,,1,26.4,,1,27.0,,1,26.2
QF_BV/brummayerbiere2/smulov4bw0256,,5,1333.1,,- -,- -,,5,1419.5,,5,1242.4
QF_BV/brummayerbiere2/smulov4bw0064,,4,12.6,,- -,- -,,5,32.0,,5,16.1
QF_BV/brummayerbiere2/smulov4bw0128,,5,111.6,,- -,- -,,5,150.8,,5,120.7
QF_BV/brummayerbiere2/smulov4bw0032,,4,3.1,,- -,- -,,5,3.8,,4,3.0
QF_BV/gulwani-pldi08/fig1d.phx,,13,253.5,,20,120.5,,- -,- -,,16,183.4
QF_BV/gulwani-pldi08/fig5.phx,,9,84.4,,15,105.9,,12,168.9,,10,74.4
QF_BV/gulwani-pldi08/fig6.phx,,12,33.1,,30,21.2,,- -,- -,,14,34.1
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,51.4,,15,26.4,,12,76.8,,10,63.4
QF_BV/RWS/Example_1.txt,,58,158.8,,59,368.6,,158,433.1,,63,109.7
QF_BV/RWS/Example_2.txt,,30,86.6,,31,65.3,,40,75.6,,31,70.4
QF_BV/RWS/Example_4.txt,,13,62.2,,16,38.7,,23,50.7,,13,31.0
QF_BV/RWS/Example_5.txt,,11,30.6,,12,31.9,,14,22.8,,12,21.4
QF_BV/RWS/Example_6.txt,,9,13.8,,9,12.8,,9,11.3,,9,11.8
QF_BV/RWS/Example_14.txt,,67,293.2,,66,855.7,,183,717.6,,73,174.4
QF_BV/sage/app1/bench_1141,,5,10.4,,- -,- -,,7,9.7,,5,6.9
QF_BV/sage/app1/bench_1258,,1,0.0,,- -,- -,,1,0.0,,1,0.0
QF_BV/sage/app1/bench_1262,,6,9.6,,966,1512.4,,8,15.6,,7,9.8
QF_BV/sage/app1/bench_1288,,5,9.4,,7,4.0,,6,10.5,,5,7.5
QF_BV/sage/app1/bench_1339,,4,4.8,,6,2.1,,6,6.3,,5,4.6
QF_BV/sage/app1/bench_1346,,5,6.1,,9,5.8,,6,4.9,,5,4.5
QF_BV/sage/app1/bench_1710,,4,0.1,,- -,- -,,5,0.1,,6,0.1
QF_BV/sage/app1/bench_1738,,6,0.1,,- -,- -,,10,0.1,,276,6.8
QF_BV/sage/app1/bench_1742,,4,0.2,,622,41.7,,4,0.1,,4,0.1
QF_BV/sage/app1/bench_1768,,3,0.1,,- -,- -,,5,0.1,,4,0.1
QF_BV/sage/app12/bench_228,,4,0.1,,- -,- -,,4,0.1,,4,0.1
QF_BV/sage/app12/bench_363,,3,0.2,,53,3.1,,3,0.1,,3,0.2
